Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,3.68,0.053,42.3,552,48.7,200,36.2,0,0,276,50.0,76,13.8,69,7,0.67,9.41,-7.63,12.8,2015-09-18,2026-07-13,10.8,,51.3,,,51.11,34.24,105.2,57.0,36.23,0.0,50.0,13.77,0.052,29.26,0.002,0.203,Positive,Position,89.66,66.12,,,,Poor,REJECT,1,Low Edge,Stop,Medium Risk
PERSISTENT,False,3.75,0.123,-11.34,464,52.2,185,39.9,0,0,212,45.7,67,14.4,57,10,1.72,9.57,-6.85,14.0,2015-09-18,2026-07-13,10.8,,47.8,,,42.96,73.89,96.9,55.7,39.87,0.0,45.69,14.44,0.123,57.07,0.0,0.17,Positive,Position,84.5,65.81,,,,Poor,REJECT,2,PASS,Stop,Medium Risk
DIXON,False,17.28,0.219,15.94,436,56.2,199,45.6,0,0,183,42.0,54,12.4,46,8,2.81,10.21,-6.68,12.8,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,43.8,,,49.55,139.24,91.6,50.0,45.64,0.0,41.97,12.39,0.22,95.48,0.0,0.197,Positive,Position,76.83,73.38,,,,Poor,REJECT,3,PASS,Target,Medium Risk
BEL,False,0.0,-0.067,-14.17,508,34.1,97,19.1,0,0,309,60.8,102,20.1,76,26,-1.04,8.6,-6.03,15.5,2015-09-18,2026-07-13,10.8,,65.9,,,47.04,-48.92,95.1,86.8,19.09,0.0,60.83,20.08,-0.067,-34.04,0.0,0.187,Positive,Position,76.28,28.74,,,,Poor,REJECT,4,"Low Edge, High Stop Rate",Stop,Very High Risk
KEC,False,0.0,-0.02,-16.42,459,42.0,148,32.2,0,0,247,53.8,64,13.9,45,19,-0.29,9.32,-7.26,14.7,2015-09-18,2026-07-10,10.8,,58.0,,,42.5,-12.32,77.2,72.8,32.24,0.0,53.81,13.94,-0.02,-9.18,0.0,0.169,Positive,Position,74.21,52.87,,,,Poor,REJECT,5,"Low Edge, High Stop Rate",Stop,High Risk
BALRAMCHIN,True,0.0,-0.057,13.28,480,41.2,134,27.9,0,0,251,52.3,95,19.8,64,31,-0.81,8.56,-7.4,14.2,2015-09-18,2026-07-10,10.8,,58.8,,,44.44,-36.0,91.9,83.3,27.92,0.0,52.29,19.79,-0.057,-27.36,0.002,0.176,Positive,Position,74.14,57.62,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,High Risk
CUMMINSIND,True,2.14,0.045,5.08,400,43.8,110,27.5,0,0,205,51.2,85,21.2,65,20,0.72,8.81,-5.57,15.9,2015-09-18,2026-07-13,10.8,,56.2,,,37.04,26.67,92.5,71.2,27.5,0.0,51.25,21.25,0.045,18.0,0.002,0.147,Positive,Position,72.23,42.17,,,,Poor,REJECT,7,"Low Edge, High Stop Rate",Stop,High Risk
MOTHERSON,False,0.0,-0.007,10.66,425,43.1,97,22.8,0,0,217,51.1,111,26.1,86,25,-0.12,7.56,-5.93,16.2,2015-09-18,2026-07-13,10.8,,56.9,,,39.35,-4.72,108.8,76.1,22.82,0.0,51.06,26.12,-0.007,-2.98,0.0,0.156,Positive,Position,71.08,44.7,,,,Poor,REJECT,8,"Low Edge, High Stop Rate",Stop,High Risk
HFCL,True,4.62,0.067,137.62,386,49.5,172,44.6,0,0,185,47.9,29,7.5,19,10,0.62,10.47,-9.03,9.3,2015-09-18,2026-07-13,10.8,,50.5,,,35.74,22.16,63.6,57.9,44.56,0.0,47.93,7.51,0.067,25.86,0.003,0.142,Positive,Position,70.12,87.18,,,,Poor,REJECT,9,Low Edge,Stop,Low Risk
INDIGO,False,0.0,-0.063,12.18,429,36.6,105,24.5,0,0,263,61.3,61,14.2,52,9,-0.85,8.72,-6.37,13.4,2015-11-10,2026-07-13,10.7,,63.4,,,40.09,-34.08,76.5,70.3,24.48,0.0,61.31,14.22,-0.063,-27.03,0.0,0.159,Positive,Position,67.54,34.14,,,,Poor,REJECT,10,"Low Edge, High Stop Rate",Stop,Very High Risk
CDSL,False,3.7,0.08,1.87,407,46.7,159,39.1,0,0,207,50.9,41,10.1,31,10,0.97,10.23,-7.14,12.1,2017-06-30,2026-07-13,9.0,limited history: 9.0y (<10y) - lower confidence,53.3,,,45.22,43.86,70.1,60.9,39.07,0.0,50.86,10.07,0.08,32.56,0.0,0.179,Positive,Position,65.54,61.77,,,,Poor,REJECT,11,"Low Edge, High Stop Rate",Stop,Medium Risk
INFY,False,1.08,0.046,-19.64,285,51.9,34,11.9,0,0,121,42.5,130,45.6,114,16,0.89,5.61,-4.21,19.3,2015-09-18,2026-07-13,10.8,,48.1,,,26.39,23.49,125.9,58.5,11.93,0.0,42.46,45.61,0.046,13.11,0.0,0.105,Positive,Position,59.68,41.61,,,,Poor,REJECT,12,Low Edge,Time,High Risk
TATAPOWER,False,0.0,-0.003,-15.82,305,41.3,96,31.5,0,0,175,57.4,34,11.1,30,4,-0.03,9.1,-6.46,11.3,2015-09-18,2026-07-13,10.8,,58.7,,,28.24,-0.85,61.5,61.4,31.48,0.0,57.38,11.15,-0.003,-0.92,0.0,0.112,Positive,Position,57.56,45.7,,,,Poor,REJECT,13,"Low Edge, High Stop Rate",Stop,High Risk
CEATLTD,False,0.0,-0.07,0.74,342,37.1,101,29.5,0,0,194,56.7,47,13.7,26,21,-0.98,9.48,-7.16,14.1,2015-09-18,2026-07-13,10.8,,62.9,,,31.67,-31.04,55.5,77.7,29.53,0.0,56.73,13.74,-0.07,-23.94,0.0,0.126,Negative,Position,57.27,47.73,,,,Poor,REJECT,14,"Low Edge, High Stop Rate",Stop,High Risk
ITC,False,1.49,0.05,-10.84,217,53.0,27,12.4,0,0,96,44.2,94,43.3,88,6,0.97,6.22,-4.96,19.4,2015-09-18,2026-07-13,10.8,,47.0,,,20.09,19.49,100.4,50.2,12.44,0.0,44.24,43.32,0.05,10.85,0.0,0.08,Positive,Position,52.16,44.25,,,,Poor,REJECT,15,Low Edge,Stop,High Risk
