Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
DIXON,false,12.98,0.185,15.94,436,50,112,25.7,111,25.5,213,48.9,0,0,0,0,1.62,7.29,-4.04,8.8,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
ADANIENT,true,11.42,0.18,42.3,552,44.6,145,26.3,106,19.2,301,54.5,0,0,0,0,1.78,9.78,-4.64,9.9,2015-09-18,2026-07-13,10.8,
HFCL,true,6.87,0.114,137.62,386,43.3,117,30.3,52,13.5,216,56,1,0.3,0,1,0.66,8.8,-5.55,5.8,2015-09-18,2026-07-13,10.8,
YESBANK,false,6.54,0.118,16.89,246,41.5,53,21.5,52,21.1,141,57.3,0,0,0,0,1.06,8.91,-4.5,9,2015-09-18,2026-07-13,10.8,
CUMMINSIND,true,3.57,0.079,5.08,400,41.5,69,17.2,105,26.2,226,56.5,0,0,0,0,0.73,6.22,-3.17,9.2,2015-09-18,2026-07-13,10.8,
PERSISTENT,false,3.32,0.116,-11.34,464,48.9,117,25.2,114,24.6,233,50.2,0,0,0,0,1.11,6.77,-4.31,9.6,2015-09-18,2026-07-13,10.8,
CDSL,false,1.98,0.051,1.87,407,39.1,82,20.1,85,20.9,240,59,0,0,0,0,0.38,7.33,-4.08,7.4,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
TATAPOWER,false,1.62,0.09,-15.82,305,39.7,63,20.7,63,20.7,179,58.7,0,0,0,0,0.65,7.91,-4.13,7.2,2015-09-18,2026-07-13,10.8,
ITC,false,0.43,0.018,-10.84,217,43.3,14,6.5,86,39.6,117,53.9,0,0,0,0,0.18,4.07,-2.8,9.6,2015-09-18,2026-07-13,10.8,
INFY,false,0.36,0.018,-19.64,285,43.5,21,7.4,106,37.2,158,55.4,0,0,0,0,0.17,3.67,-2.52,9.4,2015-09-18,2026-07-13,10.8,
BEL,false,0,-0.139,-14.17,508,32.5,35,6.9,138,27.2,335,65.9,0,0,0,0,-1.17,3.85,-3.58,8.4,2015-09-18,2026-07-13,10.8,
MARUTI,false,0,-0.046,0.01,247,40.5,4,1.6,99,40.1,144,58.3,0,0,0,0,-0.37,3.18,-2.78,8,2015-09-18,2026-07-10,10.8,
RELIANCE,false,0,-0.015,-9.01,251,32.7,16,6.4,71,28.3,164,65.3,0,0,0,0,-0.13,5.04,-2.64,8.6,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0,-0.068,-3.28,122,32.8,5,4.1,36,29.5,81,66.4,0,0,0,0,-0.54,3.48,-2.5,7.9,2015-09-18,2026-07-13,10.8,
HINDUNILVR,false,0,-0.056,-6.19,199,38.7,4,2,76,38.2,119,59.8,0,0,0,0,-0.47,2.45,-2.32,8.5,2015-09-18,2026-07-13,10.8,
TCS,false,0,-0.008,-19.4,155,39.4,10,6.5,54,34.8,91,58.7,0,0,0,0,-0.07,3.94,-2.67,8.5,2015-09-18,2026-07-13,10.8,
KEC,false,0,-0.011,-16.42,459,39,89,19.4,95,20.7,275,59.9,0,0,0,0,-0.09,6.73,-4.45,8.3,2015-09-18,2026-07-10,10.8,
LICHSGFIN,false,0,-0.039,-0.41,290,32.8,42,14.5,61,21,187,64.5,0,0,0,0,-0.28,5.5,-3.09,7.2,2015-09-18,2026-07-10,10.8,
INDIGO,false,0,-0.123,12.18,429,31.9,51,11.9,89,20.7,289,67.4,0,0,0,0,-0.98,5.11,-3.85,8,2015-11-10,2026-07-13,10.7,
CEATLTD,false,0,-0.105,0.74,342,31.6,53,15.5,58,17,231,67.5,0,0,0,0,-0.9,6.28,-4.21,8.6,2015-09-18,2026-07-13,10.8,
BALRAMCHIN,true,0,-0.069,13.28,480,40.4,79,16.5,128,26.7,271,56.5,2,0.4,0,2,-0.55,5.14,-4.41,8,2015-09-18,2026-07-10,10.8,
MOTHERSON,false,0,-0.006,10.66,425,42.6,51,12,134,31.5,240,56.5,0,0,0,0,-0.05,4.84,-3.68,8.6,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.24,41.94,253,35.6,65,25.7,27,10.7,160,63.2,1,0.4,0,1,-1.26,7.13,-5.9,5.3,2015-09-18,2026-07-13,10.8,
PAYTM,false,0,-0.111,15.67,197,37.1,30,15.2,45,22.8,122,61.9,0,0,0,0,-0.84,4.9,-4.21,7.5,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
