Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,11.42,0.18,42.3,552,44.6,145,26.3,106,19.2,301,54.5,0,0.0,0,0,1.78,9.78,-4.64,9.9,2015-09-18,2026-07-13,10.8,,55.4,,,51.11,90.98,45.5,54.5,26.27,19.2,54.53,0.0,0.18,99.36,0.002,0.203,Negative,Position,100.0,53.88,,,,Poor,REJECT,1,High Stop Rate,Stop,High Risk
PERSISTENT,False,3.32,0.116,-11.34,464,48.9,117,25.2,114,24.6,233,50.2,0,0.0,0,0,1.11,6.77,-4.31,9.6,2015-09-18,2026-07-13,10.8,,51.1,,,42.96,47.69,49.8,50.2,25.22,24.57,50.22,0.0,0.116,53.82,0.0,0.17,Negative,Position,85.36,60.74,,,,Poor,REJECT,2,High Stop Rate,Stop,Medium Risk
KEC,False,0.0,-0.011,-16.42,459,39.0,89,19.4,95,20.7,275,59.9,0,0.0,0,0,-0.09,6.73,-4.45,8.3,2015-09-18,2026-07-10,10.8,,61.0,,,42.5,-3.82,40.1,59.9,19.39,20.7,59.91,0.0,-0.011,-5.05,0.0,0.169,Negative,Position,76.88,47.1,,,,Poor,REJECT,3,"Low Edge, High Stop Rate",Stop,High Risk
BALRAMCHIN,True,0.0,-0.069,13.28,480,40.4,79,16.5,128,26.7,271,56.5,2,0.4,0,2,-0.55,5.14,-4.41,8.0,2015-09-18,2026-07-10,10.8,,59.6,,,44.44,-24.44,43.2,58.5,16.46,26.67,56.46,0.42,-0.069,-33.12,0.002,0.176,Negative,Position,76.3,55.27,,,,Poor,REJECT,4,"Low Edge, High Stop Rate",Stop,High Risk
DIXON,False,12.98,0.185,15.94,436,50.0,112,25.7,111,25.5,213,48.9,0,0.0,0,0,1.62,7.29,-4.04,8.8,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,50.0,,,49.55,80.27,51.2,48.9,25.69,25.46,48.85,0.0,0.184,80.66,0.0,0.197,Positive,Position,75.78,64.0,,,,Poor,REJECT,5,PASS,Stop,Medium Risk
BEL,False,0.0,-0.139,-14.17,508,32.5,35,6.9,138,27.2,335,65.9,0,0.0,0,0,-1.17,3.85,-3.58,8.4,2015-09-18,2026-07-13,10.8,,67.5,,,47.04,-55.04,34.1,65.9,6.89,27.17,65.94,0.0,-0.139,-70.61,0.0,0.187,Negative,Position,75.48,24.04,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,Very High Risk
CUMMINSIND,True,3.57,0.079,5.08,400,41.5,69,17.2,105,26.2,226,56.5,0,0.0,0,0,0.73,6.22,-3.17,9.2,2015-09-18,2026-07-13,10.8,,58.5,,,37.04,27.04,43.4,56.5,17.25,26.25,56.5,0.0,0.079,31.6,0.002,0.147,Negative,Position,75.42,36.2,,,,Poor,REJECT,7,"Low Edge, High Stop Rate",Stop,Very High Risk
HFCL,True,6.87,0.114,137.62,386,43.3,117,30.3,52,13.5,216,56.0,1,0.3,0,1,0.66,8.8,-5.55,5.8,2015-09-18,2026-07-13,10.8,,56.7,,,35.74,23.59,43.8,57.0,30.31,13.47,55.96,0.26,0.114,44.0,0.003,0.142,Negative,Swing,73.33,78.65,,,,Poor,REJECT,8,"Low Edge, High Stop Rate",Stop,Medium Risk
MOTHERSON,False,0.0,-0.006,10.66,425,42.6,51,12.0,134,31.5,240,56.5,0,0.0,0,0,-0.05,4.84,-3.68,8.6,2015-09-18,2026-07-13,10.8,,57.4,,,39.35,-1.97,43.5,56.5,12.0,31.53,56.47,0.0,-0.006,-2.55,0.0,0.156,Negative,Position,73.19,44.5,,,,Poor,REJECT,9,"Low Edge, High Stop Rate",Stop,High Risk
INDIGO,False,0.0,-0.123,12.18,429,31.9,51,11.9,89,20.7,289,67.4,0,0.0,0,0,-0.98,5.11,-3.85,8.0,2015-11-10,2026-07-13,10.7,,68.1,,,40.09,-39.29,32.6,67.4,11.89,20.75,67.37,0.0,-0.122,-52.77,0.0,0.159,Negative,Position,67.06,25.57,,,,Poor,REJECT,10,"Low Edge, High Stop Rate",Stop,Very High Risk
