Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,2.17,0.035,42.3,552,43.8,185,33.5,0,0,298,54.0,69,12.5,57,12,0.42,9.48,-6.66,11.8,2015-09-18,2026-07-13,10.8,,56.2,,,51.11,21.47,90.5,66.0,33.51,0.0,53.99,12.5,0.036,19.32,0.002,0.203,Positive,Position,85.97,48.41,,,,Poor,REJECT,1,"Low Edge, High Stop Rate",Stop,High Risk
PERSISTENT,False,3.91,0.13,-11.34,464,51.5,178,38.4,0,0,208,44.8,78,16.8,61,17,1.87,9.46,-6.2,14.3,2015-09-18,2026-07-13,10.8,,48.5,,,42.96,80.34,99.4,61.8,38.36,0.0,44.83,16.81,0.131,60.32,0.0,0.17,Positive,Position,81.58,55.15,,,,Poor,REJECT,2,PASS,Stop,High Risk
DIXON,False,24.32,0.284,15.94,436,61.0,210,48.2,0,0,155,35.6,71,16.3,56,15,3.9,10.16,-5.89,13.7,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,39.0,,,49.55,193.24,104.2,50.6,48.17,0.0,35.55,16.28,0.285,123.82,0.0,0.197,Positive,Position,76.83,68.13,,,,Poor,REJECT,3,PASS,Target,Medium Risk
BEL,False,0.0,-0.059,-14.17,508,32.7,84,16.5,0,0,298,58.7,126,24.8,82,44,-0.93,8.11,-5.32,15.9,2015-09-18,2026-07-13,10.8,,67.3,,,47.04,-43.75,98.5,102.7,16.54,0.0,58.66,24.8,-0.058,-29.97,0.0,0.187,Negative,Position,75.41,22.94,,,,Poor,REJECT,4,"Low Edge, High Stop Rate",Stop,Very High Risk
BALRAMCHIN,True,0.0,-0.078,13.28,480,37.1,121,25.2,0,0,264,55.0,95,19.8,57,38,-1.04,8.47,-6.65,13.4,2015-09-18,2026-07-10,10.8,,62.9,,,44.44,-46.22,82.2,93.0,25.21,0.0,55.0,19.79,-0.078,-37.44,0.002,0.176,Negative,Position,71.71,44.18,,,,Poor,REJECT,5,"Low Edge, High Stop Rate",Stop,High Risk
KEC,False,0.0,-0.034,-16.42,459,38.6,136,29.6,0,0,255,55.6,68,14.8,41,27,-0.5,9.27,-6.63,14.5,2015-09-18,2026-07-10,10.8,,61.4,,,42.5,-21.25,70.6,82.6,29.63,0.0,55.56,14.81,-0.034,-15.61,0.0,0.169,Negative,Position,71.44,41.29,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,High Risk
CUMMINSIND,True,3.4,0.068,5.08,400,46.0,113,28.2,0,0,196,49.0,91,22.8,71,20,1.07,8.52,-5.27,15.8,2015-09-18,2026-07-13,10.8,,54.0,,,37.04,39.63,99.2,69.0,28.25,0.0,49.0,22.75,0.068,27.2,0.002,0.147,Positive,Position,70.91,38.12,,,,Poor,REJECT,7,PASS,Stop,Very High Risk
MOTHERSON,False,0.0,-0.02,10.66,425,40.2,100,23.5,0,0,230,54.1,95,22.4,71,24,-0.31,8.05,-5.94,15.4,2015-09-18,2026-07-13,10.8,,59.8,,,39.35,-12.2,94.5,78.1,23.53,0.0,54.12,22.35,-0.02,-8.5,0.0,0.156,Positive,Position,68.26,36.35,,,,Poor,REJECT,8,"Low Edge, High Stop Rate",Stop,Very High Risk
INDIGO,False,0.0,-0.057,12.18,429,36.6,95,22.1,0,0,258,60.1,76,17.7,62,14,-0.79,8.46,-6.13,13.9,2015-11-10,2026-07-13,10.7,,63.4,,,40.09,-31.67,84.1,74.1,22.14,0.0,60.14,17.72,-0.057,-24.45,0.0,0.159,Positive,Position,66.3,30.81,,,,Poor,REJECT,9,"Low Edge, High Stop Rate",Stop,Very High Risk
HFCL,True,1.3,0.022,137.62,386,42.7,149,38.6,0,0,211,54.7,26,6.7,16,10,0.18,10.35,-7.42,8.2,2015-09-18,2026-07-13,10.8,,57.3,,,35.74,6.43,54.6,64.7,38.6,0.0,54.66,6.74,0.022,8.49,0.003,0.142,Negative,Position,65.7,59.54,,,,Poor,REJECT,10,"Low Edge, High Stop Rate",Stop,High Risk
