Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,2.43,0.05,42.3,552,34.2,131,23.7,59,10.7,360,65.2,2,0.4,0,2,0.49,9.47,-4.18,9.9,2015-09-18,2026-07-13,10.8,,65.8,,,51.11,25.04,34.4,67.2,23.73,10.69,65.22,0.36,0.049,27.6,0.002,0.203,Negative,Position,88.36,56.19,,,,Poor,REJECT,1,"Low Edge, High Stop Rate",Stop,High Risk
PERSISTENT,False,2.51,0.106,-11.34,464,40.5,125,26.9,65,14.0,274,59.1,0,0.0,0,0,1.18,8.48,-3.8,11.1,2015-09-18,2026-07-13,10.8,,59.5,,,42.96,50.69,40.9,59.1,26.94,14.01,59.05,0.0,0.106,49.18,0.0,0.17,Negative,Position,81.1,58.96,,,,Poor,REJECT,2,High Stop Rate,Stop,High Risk
DIXON,False,15.43,0.254,15.94,436,43.3,143,32.8,51,11.7,241,55.3,1,0.2,0,1,3.19,12.01,-3.56,12.6,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,56.7,,,49.55,158.06,44.5,56.3,32.8,11.7,55.28,0.23,0.253,110.74,0.0,0.197,Negative,Position,76.83,58.25,,,,Poor,REJECT,3,High Stop Rate,Stop,High Risk
BEL,False,0.0,-0.124,-14.17,508,23.0,48,9.4,76,15.0,381,75.0,3,0.6,0,3,-1.16,5.65,-3.2,9.3,2015-09-18,2026-07-13,10.8,,77.0,,,47.04,-54.57,24.4,78.0,9.45,14.96,75.0,0.59,-0.125,-62.99,0.0,0.187,Negative,Position,76.13,29.86,,,,Poor,REJECT,4,"Low Edge, High Stop Rate",Stop,Very High Risk
KEC,False,0.0,-0.004,-16.42,459,29.4,102,22.2,36,7.8,320,69.7,1,0.2,0,1,-0.04,9.59,-4.05,10.7,2015-09-18,2026-07-10,10.8,,70.6,,,42.5,-1.7,30.0,70.7,22.22,7.84,69.72,0.22,-0.004,-1.84,0.0,0.169,Negative,Position,75.26,44.24,,,,Poor,REJECT,5,"Low Edge, High Stop Rate",Stop,High Risk
BALRAMCHIN,True,0.0,-0.127,13.28,480,28.5,96,20.0,44,9.2,336,70.0,4,0.8,0,4,-1.2,6.4,-4.24,9.5,2015-09-18,2026-07-10,10.8,,71.5,,,44.44,-53.33,29.2,74.0,20.0,9.17,70.0,0.83,-0.126,-60.96,0.002,0.176,Negative,Position,72.71,49.63,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,High Risk
MOTHERSON,False,1.11,0.024,10.66,425,36.7,74,17.4,85,20.0,265,62.4,1,0.2,0,1,0.28,6.67,-3.43,11.5,2015-09-18,2026-07-13,10.8,,63.3,,,39.35,11.02,37.4,63.4,17.41,20.0,62.35,0.24,0.024,10.2,0.0,0.156,Negative,Position,72.69,47.73,,,,Poor,REJECT,7,"Low Edge, High Stop Rate",Stop,High Risk
HFCL,True,6.48,0.13,137.62,386,35.8,129,33.4,9,2.3,245,63.5,3,0.8,0,3,1.06,12.15,-5.11,8.1,2015-09-18,2026-07-13,10.8,,64.2,,,35.74,37.88,35.7,66.5,33.42,2.33,63.47,0.78,0.131,50.18,0.003,0.142,Negative,Position,71.52,75.25,,,,Poor,REJECT,8,High Stop Rate,Stop,Medium Risk
CUMMINSIND,True,0.09,0.003,5.08,400,29.8,63,15.8,61,15.2,275,68.8,1,0.2,0,1,0.03,7.1,-2.96,10.0,2015-09-18,2026-07-13,10.8,,70.2,,,37.04,1.11,31.0,69.8,15.75,15.25,68.75,0.25,0.003,1.2,0.002,0.147,Negative,Position,68.7,35.95,,,,Poor,REJECT,9,"Low Edge, High Stop Rate",Stop,Very High Risk
TATAPOWER,False,3.76,0.233,-15.82,305,35.4,89,29.2,20,6.6,196,64.3,0,0.0,0,0,2.36,13.28,-3.62,10.2,2015-09-18,2026-07-13,10.8,,64.6,,,28.24,66.65,35.8,64.3,29.18,6.56,64.26,0.0,0.231,71.06,0.0,0.112,Negative,Position,67.7,50.61,,,,Poor,REJECT,10,High Stop Rate,Stop,High Risk
