Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
DIXON,false,13.78,0.182,15.94,508,53.5,223,43.9,0,0,227,44.7,58,11.4,49,9,2.37,10.27,-6.74,13,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
ADANIENT,true,6.14,0.084,42.3,708,50.8,269,38,0,0,338,47.7,101,14.3,91,10,1.08,9.54,-7.66,12.9,2015-09-18,2026-07-13,10.8,
HFCL,true,5.03,0.072,137.62,494,49.4,224,45.3,0,0,240,48.6,30,6.1,20,10,0.61,10.76,-9.29,8.5,2015-09-18,2026-07-13,10.8,
PERSISTENT,false,4.01,0.131,-11.34,542,52,219,40.4,0,0,247,45.6,76,14,63,13,1.87,9.77,-6.7,14.3,2015-09-18,2026-07-13,10.8,
CUMMINSIND,true,3.8,0.074,5.08,482,46.7,144,29.9,0,0,236,49,102,21.2,81,21,1.2,8.96,-5.6,16.3,2015-09-18,2026-07-13,10.8,
CDSL,false,2.53,0.056,1.87,471,45.2,177,37.6,0,0,247,52.4,47,10,36,11,0.67,10.2,-7.2,12,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
ITC,false,1.13,0.038,-10.84,258,51.9,27,10.5,0,0,118,45.7,113,43.8,107,6,0.73,5.86,-4.81,19.2,2015-09-18,2026-07-13,10.8,
INFY,false,0.74,0.033,-19.64,328,49.1,34,10.4,0,0,145,44.2,149,45.4,127,22,0.63,5.58,-4.13,19.1,2015-09-18,2026-07-13,10.8,
PAYTM,true,0.6,0.011,15.67,210,41.9,70,33.3,0,0,112,53.3,28,13.3,18,10,0.15,9.34,-6.48,13.9,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
MARUTI,false,0,-0.028,0.01,288,35.4,32,11.1,0,0,177,61.5,79,27.4,70,9,-0.44,6.73,-4.37,15.9,2015-09-18,2026-07-10,10.8,
BEL,false,0,-0.059,-14.17,584,35.1,109,18.7,0,0,350,59.9,125,21.4,96,29,-0.94,8.52,-6.05,15.9,2015-09-18,2026-07-13,10.8,
TCS,false,0,-0.02,-19.4,190,36.3,24,12.6,0,0,108,56.8,58,30.5,45,13,-0.33,6.17,-4.04,16.9,2015-09-18,2026-07-13,10.8,
RELIANCE,false,0,-0.01,-9.01,290,36.6,47,16.2,0,0,174,60,69,23.8,59,10,-0.15,7.23,-4.41,15.3,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0,-0.009,-3.28,149,44.3,15,10.1,0,0,79,53,55,36.9,51,4,-0.16,4.72,-4.03,16.8,2015-09-18,2026-07-13,10.8,
HINDUNILVR,false,0,-0.02,-6.19,234,44,11,4.7,0,0,115,49.1,108,46.2,92,16,-0.37,4.63,-4.31,19.1,2015-09-18,2026-07-13,10.8,
INDIGO,false,0,-0.052,12.18,487,37.4,120,24.6,0,0,295,60.6,72,14.8,62,10,-0.72,8.76,-6.38,13.9,2015-11-10,2026-07-13,10.7,
KEC,false,0,-0.027,-16.42,489,41.3,155,31.7,0,0,268,54.8,66,13.5,47,19,-0.4,9.37,-7.27,14.7,2015-09-18,2026-07-10,10.8,
LICHSGFIN,false,0,-0.097,-0.41,326,32.8,81,24.8,0,0,210,64.4,35,10.7,26,9,-1.3,8.21,-5.94,13.3,2015-09-18,2026-07-10,10.8,
TATAPOWER,false,0,-0.045,-15.82,362,38.4,106,29.3,0,0,218,60.2,38,10.5,33,5,-0.48,9.21,-6.52,10.7,2015-09-18,2026-07-13,10.8,
CEATLTD,false,0,-0.036,0.74,424,39.4,136,32.1,0,0,233,55,55,13,31,24,-0.5,9.74,-7.15,14,2015-09-18,2026-07-13,10.8,
BALRAMCHIN,true,0,-0.053,13.28,535,41.3,153,28.6,0,0,279,52.1,103,19.3,68,35,-0.76,8.76,-7.46,14.2,2015-09-18,2026-07-10,10.8,
MOTHERSON,false,0,-0.025,10.66,476,41.4,109,22.9,0,0,254,53.4,113,23.7,88,25,-0.4,7.74,-6.16,16,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.088,41.94,320,41.9,125,39.1,0,0,172,53.8,23,7.2,9,14,-0.83,10.26,-8.82,9.4,2015-09-18,2026-07-13,10.8,
YESBANK,false,0,-0.035,16.89,287,40.1,80,27.9,0,0,162,56.4,45,15.7,35,10,-0.45,8.74,-6.59,12.9,2015-09-18,2026-07-13,10.8,
