Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,6.14,0.084,42.3,708,50.8,269,38.0,0,0,338,47.7,101,14.3,91,10,1.08,9.54,-7.66,12.9,2015-09-18,2026-07-13,10.8,,49.2,,,65.56,70.8,129.0,57.7,37.99,0.0,47.74,14.27,0.084,59.47,0.001,0.26,Positive,Position,92.97,72.45,,,,Poor,REJECT,1,PASS,Stop,Medium Risk
PERSISTENT,False,4.01,0.131,-11.34,542,52.0,219,40.4,0,0,247,45.6,76,14.0,63,13,1.87,9.77,-6.7,14.3,2015-09-18,2026-07-13,10.8,,48.0,,,50.19,93.86,103.4,58.6,40.41,0.0,45.57,14.02,0.131,71.0,0.0,0.199,Positive,Position,82.43,66.69,,,,Poor,REJECT,2,PASS,Stop,Medium Risk
CUMMINSIND,True,3.8,0.074,5.08,482,46.7,144,29.9,0,0,236,49.0,102,21.2,81,21,1.2,8.96,-5.6,16.3,2015-09-18,2026-07-13,10.8,,53.3,,,44.63,53.56,110.9,70.0,29.88,0.0,48.96,21.16,0.074,35.67,0.002,0.177,Positive,Position,73.41,47.86,,,,Poor,REJECT,3,PASS,Stop,High Risk
DIXON,False,13.78,0.182,15.94,508,53.5,223,43.9,0,0,227,44.7,58,11.4,49,9,2.37,10.27,-6.74,13.0,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,46.5,,,57.73,136.82,92.9,53.7,43.9,0.0,44.69,11.42,0.182,92.46,0.0,0.229,Positive,Position,72.43,71.2,,,,Poor,REJECT,4,PASS,Stop,Medium Risk
HFCL,True,5.03,0.072,137.62,494,49.4,224,45.3,0,0,240,48.6,30,6.1,20,10,0.61,10.76,-9.29,8.5,2015-09-18,2026-07-13,10.8,,50.6,,,45.74,27.9,65.3,58.6,45.34,0.0,48.58,6.07,0.072,35.57,0.002,0.182,Positive,Position,71.27,91.29,,,,Poor,REJECT,5,Low Edge,Stop,Low Risk
BEL,False,0.0,-0.059,-14.17,584,35.1,109,18.7,0,0,350,59.9,125,21.4,96,29,-0.94,8.52,-6.05,15.9,2015-09-18,2026-07-13,10.8,,64.9,,,54.07,-50.83,114.7,88.9,18.66,0.0,59.93,21.4,-0.059,-34.46,0.0,0.215,Positive,Position,70.87,30.44,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,Very High Risk
BALRAMCHIN,True,0.0,-0.053,13.28,535,41.3,153,28.6,0,0,279,52.1,103,19.3,68,35,-0.76,8.76,-7.46,14.2,2015-09-18,2026-07-10,10.8,,58.7,,,49.54,-37.65,96.6,87.1,28.6,0.0,52.15,19.25,-0.054,-28.36,0.002,0.197,Positive,Position,67.47,59.79,,,,Poor,REJECT,7,"Low Edge, High Stop Rate",Stop,High Risk
KEC,False,0.0,-0.027,-16.42,489,41.3,155,31.7,0,0,268,54.8,66,13.5,47,19,-0.4,9.37,-7.27,14.7,2015-09-18,2026-07-10,10.8,,58.7,,,45.28,-18.11,78.7,73.8,31.7,0.0,54.81,13.5,-0.027,-13.2,0.0,0.18,Positive,Position,65.31,52.06,,,,Poor,REJECT,8,"Low Edge, High Stop Rate",Stop,High Risk
MOTHERSON,False,0.0,-0.025,10.66,476,41.4,109,22.9,0,0,254,53.4,113,23.7,88,25,-0.4,7.74,-6.16,16.0,2015-09-18,2026-07-13,10.8,,58.6,,,44.07,-17.63,110.9,78.4,22.9,0.0,53.36,23.74,-0.025,-11.9,0.0,0.175,Positive,Position,64.15,43.96,,,,Poor,REJECT,9,"Low Edge, High Stop Rate",Stop,High Risk
INDIGO,False,0.0,-0.052,12.18,487,37.4,120,24.6,0,0,295,60.6,72,14.8,62,10,-0.72,8.76,-6.38,13.9,2015-11-10,2026-07-13,10.7,,62.6,,,45.51,-32.77,86.6,70.6,24.64,0.0,60.57,14.78,-0.052,-25.32,0.0,0.181,Positive,Position,62.91,35.3,,,,Poor,REJECT,10,"Low Edge, High Stop Rate",Stop,Very High Risk
