Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,10.34,0.165,42.3,708,43.5,180,25.4,137,19.4,391,55.2,0,0.0,0,0,1.54,9.49,-4.58,9.3,2015-09-18,2026-07-13,10.8,,56.5,,,65.56,100.96,44.8,55.2,25.42,19.35,55.23,0.0,0.166,116.82,0.001,0.26,Negative,Position,100.0,53.54,,,,Poor,REJECT,1,High Stop Rate,Stop,High Risk
PERSISTENT,False,3.32,0.115,-11.34,542,48.9,132,24.4,139,25.6,271,50.0,0,0.0,0,0,1.08,6.55,-4.15,9.4,2015-09-18,2026-07-13,10.8,,51.1,,,50.19,54.21,50.0,50.0,24.35,25.65,50.0,0.0,0.115,62.33,0.0,0.199,Negative,Position,81.77,60.94,,,,Poor,REJECT,2,PASS,Stop,Medium Risk
HFCL,True,14.28,0.231,137.62,494,43.7,154,31.2,64,13.0,275,55.7,1,0.2,0,1,1.27,10.35,-5.77,5.5,2015-09-18,2026-07-13,10.8,,56.3,,,45.74,58.09,44.2,56.7,31.17,12.96,55.67,0.2,0.231,114.11,0.002,0.182,Negative,Swing,78.87,85.22,,,,Poor,REJECT,3,High Stop Rate,Stop,Low Risk
CUMMINSIND,True,5.04,0.106,5.08,482,43.2,85,17.6,131,27.2,266,55.2,0,0.0,0,0,1.0,6.43,-3.12,9.4,2015-09-18,2026-07-13,10.8,,56.8,,,44.63,44.63,44.8,55.2,17.63,27.18,55.19,0.0,0.106,51.09,0.002,0.177,Negative,Position,75.82,35.97,,,,Poor,REJECT,4,High Stop Rate,Stop,Very High Risk
DIXON,False,10.04,0.147,15.94,508,48.2,122,24.0,130,25.6,256,50.4,0,0.0,0,0,1.28,7.04,-4.1,8.7,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,51.8,,,57.73,73.89,49.6,50.4,24.02,25.59,50.39,0.0,0.147,74.68,0.0,0.229,Negative,Position,70.52,62.86,,,,Poor,REJECT,5,High Stop Rate,Stop,Medium Risk
BEL,False,0.0,-0.138,-14.17,584,33.2,36,6.2,167,28.6,381,65.2,0,0.0,0,0,-1.13,3.68,-3.53,8.2,2015-09-18,2026-07-13,10.8,,66.8,,,54.07,-61.1,34.8,65.2,6.16,28.6,65.24,0.0,-0.138,-80.59,0.0,0.215,Negative,Position,69.28,21.92,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,Very High Risk
BALRAMCHIN,True,0.0,-0.07,13.28,535,40.4,87,16.3,145,27.1,301,56.3,2,0.4,0,2,-0.54,5.11,-4.37,7.7,2015-09-18,2026-07-10,10.8,,59.6,,,49.54,-26.75,43.4,58.3,16.26,27.1,56.26,0.37,-0.07,-37.45,0.002,0.197,Negative,Position,69.23,56.36,,,,Poor,REJECT,7,"Low Edge, High Stop Rate",Stop,High Risk
MOTHERSON,False,0.0,-0.013,10.66,476,42.2,58,12.2,147,30.9,271,56.9,0,0.0,0,0,-0.11,4.88,-3.76,8.7,2015-09-18,2026-07-13,10.8,,57.8,,,44.07,-4.85,43.1,56.9,12.18,30.88,56.93,0.0,-0.013,-6.19,0.0,0.175,Negative,Position,67.12,42.73,,,,Poor,REJECT,8,"Low Edge, High Stop Rate",Stop,High Risk
KEC,False,0.0,-0.034,-16.42,489,38.0,89,18.2,102,20.9,298,60.9,0,0.0,0,0,-0.27,6.52,-4.44,8.0,2015-09-18,2026-07-10,10.8,,62.0,,,45.28,-12.23,39.1,60.9,18.2,20.86,60.94,0.0,-0.034,-16.63,0.0,0.18,Negative,Position,67.1,44.25,,,,Poor,REJECT,9,"Low Edge, High Stop Rate",Stop,High Risk
INDIGO,False,0.0,-0.126,12.18,487,33.1,53,10.9,112,23.0,322,66.1,0,0.0,0,0,-0.98,4.68,-3.77,7.7,2015-11-10,2026-07-13,10.7,,66.9,,,45.51,-44.6,33.9,66.1,10.88,23.0,66.12,0.0,-0.127,-61.36,0.0,0.181,Negative,Position,61.22,24.99,,,,Poor,REJECT,10,"Low Edge, High Stop Rate",Stop,Very High Risk
