Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
DIXON,false,20.33,0.242,15.94,508,59.3,241,47.4,0,0,184,36.2,83,16.3,60,23,3.46,10.23,-6.38,14.3,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
ADANIENT,true,6.39,0.09,42.3,708,49.3,262,37,0,0,340,48,106,15,87,19,1.14,9.52,-7,12.7,2015-09-18,2026-07-13,10.8,
CUMMINSIND,true,4.71,0.086,5.08,482,49.8,148,30.7,0,0,220,45.6,114,23.7,92,22,1.44,8.61,-5.68,16.7,2015-09-18,2026-07-13,10.8,
PERSISTENT,false,4.57,0.145,-11.34,542,53.5,216,39.9,0,0,225,41.5,101,18.6,74,27,2.19,9.54,-6.26,15.1,2015-09-18,2026-07-13,10.8,
CDSL,false,2.97,0.067,1.87,471,44.4,168,35.7,0,0,232,49.3,71,15.1,41,30,0.86,9.9,-6.35,12.9,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
HFCL,true,2.25,0.036,137.62,494,44.3,202,40.9,0,0,265,53.6,27,5.5,17,10,0.28,10.71,-8.03,7.6,2015-09-18,2026-07-13,10.8,
INFY,false,0.94,0.04,-19.64,328,51.2,38,11.6,0,0,119,36.3,171,52.1,130,41,0.84,5.23,-3.78,20.8,2015-09-18,2026-07-13,10.8,
PAYTM,true,0.84,0.015,15.67,210,42.4,70,33.3,0,0,105,50,35,16.7,19,16,0.21,9.25,-6.43,14.1,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
TATAPOWER,false,0.65,0.031,-15.82,362,45.3,122,33.7,0,0,185,51.1,55,15.2,42,13,0.39,8.96,-6.71,12.7,2015-09-18,2026-07-13,10.8,
ITC,false,0.58,0.02,-10.84,258,50.8,24,9.3,0,0,102,39.5,132,51.2,107,25,0.41,5.17,-4.5,20.7,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0.45,0.013,-3.28,149,47,18,12.1,0,0,61,40.9,70,47,52,18,0.24,5.26,-4.21,18.9,2015-09-18,2026-07-13,10.8,
RELIANCE,false,0.31,0.012,-9.01,290,40,49,16.9,0,0,143,49.3,98,33.8,67,31,0.21,7.24,-4.47,17.6,2015-09-18,2026-07-13,10.8,
MARUTI,false,0.08,0.002,0.01,288,43.1,32,11.1,0,0,138,47.9,118,41,92,26,0.04,6.26,-4.66,19.1,2015-09-18,2026-07-10,10.8,
BEL,false,0,-0.049,-14.17,584,35.3,100,17.1,0,0,329,56.3,155,26.5,106,49,-0.81,8.07,-5.65,16.6,2015-09-18,2026-07-13,10.8,
TCS,false,0,-0.026,-19.4,190,38.9,28,14.7,0,0,79,41.6,83,43.7,46,37,-0.52,6.34,-4.89,19.9,2015-09-18,2026-07-13,10.8,
HINDUNILVR,false,0,-0.018,-6.19,234,47,15,6.4,0,0,100,42.7,119,50.9,95,24,-0.37,4.47,-4.67,20.8,2015-09-18,2026-07-13,10.8,
KEC,false,0,-0.035,-16.42,489,39.3,144,29.4,0,0,270,55.2,75,15.3,48,27,-0.53,9.18,-6.8,14.9,2015-09-18,2026-07-10,10.8,
LICHSGFIN,false,0,-0.077,-0.41,326,33.7,81,24.8,0,0,194,59.5,51,15.6,29,22,-1.08,8.14,-5.77,14,2015-09-18,2026-07-10,10.8,
INDIGO,false,0,-0.05,12.18,487,38,111,22.8,0,0,281,57.7,95,19.5,74,21,-0.74,8.48,-6.39,14.8,2015-11-10,2026-07-13,10.7,
CEATLTD,false,0,-0.007,0.74,424,39.9,140,33,0,0,223,52.6,61,14.4,29,32,-0.1,9.98,-6.78,14.1,2015-09-18,2026-07-13,10.8,
BALRAMCHIN,true,0,-0.073,13.28,535,37.8,141,26.4,0,0,289,54,105,19.6,61,44,-1,8.71,-6.88,13.7,2015-09-18,2026-07-10,10.8,
MOTHERSON,false,0,-0.036,10.66,476,39.9,114,23.9,0,0,258,54.2,104,21.8,76,28,-0.56,8.15,-6.34,15.7,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.119,41.94,320,40,119,37.2,0,0,173,54.1,28,8.8,9,19,-1.1,10.13,-8.59,9.2,2015-09-18,2026-07-13,10.8,
YESBANK,false,0,-0.017,16.89,287,43.2,80,27.9,0,0,144,50.2,63,22,44,19,-0.25,8.37,-6.82,14.5,2015-09-18,2026-07-13,10.8,
