Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,6.39,0.09,42.3,708,49.3,262,37.0,0,0,340,48.0,106,15.0,87,19,1.14,9.52,-7.0,12.7,2015-09-18,2026-07-13,10.8,,50.7,,,65.56,74.74,124.0,67.0,37.01,0.0,48.02,14.97,0.09,63.72,0.001,0.26,Positive,Position,89.82,58.79,,,,Poor,REJECT,1,PASS,Stop,High Risk
PERSISTENT,False,4.57,0.145,-11.34,542,53.5,216,39.9,0,0,225,41.5,101,18.6,74,27,2.19,9.54,-6.26,15.1,2015-09-18,2026-07-13,10.8,,46.5,,,50.19,109.92,113.9,68.5,39.85,0.0,41.51,18.63,0.145,78.59,0.0,0.199,Positive,Position,79.58,60.16,,,,Poor,REJECT,2,PASS,Stop,Medium Risk
DIXON,False,20.33,0.242,15.94,508,59.3,241,47.4,0,0,184,36.2,83,16.3,60,23,3.46,10.23,-6.38,14.3,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,40.7,,,57.73,199.75,107.4,59.2,47.44,0.0,36.22,16.34,0.242,122.94,0.0,0.229,Positive,Position,72.43,71.47,,,,Poor,REJECT,3,PASS,Target,Medium Risk
CUMMINSIND,True,4.71,0.086,5.08,482,49.8,148,30.7,0,0,220,45.6,114,23.7,92,22,1.44,8.61,-5.68,16.7,2015-09-18,2026-07-13,10.8,,50.2,,,44.63,64.27,122.7,67.6,30.71,0.0,45.64,23.65,0.086,41.45,0.002,0.177,Positive,Position,70.92,45.88,,,,Poor,REJECT,4,PASS,Stop,High Risk
BEL,False,0.0,-0.049,-14.17,584,35.3,100,17.1,0,0,329,56.3,155,26.5,106,49,-0.81,8.07,-5.65,16.6,2015-09-18,2026-07-13,10.8,,64.7,,,54.07,-43.8,123.1,105.3,17.12,0.0,56.34,26.54,-0.049,-28.62,0.0,0.215,Positive,Position,70.18,27.41,,,,Poor,REJECT,5,"Low Edge, High Stop Rate",Stop,Very High Risk
HFCL,True,2.25,0.036,137.62,494,44.3,202,40.9,0,0,265,53.6,27,5.5,17,10,0.28,10.71,-8.03,7.6,2015-09-18,2026-07-13,10.8,,55.7,,,45.74,12.81,57.9,63.6,40.89,0.0,53.64,5.47,0.037,17.78,0.002,0.182,Negative,Position,66.91,65.47,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,Medium Risk
BALRAMCHIN,True,0.0,-0.073,13.28,535,37.8,141,26.4,0,0,289,54.0,105,19.6,61,44,-1.0,8.71,-6.88,13.7,2015-09-18,2026-07-10,10.8,,62.2,,,49.54,-49.54,87.4,98.0,26.36,0.0,54.02,19.63,-0.073,-39.06,0.002,0.197,Negative,Position,64.96,45.98,,,,Poor,REJECT,7,"Low Edge, High Stop Rate",Stop,High Risk
KEC,False,0.0,-0.035,-16.42,489,39.3,144,29.4,0,0,270,55.2,75,15.3,48,27,-0.53,9.18,-6.8,14.9,2015-09-18,2026-07-10,10.8,,60.7,,,45.28,-24.0,77.4,82.2,29.45,0.0,55.21,15.34,-0.036,-17.12,0.0,0.18,Negative,Position,62.91,41.44,,,,Poor,REJECT,8,"Low Edge, High Stop Rate",Stop,High Risk
MOTHERSON,False,0.0,-0.036,10.66,476,39.9,114,23.9,0,0,258,54.2,104,21.8,76,28,-0.56,8.15,-6.34,15.7,2015-09-18,2026-07-13,10.8,,60.1,,,44.07,-24.68,99.9,82.2,23.95,0.0,54.2,21.85,-0.036,-17.14,0.0,0.175,Positive,Position,61.62,38.12,,,,Poor,REJECT,9,"Low Edge, High Stop Rate",Stop,Very High Risk
INDIGO,False,0.0,-0.05,12.18,487,38.0,111,22.8,0,0,281,57.7,95,19.5,74,21,-0.74,8.48,-6.39,14.8,2015-11-10,2026-07-13,10.7,,62.0,,,45.51,-33.68,96.8,78.7,22.79,0.0,57.7,19.51,-0.05,-24.35,0.0,0.181,Positive,Position,61.33,33.89,,,,Poor,REJECT,10,"Low Edge, High Stop Rate",Stop,Very High Risk
