Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark,Loss %,Reward Risk,Profit Factor,Trades / Year,Annual Expectancy,Winning Exit %,Losing Exit %,Target Efficiency,Trail Efficiency,Stop Efficiency,Time Efficiency,Holding Efficiency,Profit Velocity,Signal Density,Trade Frequency,Exit Quality,Trading Style,Confidence Score,Risk Score,Opportunity Score,Consistency Score,Composite Score,Overall Rating,Recommendation,Institution Rank,Quality Flag,Exit Dominance,Risk Category
ADANIENT,True,4.22,0.081,42.3,708,36.2,180,25.4,77,10.9,447,63.1,4,0.6,0,4,0.86,10.32,-4.49,10.6,2015-09-18,2026-07-13,10.8,,63.8,,,65.56,56.38,36.3,67.1,25.42,10.88,63.14,0.56,0.081,57.35,0.001,0.26,Negative,Position,91.39,61.15,,,,Poor,REJECT,1,"Low Edge, High Stop Rate",Stop,Medium Risk
PERSISTENT,False,2.97,0.122,-11.34,542,41.3,147,27.1,79,14.6,316,58.3,0,0.0,0,0,1.41,8.72,-3.74,11.6,2015-09-18,2026-07-13,10.8,,58.7,,,50.19,70.77,41.7,58.3,27.12,14.58,58.3,0.0,0.122,66.12,0.0,0.199,Negative,Position,79.23,59.02,,,,Poor,REJECT,2,High Stop Rate,Stop,High Risk
HFCL,True,8.52,0.162,137.62,494,37.2,175,35.4,9,1.8,306,61.9,4,0.8,0,4,1.35,13.47,-5.84,8.4,2015-09-18,2026-07-13,10.8,,62.8,,,45.74,61.75,37.2,65.9,35.43,1.82,61.94,0.81,0.161,80.03,0.002,0.182,Negative,Position,74.65,86.45,,,,Poor,REJECT,3,High Stop Rate,Stop,Low Risk
DIXON,False,12.1,0.203,15.94,508,42.1,164,32.3,56,11.0,286,56.3,2,0.4,0,2,2.62,11.52,-3.85,13.0,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence,57.9,,,57.73,151.25,43.3,58.3,32.28,11.02,56.3,0.39,0.202,103.12,0.0,0.229,Negative,Position,72.43,59.09,,,,Poor,REJECT,4,High Stop Rate,Stop,High Risk
BEL,False,0.0,-0.119,-14.17,584,23.1,54,9.2,90,15.4,437,74.8,3,0.5,0,3,-1.13,5.68,-3.18,9.6,2015-09-18,2026-07-13,10.8,,76.9,,,54.07,-61.1,24.6,77.8,9.25,15.41,74.83,0.51,-0.118,-69.5,0.0,0.215,Negative,Position,70.57,26.82,,,,Poor,REJECT,5,"Low Edge, High Stop Rate",Stop,Very High Risk
CUMMINSIND,True,0.94,0.026,5.08,482,32.6,79,16.4,83,17.2,319,66.2,1,0.2,0,1,0.27,7.1,-3.03,10.5,2015-09-18,2026-07-13,10.8,,67.4,,,44.63,12.05,33.6,67.2,16.39,17.22,66.18,0.21,0.026,12.53,0.002,0.177,Negative,Position,68.29,39.31,,,,Poor,REJECT,6,"Low Edge, High Stop Rate",Stop,Very High Risk
MOTHERSON,False,0.27,0.006,10.66,476,35.7,83,17.4,90,18.9,302,63.4,1,0.2,0,1,0.06,6.73,-3.64,11.6,2015-09-18,2026-07-13,10.8,,64.3,,,44.07,2.64,36.3,64.4,17.44,18.91,63.45,0.21,0.005,2.86,0.0,0.175,Negative,Position,66.73,47.57,,,,Poor,REJECT,7,"Low Edge, High Stop Rate",Stop,High Risk
KEC,False,0.0,-0.021,-16.42,489,29.0,106,21.7,39,8.0,343,70.1,1,0.2,0,1,-0.23,9.37,-4.17,11.0,2015-09-18,2026-07-10,10.8,,71.0,,,45.28,-10.41,29.7,71.1,21.68,7.98,70.14,0.2,-0.021,-10.27,0.0,0.18,Negative,Position,66.47,41.97,,,,Poor,REJECT,8,"Low Edge, High Stop Rate",Stop,High Risk
BALRAMCHIN,True,0.0,-0.132,13.28,535,29.5,110,20.6,51,9.5,370,69.2,4,0.7,0,4,-1.3,6.27,-4.48,9.9,2015-09-18,2026-07-10,10.8,,70.5,,,49.54,-64.4,30.1,73.2,20.56,9.53,69.16,0.75,-0.131,-70.62,0.002,0.197,Negative,Position,65.36,51.25,,,,Poor,REJECT,9,"Low Edge, High Stop Rate",Stop,High Risk
TATAPOWER,False,2.63,0.173,-15.82,362,32.9,95,26.2,25,6.9,242,66.9,0,0.0,0,0,1.69,13.11,-3.91,9.8,2015-09-18,2026-07-13,10.8,,67.1,,,33.52,56.65,33.1,66.9,26.24,6.91,66.85,0.0,0.172,62.63,0.0,0.133,Negative,Position,64.5,50.07,,,,Poor,REJECT,10,High Stop Rate,Stop,High Risk
