Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,DIXON,2.81,-1.96,-1.53,49.55,95.48,68.0,0.22,91.6,50.0,40.0,79.5,66.0,59.03,★ REJECT
2,PERSISTENT,1.72,-1.53,-1.4,42.96,57.07,59.0,0.12,96.9,55.7,36.0,82.5,63.75,57.82,★ REJECT
3,ADANIENT,0.67,-1.17,-1.23,51.11,29.26,49.0,0.05,105.2,57.0,28.0,82.5,47.25,50.92,★ REJECT
4,CUMMINSIND,0.72,-1.23,-1.58,37.04,18.0,43.0,0.05,92.5,71.2,28.0,82.5,41.75,49.82,★ REJECT
5,HFCL,0.62,-1.14,-1.16,35.74,25.86,49.0,0.07,63.6,57.9,28.0,82.5,37.25,48.92,★ REJECT
6,CDSL,0.97,-1.26,-1.43,45.22,32.56,49.0,0.08,70.1,60.9,28.0,79.5,37.25,47.88,★ REJECT
7,INFY,0.89,-1.44,-1.33,26.39,13.11,49.0,0.05,125.9,58.5,28.0,65.0,49.25,45.2,★ REJECT
8,ITC,0.97,-1.41,-1.25,20.09,10.85,49.0,0.05,100.4,50.2,28.0,65.0,47.25,44.8,★ REJECT
9,TCS,0.21,-1.09,-1.63,14.35,1.86,28.0,0.01,53.5,63.9,16.0,65.0,22.0,34.35,★ REJECT
10,YESBANK,0.02,-1.0,-1.33,22.78,0.25,28.0,0.0,60.9,62.3,16.0,65.0,22.0,34.35,★ REJECT
11,MOTHERSON,-0.12,-0.97,-1.27,39.35,-2.98,8.0,-0.01,108.8,76.1,0.0,82.5,27.0,34.28,★ REJECT
12,TATAPOWER,-0.03,-0.99,-1.41,28.24,-0.92,8.0,-0.0,61.5,61.4,0.0,82.5,21.0,33.07,★ REJECT
13,KEC,-0.29,-0.93,-1.28,42.5,-9.18,8.0,-0.02,77.2,72.8,0.0,82.5,21.0,33.07,★ REJECT
14,BALRAMCHIN,-0.81,-0.81,-1.16,44.44,-27.36,8.0,-0.06,91.9,83.3,0.0,82.5,21.0,33.07,★ REJECT
15,INDIGO,-0.85,-0.79,-1.37,40.09,-27.03,8.0,-0.06,76.5,70.3,0.0,82.5,21.0,33.07,★ REJECT
16,BEL,-1.04,-0.74,-1.43,47.04,-34.04,0.0,-0.07,95.1,86.8,0.0,82.5,19.0,32.67,★ REJECT
17,CEATLTD,-0.98,-0.78,-1.32,31.67,-23.94,8.0,-0.07,55.5,77.7,0.0,82.5,17.0,32.28,★ REJECT
18,PAYTM,0.3,-1.08,-1.42,42.83,4.33,28.0,0.02,52.0,61.8,16.0,56.0,22.0,31.2,★ REJECT
19,HINDUNILVR,-0.09,-0.96,-1.1,18.43,-0.8,14.0,-0.0,87.5,60.7,0.0,65.0,28.5,28.45,★ REJECT
20,RELIANCE,-0.26,-0.91,-1.62,23.24,-4.27,8.0,-0.02,65.3,69.6,0.0,65.0,17.0,26.15,★ REJECT
21,IDEA,-0.7,-0.86,-1.18,23.43,-21.76,8.0,-0.09,42.9,62.5,0.0,65.0,17.0,26.15,★ REJECT
22,HDFCBANK,-0.71,-0.73,-1.29,11.3,-5.73,8.0,-0.05,41.3,64.7,0.0,65.0,17.0,26.15,★ REJECT
23,MARUTI,-0.69,-0.76,-1.48,22.87,-11.12,0.0,-0.05,66.7,69.6,0.0,65.0,15.0,25.75,★ REJECT
24,LICHSGFIN,-1.33,-0.67,-1.33,26.85,-29.58,0.0,-0.1,47.9,72.4,0.0,65.0,15.0,25.75,★ REJECT
