Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,DIXON,3.9,-2.7,-1.72,49.55,123.82,68.0,0.28,104.2,50.6,40.0,79.5,72.0,60.22,★★ WATCH
2,PERSISTENT,1.87,-1.62,-1.53,42.96,60.32,59.0,0.13,99.4,61.8,36.0,82.5,59.75,57.02,★ REJECT
3,CUMMINSIND,1.07,-1.38,-1.62,37.04,27.2,59.0,0.07,99.2,69.0,36.0,82.5,45.75,54.22,★ REJECT
4,CDSL,1.0,-1.3,-1.65,45.22,33.37,53.0,0.08,68.9,72.6,36.0,79.5,34.25,50.88,★ REJECT
5,TATAPOWER,0.52,-1.15,-1.39,28.24,12.81,49.0,0.04,68.8,60.1,28.0,82.5,37.25,48.92,★ REJECT
6,INFY,0.8,-1.42,-1.44,26.39,11.68,49.0,0.04,116.3,68.7,28.0,65.0,47.25,44.8,★ REJECT
7,ADANIENT,0.42,-1.11,-1.42,51.11,19.32,28.0,0.04,90.5,66.0,16.0,82.5,38.0,43.68,★ REJECT
8,ITC,0.52,-1.23,-1.29,20.09,5.64,49.0,0.03,93.1,61.4,28.0,65.0,37.25,42.8,★ REJECT
9,HFCL,0.18,-1.04,-1.39,35.74,8.49,28.0,0.02,54.6,64.7,16.0,82.5,22.0,40.47,★ REJECT
10,YESBANK,0.34,-1.09,-1.33,22.78,5.9,34.0,0.02,65.9,63.8,16.0,65.0,27.5,35.45,★ REJECT
11,MOTHERSON,-0.31,-0.91,-1.36,39.35,-8.5,8.0,-0.02,94.5,78.1,0.0,82.5,21.0,33.07,★ REJECT
12,INDIGO,-0.79,-0.8,-1.38,40.09,-24.45,8.0,-0.06,84.1,74.1,0.0,82.5,21.0,33.07,★ REJECT
13,KEC,-0.5,-0.88,-1.4,42.5,-15.61,8.0,-0.03,70.6,82.6,0.0,82.5,17.0,32.28,★ REJECT
14,CEATLTD,-0.52,-0.87,-1.51,31.67,-13.34,8.0,-0.04,52.8,80.4,0.0,82.5,17.0,32.28,★ REJECT
15,BALRAMCHIN,-1.04,-0.75,-1.27,44.44,-37.44,8.0,-0.08,82.2,93.0,0.0,82.5,17.0,32.28,★ REJECT
16,BEL,-0.93,-0.74,-1.52,47.04,-29.97,0.0,-0.06,98.5,102.7,0.0,82.5,15.0,31.87,★ REJECT
17,PAYTM,0.42,-1.12,-1.47,42.83,6.11,28.0,0.03,52.5,64.2,16.0,56.0,22.0,31.2,★ REJECT
18,HINDUNILVR,-0.08,-0.96,-1.05,18.43,-0.8,14.0,-0.0,87.5,61.7,0.0,65.0,28.5,28.45,★ REJECT
19,MARUTI,-0.26,-0.91,-1.33,22.87,-3.7,8.0,-0.01,82.7,68.4,0.0,65.0,21.0,26.95,★ REJECT
20,RELIANCE,-0.07,-0.98,-1.66,23.24,-1.0,8.0,-0.0,67.1,76.2,0.0,65.0,17.0,26.15,★ REJECT
21,TCS,-0.26,-0.91,-1.36,14.35,-2.17,8.0,-0.01,53.1,68.5,0.0,65.0,17.0,26.15,★ REJECT
22,HDFCBANK,-0.51,-0.81,-1.43,11.3,-3.66,8.0,-0.03,40.9,67.2,0.0,65.0,17.0,26.15,★ REJECT
23,IDEA,-1.0,-0.8,-1.21,23.43,-32.64,8.0,-0.13,40.5,67.3,0.0,65.0,17.0,26.15,★ REJECT
24,LICHSGFIN,-1.06,-0.71,-1.46,26.85,-23.78,0.0,-0.08,46.5,79.7,0.0,65.0,15.0,25.75,★ REJECT
