Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,DIXON,3.19,-2.58,-3.37,49.55,110.74,58.0,0.25,44.5,56.3,40.0,79.5,55.5,56.92,★ REJECT
2,TATAPOWER,2.36,-2.01,-3.67,28.24,71.06,58.0,0.23,35.8,64.3,40.0,82.5,49.5,56.78,★ REJECT
3,HFCL,1.06,-1.33,-2.38,35.74,50.18,53.0,0.13,35.7,66.5,36.0,82.5,48.25,54.72,★ REJECT
4,PERSISTENT,1.18,-1.52,-2.23,42.96,49.18,53.0,0.11,40.9,59.1,36.0,82.5,39.25,52.92,★ REJECT
5,CDSL,1.2,-1.45,-3.09,45.22,48.84,45.0,0.12,31.9,69.6,36.0,79.5,37.25,51.48,★ REJECT
6,MOTHERSON,0.28,-1.13,-1.94,39.35,10.2,28.0,0.02,37.4,63.4,16.0,82.5,28.0,41.68,★ REJECT
7,ADANIENT,0.49,-1.18,-2.27,51.11,27.6,20.0,0.05,34.4,67.2,16.0,82.5,26.0,41.28,★ REJECT
8,CEATLTD,0.06,-1.02,-2.4,31.67,2.05,20.0,0.01,29.9,71.6,16.0,82.5,20.0,40.07,★ REJECT
9,CUMMINSIND,0.03,-1.02,-2.4,37.04,1.2,20.0,0.0,31.0,69.8,16.0,82.5,20.0,40.07,★ REJECT
10,RELIANCE,0.44,-1.24,-3.35,23.24,11.04,20.0,0.04,27.9,72.1,16.0,65.0,26.0,35.15,★ REJECT
11,INFY,0.37,-1.24,-1.96,26.39,7.7,28.0,0.03,40.0,61.9,16.0,65.0,22.0,34.35,★ REJECT
12,TCS,0.19,-1.11,-2.2,14.35,2.94,20.0,0.02,34.2,66.5,16.0,65.0,20.0,33.95,★ REJECT
13,KEC,-0.04,-0.99,-2.37,42.5,-1.84,0.0,-0.0,30.0,70.7,0.0,82.5,15.0,31.87,★ REJECT
14,BEL,-1.16,-0.53,-1.77,47.04,-62.99,0.0,-0.12,24.4,78.0,0.0,82.5,15.0,31.87,★ REJECT
15,INDIGO,-1.16,-0.57,-2.1,40.09,-58.34,0.0,-0.14,21.7,79.9,0.0,82.5,15.0,31.87,★ REJECT
16,BALRAMCHIN,-1.2,-0.6,-1.51,44.44,-60.96,0.0,-0.13,29.2,74.0,0.0,82.5,15.0,31.87,★ REJECT
17,YESBANK,-0.11,-0.96,-1.66,22.78,-2.46,8.0,-0.01,37.0,65.4,0.0,65.0,17.0,26.15,★ REJECT
18,MARUTI,-0.39,-0.79,-1.82,22.87,-8.89,0.0,-0.04,30.8,69.8,0.0,65.0,15.0,25.75,★ REJECT
19,HINDUNILVR,-0.52,-0.65,-1.26,18.43,-9.55,0.0,-0.05,35.1,65.3,0.0,65.0,15.0,25.75,★ REJECT
20,HDFCBANK,-0.63,-0.64,-1.72,11.3,-8.17,0.0,-0.07,28.7,71.3,0.0,65.0,15.0,25.75,★ REJECT
21,ITC,-0.63,-0.65,-1.48,20.09,-12.8,0.0,-0.06,32.7,67.8,0.0,65.0,15.0,25.75,★ REJECT
22,LICHSGFIN,-0.69,-0.7,-1.83,26.85,-23.49,0.0,-0.08,29.3,70.7,0.0,65.0,15.0,25.75,★ REJECT
23,IDEA,-1.45,-0.62,-1.16,23.43,-48.83,0.0,-0.19,34.8,67.0,0.0,65.0,15.0,25.75,★ REJECT
24,PAYTM,-0.26,-0.92,-2.09,42.83,-4.93,0.0,-0.03,31.5,68.5,0.0,56.0,15.0,22.6,★ REJECT
