Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,ADANIENT,1.08,-1.29,-1.25,65.56,59.47,59.0,0.08,129.0,57.7,36.0,93.0,60.75,60.9,★★ WATCH
2,DIXON,2.37,-1.75,-1.52,57.73,92.46,64.0,0.18,92.9,53.7,40.0,79.5,61.0,58.03,★ REJECT
3,PERSISTENT,1.87,-1.58,-1.46,50.19,71.0,59.0,0.13,103.4,58.6,36.0,82.5,63.75,57.82,★ REJECT
4,CUMMINSIND,1.2,-1.4,-1.6,44.63,35.67,59.0,0.07,110.9,70.0,36.0,82.5,49.75,55.02,★ REJECT
5,INFY,0.63,-1.3,-1.35,30.37,10.82,49.0,0.03,137.4,66.2,28.0,82.5,49.25,51.32,★ REJECT
6,HFCL,0.61,-1.13,-1.16,45.74,35.57,49.0,0.07,65.3,58.6,28.0,82.5,37.25,48.92,★ REJECT
7,CDSL,0.67,-1.17,-1.42,52.33,26.38,49.0,0.06,73.6,63.4,28.0,79.5,37.25,47.88,★ REJECT
8,ITC,0.73,-1.31,-1.22,23.89,9.8,49.0,0.04,117.5,51.7,28.0,65.0,43.25,44.0,★ REJECT
9,MOTHERSON,-0.4,-0.89,-1.26,44.07,-11.9,8.0,-0.02,110.9,78.4,0.0,82.5,27.0,34.28,★ REJECT
10,BEL,-0.94,-0.76,-1.41,54.07,-34.46,8.0,-0.06,114.7,88.9,0.0,82.5,27.0,34.28,★ REJECT
11,KEC,-0.4,-0.91,-1.29,45.28,-13.2,8.0,-0.03,78.7,73.8,0.0,82.5,21.0,33.07,★ REJECT
12,INDIGO,-0.72,-0.82,-1.37,45.51,-25.32,8.0,-0.05,86.6,70.6,0.0,82.5,21.0,33.07,★ REJECT
13,BALRAMCHIN,-0.76,-0.83,-1.17,49.54,-28.36,8.0,-0.05,96.6,87.1,0.0,82.5,21.0,33.07,★ REJECT
14,TATAPOWER,-0.48,-0.88,-1.41,33.52,-16.29,8.0,-0.04,62.3,65.2,0.0,82.5,17.0,32.28,★ REJECT
15,CEATLTD,-0.5,-0.89,-1.36,39.26,-15.26,8.0,-0.04,63.1,79.0,0.0,82.5,17.0,32.28,★ REJECT
16,IDEA,-0.83,-0.84,-1.16,29.63,-28.16,8.0,-0.09,48.1,67.8,0.0,82.5,17.0,32.28,★ REJECT
17,LICHSGFIN,-1.3,-0.67,-1.38,30.19,-31.62,0.0,-0.1,50.8,73.4,0.0,82.5,15.0,31.87,★ REJECT
18,PAYTM,0.15,-1.04,-1.44,45.65,2.31,28.0,0.01,51.3,63.3,16.0,56.0,22.0,31.2,★ REJECT
19,HINDUNILVR,-0.37,-0.84,-1.07,21.67,-4.68,8.0,-0.02,96.7,65.1,0.0,65.0,27.0,28.15,★ REJECT
20,RELIANCE,-0.15,-0.95,-1.64,26.85,-2.9,8.0,-0.01,75.2,70.0,0.0,65.0,21.0,26.95,★ REJECT
21,HDFCBANK,-0.16,-0.93,-1.17,13.8,-1.34,8.0,-0.01,61.1,57.0,0.0,65.0,21.0,26.95,★ REJECT
22,MARUTI,-0.44,-0.84,-1.54,26.67,-8.06,8.0,-0.03,81.1,70.5,0.0,65.0,21.0,26.95,★ REJECT
23,TCS,-0.33,-0.87,-1.53,17.59,-3.8,8.0,-0.02,57.6,69.8,0.0,65.0,17.0,26.15,★ REJECT
24,YESBANK,-0.45,-0.89,-1.33,26.57,-10.05,8.0,-0.03,62.9,66.4,0.0,65.0,17.0,26.15,★ REJECT
