Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,ADANIENT,1.54,-1.6,-2.07,65.56,116.82,53.0,0.17,44.8,55.2,36.0,93.0,54.25,59.6,★ REJECT
2,HFCL,1.27,-1.39,-1.79,45.74,114.11,53.0,0.23,44.2,56.7,36.0,82.5,54.25,55.92,★ REJECT
3,PERSISTENT,1.08,-1.51,-1.58,50.19,62.33,59.0,0.11,50.0,50.0,36.0,82.5,53.75,55.82,★ REJECT
4,CUMMINSIND,1.0,-1.57,-2.06,44.63,51.09,53.0,0.11,44.8,55.2,36.0,82.5,48.25,54.72,★ REJECT
5,DIXON,1.28,-1.6,-1.72,57.73,74.68,59.0,0.15,49.6,50.4,36.0,79.5,49.75,53.98,★ REJECT
6,YESBANK,0.75,-1.28,-1.89,26.57,24.97,43.0,0.09,41.8,58.2,28.0,65.0,31.75,41.7,★ REJECT
7,TATAPOWER,0.35,-1.13,-1.95,33.52,18.82,28.0,0.05,38.4,61.6,16.0,82.5,28.0,41.68,★ REJECT
8,INFY,0.01,-1.0,-1.38,30.37,0.33,28.0,0.0,43.6,56.4,16.0,82.5,22.0,40.47,★ REJECT
9,CDSL,0.13,-1.05,-1.73,52.33,8.48,28.0,0.02,39.5,60.5,16.0,79.5,22.0,39.42,★ REJECT
10,MOTHERSON,-0.11,-0.95,-1.3,44.07,-6.19,8.0,-0.01,43.1,56.9,0.0,82.5,17.0,32.28,★ REJECT
11,KEC,-0.27,-0.9,-1.47,45.28,-16.63,8.0,-0.03,39.1,60.9,0.0,82.5,17.0,32.28,★ REJECT
12,BALRAMCHIN,-0.54,-0.79,-1.17,49.54,-37.45,8.0,-0.07,43.4,58.3,0.0,82.5,17.0,32.28,★ REJECT
13,IDEA,-1.18,-0.68,-1.14,29.63,-70.08,8.0,-0.22,38.5,62.2,0.0,82.5,17.0,32.28,★ REJECT
14,LICHSGFIN,-0.39,-0.81,-1.73,30.19,-18.58,0.0,-0.06,34.4,65.6,0.0,82.5,15.0,31.87,★ REJECT
15,CEATLTD,-0.73,-0.73,-1.4,39.26,-37.74,0.0,-0.09,35.3,64.6,0.0,82.5,15.0,31.87,★ REJECT
16,INDIGO,-0.98,-0.61,-1.24,45.51,-61.36,0.0,-0.13,33.9,66.1,0.0,82.5,15.0,31.87,★ REJECT
17,BEL,-1.13,-0.52,-1.04,54.07,-80.59,0.0,-0.14,34.8,65.2,0.0,82.5,15.0,31.87,★ REJECT
18,ITC,-0.08,-0.95,-1.43,23.89,-2.32,8.0,-0.01,42.2,57.8,0.0,65.0,17.0,26.15,★ REJECT
19,TCS,-0.19,-0.88,-1.42,17.59,-4.18,8.0,-0.02,40.6,59.5,0.0,65.0,17.0,26.15,★ REJECT
20,HDFCBANK,-0.39,-0.74,-1.24,13.8,-6.85,8.0,-0.05,38.3,61.7,0.0,65.0,17.0,26.15,★ REJECT
21,MARUTI,-0.39,-0.76,-1.23,26.67,-14.4,8.0,-0.05,39.5,60.4,0.0,65.0,17.0,26.15,★ REJECT
22,RELIANCE,-0.15,-0.92,-1.85,26.85,-4.93,0.0,-0.02,35.2,64.8,0.0,65.0,15.0,25.75,★ REJECT
23,HINDUNILVR,-0.77,-0.51,-1.03,21.67,-22.46,0.0,-0.1,34.6,65.4,0.0,65.0,15.0,25.75,★ REJECT
24,PAYTM,-0.87,-0.67,-1.16,45.65,-24.78,8.0,-0.12,38.1,61.9,0.0,56.0,17.0,23.0,★ REJECT
