signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-14,2026-07-15,2026-07-15,1,TIME,UPTREND,596.3,593.32,593.32,682.32,557.71,589.85,-0.58,-0.78,False,False,0.0,23.75,7.6,67.72,7.45,2.99,2.05,3.71,28.92,104.26,-4.3,4487317.0,0.5,
2026-07-09,2026-07-10,2026-07-15,3,TIME,UPTREND,567.45,564.61,564.61,649.3,530.69,589.85,4.47,3.42,False,False,0.0,18.07,3.3,58.64,6.22,2.99,0.76,2.23,24.78,81.1,-8.93,1529277.0,0.5,
2026-07-07,2026-07-08,2026-07-15,5,TIME,UPTREND,571.65,568.79,568.79,654.11,535.64,589.85,3.7,2.8,False,False,0.0,19.07,4.48,61.67,7.27,2.9,0.68,3.07,24.45,94.21,-8.25,1426535.0,0.5,
2026-07-06,2026-07-07,2026-07-15,6,TIME,UPTREND,571.0,568.14,568.14,653.37,534.3,589.85,3.82,2.9,False,False,0.0,19.01,4.69,61.47,6.41,2.96,1.61,2.7,23.72,100.15,-8.36,816427.0,0.5,
2026-07-03,2026-07-06,2026-07-15,7,TIME,UPTREND,562.45,559.64,559.64,643.58,525.92,589.85,5.4,4.16,False,False,0.0,17.29,3.32,58.73,5.8,3.0,0.59,1.89,22.93,89.85,-9.73,319021.0,0.5,
2026-06-18,2026-06-19,2026-07-15,18,TIME,UPTREND,554.15,551.38,551.38,634.09,515.89,589.85,6.98,5.42,False,False,0.0,15.67,2.99,57.93,4.12,3.2,0.38,1.08,29.5,87.66,-11.06,1967500.0,0.5,
2026-06-16,2026-06-17,2026-07-15,20,TIME,UPTREND,559.05,556.25,556.25,639.69,519.97,589.85,6.04,4.67,False,False,0.0,16.69,4.22,61.61,4.03,3.24,0.44,1.41,28.57,107.65,-10.28,2089612.0,0.5,
2026-02-03,2026-02-04,2026-02-10,4,TARGET,DOWNTREND,437.45,435.26,435.26,461.38,416.25,461.38,6.0,4.64,False,False,0.0,-14.72,4.32,58.27,5.33,2.9,1.28,2.73,27.05,89.77,-29.79,-5576.0,0.5,
2026-01-23,2026-01-27,2026-02-03,5,TARGET,DOWNTREND,413.0,410.94,410.94,435.59,394.81,435.59,6.0,4.64,False,False,0.0,-20.04,-3.01,41.37,-3.9,2.6,1.59,-1.81,30.09,25.24,-33.72,-832523.0,0.5,
2025-12-10,2025-12-11,2026-01-09,20,STOP,DOWNTREND,447.75,445.51,443.0,469.58,423.51,423.51,-4.4,-4.6,False,False,0.0,-14.76,-0.43,49.09,-1.18,2.9,8.96,-1.0,23.78,46.0,-28.14,2271446.0,1.07,
