signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-26,2026-06-29,2026-07-07,6,STOP,UPTREND,151.45,150.69,150.69,173.29,141.87,141.87,-5.85,-6.05,False,False,0.0,26.93,4.7,66.09,5.79,2.91,0.0,0.02,39.9,104.07,-2.28,80526700.0,0.5,
2026-06-22,2026-06-23,2026-07-15,16,TIME,UPTREND,145.6,144.87,144.87,166.6,136.19,142.11,-1.9,-2.1,False,False,0.0,23.11,1.54,59.9,4.92,2.98,0.67,-0.42,40.74,69.17,-3.9,7688721.0,0.5,
2026-06-15,2026-06-16,2026-07-07,15,STOP,UPTREND,147.86,147.12,147.12,169.19,137.43,137.43,-6.59,-6.79,False,False,0.0,26.42,5.17,64.64,4.48,3.28,0.78,-0.24,43.38,89.08,-2.4,19169450.0,0.5,
2026-06-10,2026-06-11,2026-07-15,24,TIME,UPTREND,141.96,141.25,140.86,161.98,131.13,142.11,0.89,0.55,False,False,0.0,22.12,2.7,58.55,-0.14,3.43,0.67,-0.3,43.46,65.18,-6.3,45889300.0,0.79,
2026-06-09,2026-06-10,2026-07-15,25,TIME,UPTREND,143.81,143.09,143.09,164.55,133.2,142.11,-0.69,-0.89,False,False,0.0,23.93,4.64,61.79,6.07,3.44,0.68,-0.12,43.62,73.97,-5.08,114675292.0,0.5,
2026-06-05,2026-06-08,2026-07-15,27,TIME,UPTREND,143.31,142.59,141.75,163.02,132.02,142.11,0.25,0.04,False,False,0.0,24.02,5.37,64.33,5.42,3.39,0.49,0.45,44.23,75.28,-5.41,79665386.0,1.1,
2026-06-04,2026-06-05,2026-07-15,28,TIME,UPTREND,144.06,143.34,143.34,164.84,133.35,142.11,-0.86,-1.06,False,False,0.0,24.94,6.37,65.93,5.34,3.47,0.64,0.72,42.79,80.52,-4.92,59081442.0,0.5,
2026-06-03,2026-06-04,2026-07-15,29,TIME,UPTREND,145.36,144.63,144.63,166.32,134.44,142.11,-1.74,-1.94,False,False,0.0,26.36,7.88,68.66,10.17,3.5,0.68,0.94,40.97,88.74,-4.06,142708938.0,0.5,
2026-06-02,2026-06-03,2026-07-15,30,TIME,UPTREND,144.64,143.92,143.92,165.5,133.64,142.11,-1.25,-1.45,False,False,0.0,26.04,8.07,67.98,10.19,3.55,0.86,1.01,39.1,91.13,-4.53,179468653.0,0.5,
2026-06-01,2026-06-02,2026-07-14,30,TIME,UPTREND,141.52,140.82,140.82,161.94,130.48,142.06,0.88,0.55,False,False,0.0,23.61,6.73,64.9,10.11,3.65,1.37,1.05,37.17,83.09,-6.59,178413255.0,0.5,
2026-05-29,2026-06-01,2026-07-13,30,TIME,UPTREND,145.49,144.76,144.76,166.47,134.5,143.81,-0.66,-0.86,False,False,0.0,27.34,10.61,73.22,12.18,3.53,3.14,1.28,34.88,100.18,-3.97,197727493.0,0.5,
2026-05-28,2026-05-29,2026-07-10,30,TIME,UPTREND,142.16,141.45,141.45,162.67,132.2,142.94,1.05,0.68,False,False,0.0,24.71,9.1,70.25,12.93,3.25,0.0,1.08,32.41,95.55,-2.92,134381026.0,0.5,
2026-05-26,2026-05-27,2026-07-08,30,TIME,UPTREND,135.58,134.91,134.91,155.14,126.03,140.41,4.08,3.1,False,False,0.0,19.41,5.69,63.3,9.3,3.27,0.61,0.66,28.54,82.96,-2.29,90352094.0,0.5,
2026-05-25,2026-05-26,2026-07-07,30,TIME,UPTREND,135.67,135.0,135.0,155.25,125.86,143.12,6.02,4.66,False,False,0.0,19.7,6.2,63.49,4.31,3.37,0.73,0.75,27.57,87.32,-2.23,83121370.0,0.5,
2026-05-22,2026-05-25,2026-07-06,30,TIME,UPTREND,135.94,135.26,135.26,155.55,125.99,145.08,7.26,5.64,False,False,0.0,20.14,6.74,64.02,3.14,3.41,1.58,0.76,26.42,93.23,-2.04,88083563.0,0.5,
2026-05-21,2026-05-22,2026-07-03,30,TIME,UPTREND,136.76,136.08,136.08,156.49,126.81,146.05,7.32,5.7,False,False,0.0,21.07,7.83,65.56,5.04,3.39,3.19,0.66,25.19,104.58,-1.01,139771965.0,0.5,
2026-05-19,2026-05-20,2026-05-29,7,TARGET,UPTREND,131.26,130.61,130.02,149.53,121.3,149.53,15.0,11.84,False,False,0.0,16.53,3.91,59.53,9.36,3.32,1.35,0.22,22.95,81.85,-3.12,78525920.0,0.95,
2026-05-15,2026-05-18,2026-05-29,9,TARGET,UPTREND,129.69,129.05,128.73,148.04,120.0,148.04,15.0,11.84,False,False,0.0,15.44,3.17,58.09,7.19,3.36,1.19,0.08,22.53,76.77,-4.28,74375350.0,0.75,
2026-05-11,2026-05-12,2026-05-29,13,TARGET,UPTREND,130.07,129.42,129.42,148.84,121.04,148.84,15.0,11.84,False,False,0.0,16.34,4.14,60.26,1.85,3.22,0.55,0.62,25.06,82.85,-4.0,19636294.0,0.5,
2026-05-08,2026-05-11,2026-05-29,14,TARGET,UPTREND,131.8,131.14,130.35,149.91,121.8,149.91,15.0,11.84,False,False,0.0,18.04,5.86,63.29,5.04,3.25,0.84,0.56,24.55,98.2,-2.73,42260495.0,1.11,
2026-04-27,2026-04-28,2026-05-27,21,TARGET,UPTREND,127.71,127.07,127.07,146.13,117.49,146.13,15.0,11.84,False,False,0.0,15.41,8.12,59.11,4.72,3.75,0.45,1.4,25.91,78.88,-5.75,21778804.0,0.5,
2026-04-23,2026-04-24,2026-05-27,23,TARGET,UPTREND,127.0,126.36,126.36,145.32,116.35,145.32,15.0,11.84,False,False,0.0,15.02,9.2,58.91,7.71,3.94,0.86,1.91,24.66,82.38,-6.27,19309355.0,0.5,
2026-04-22,2026-04-23,2026-04-30,5,STOP,UPTREND,131.53,130.87,130.87,150.5,120.96,120.96,-7.58,-7.78,False,False,0.0,19.27,13.88,65.55,21.5,3.77,1.59,2.13,23.72,100.49,-2.92,84783760.0,0.5,
2026-03-02,2026-03-04,2026-03-09,3,STOP,UPTREND,128.03,127.39,124.4,143.06,116.34,116.34,-6.47,-6.67,False,False,0.0,18.85,-0.35,53.58,-2.77,3.14,1.15,-0.26,27.43,47.68,-5.51,7879789.0,2.92,
2026-02-27,2026-03-02,2026-03-09,4,STOP,UPTREND,132.7,132.03,125.59,144.43,118.21,118.21,-5.88,-6.08,False,False,0.0,23.37,3.86,63.75,1.58,2.78,1.1,0.17,29.34,70.81,-2.06,43314010.0,5.66,
2026-02-26,2026-02-27,2026-03-02,1,STOP,UPTREND,134.66,133.98,133.98,154.08,126.54,125.59,-6.26,-6.46,False,False,0.0,25.42,6.24,68.84,1.94,2.77,0.54,0.32,28.65,79.4,-0.38,46599834.0,0.5,
2026-02-23,2026-02-24,2026-03-04,5,STOP,UPTREND,130.19,129.54,129.54,148.97,121.49,121.49,-6.21,-6.41,False,False,0.0,21.92,5.41,62.87,5.15,3.09,0.51,0.47,27.62,70.39,-3.69,155795378.0,0.5,
2026-02-20,2026-02-23,2026-03-09,9,STOP,UPTREND,128.8,128.15,128.15,147.37,119.91,118.44,-7.58,-7.78,False,False,0.0,20.82,5.24,60.9,9.59,3.2,0.52,0.71,27.81,68.33,-4.72,166004488.0,0.5,
2026-02-19,2026-02-20,2026-03-09,10,STOP,UPTREND,129.25,128.61,128.61,147.9,120.23,118.44,-7.91,-8.11,False,False,0.0,21.45,6.39,61.91,7.35,3.24,0.77,1.12,27.9,71.65,-4.38,157563276.0,0.5,
2026-02-18,2026-02-19,2026-03-02,7,STOP,UPTREND,133.27,132.61,132.61,152.5,124.31,124.31,-6.26,-6.46,False,False,0.0,25.46,10.62,71.49,9.22,3.11,0.73,1.58,27.75,84.84,-1.41,167056314.0,0.5,
2026-02-17,2026-02-18,2026-03-04,9,STOP,UPTREND,132.02,131.36,131.36,151.06,122.99,122.99,-6.37,-6.57,False,False,0.0,24.52,10.77,70.15,9.35,3.17,0.84,1.72,26.75,85.24,-2.33,165467984.0,0.5,
2026-02-16,2026-02-17,2026-03-04,10,STOP,UPTREND,131.67,131.01,131.01,150.67,122.42,122.42,-6.56,-6.76,False,False,0.0,24.46,11.42,69.79,15.97,3.26,0.52,1.9,25.93,88.69,-2.59,183681950.0,0.5,
2026-02-13,2026-02-16,2026-03-04,11,STOP,UPTREND,130.63,129.97,129.87,149.35,121.16,121.16,-6.7,-6.9,False,False,0.0,23.72,11.36,68.72,16.26,3.33,0.92,2.02,25.21,90.85,-3.36,183164112.0,0.58,
2026-02-12,2026-02-13,2026-03-04,12,STOP,UPTREND,132.1,131.44,131.44,151.16,122.49,122.49,-6.81,-7.01,False,False,0.0,25.36,13.47,72.05,16.56,3.39,1.76,2.12,23.98,101.78,-2.27,188107129.0,0.5,
2026-02-11,2026-02-12,2026-03-09,16,STOP,UPTREND,129.54,128.89,128.89,148.23,119.96,118.44,-8.11,-8.31,False,False,0.0,23.18,12.19,69.68,16.82,3.45,3.07,1.94,22.65,103.04,-4.17,169001562.0,0.5,
2026-02-09,2026-02-10,2026-03-09,18,STOP,UPTREND,123.81,123.19,123.19,141.67,115.21,115.21,-6.48,-6.68,False,False,0.0,18.18,8.62,63.66,14.77,3.22,1.42,1.34,19.81,102.29,-0.86,77824301.0,0.5,
2026-02-05,2026-02-06,2026-03-16,25,STOP,UPTREND,120.41,119.8,118.43,136.19,111.03,111.03,-6.25,-6.45,False,False,0.0,15.28,6.03,61.07,10.32,3.07,0.44,1.27,20.65,91.76,-3.59,75872598.0,1.67,
2026-02-04,2026-02-05,2026-03-09,21,STOP,UPTREND,122.03,121.42,121.36,139.57,113.75,113.75,-6.27,-6.47,False,False,0.0,17.01,7.54,65.13,13.65,3.12,0.94,1.16,20.28,103.83,-2.29,99428228.0,0.55,
2026-02-03,2026-02-04,2026-03-09,22,STOP,UPTREND,120.73,120.13,120.13,138.15,112.5,112.5,-6.36,-6.56,False,False,0.0,15.97,6.48,63.32,8.0,3.16,2.48,0.72,19.89,98.53,-3.32,69912281.0,0.5,
2026-01-02,2026-01-05,2026-01-09,4,STOP,UPTREND,121.45,120.84,120.84,138.97,115.79,115.79,-4.18,-4.38,False,False,0.0,20.37,2.21,63.98,4.17,2.08,1.67,-0.16,23.02,83.8,-2.14,21889707.0,0.5,
2026-01-01,2026-01-02,2026-01-09,5,STOP,UPTREND,121.93,121.32,121.32,139.52,116.34,116.34,-4.1,-4.3,False,False,0.0,21.08,2.8,65.98,2.48,2.04,1.1,-0.22,22.25,94.25,-0.23,27363901.0,0.5,
2025-12-24,2025-12-26,2026-01-12,11,STOP,UPTREND,118.95,118.36,118.36,136.11,112.97,112.97,-4.55,-4.75,False,False,0.0,19.21,0.98,58.81,2.79,2.26,0.48,-0.21,26.58,64.82,-2.66,24245391.0,0.5,
2025-12-23,2025-12-24,2026-01-12,12,STOP,UPTREND,119.66,119.06,119.06,136.92,113.51,113.51,-4.66,-4.86,False,False,0.0,20.16,1.92,61.07,2.99,2.32,0.61,-0.11,27.63,73.28,-2.08,24083676.0,0.5,
2025-12-22,2025-12-23,2026-01-09,12,STOP,UPTREND,120.53,119.92,119.92,137.91,114.45,114.45,-4.57,-4.77,False,False,0.0,21.28,3.09,63.87,5.04,2.27,0.73,-0.05,28.61,81.08,-1.01,48588621.0,0.5,
2025-12-17,2025-12-18,2026-01-12,16,STOP,UPTREND,118.98,118.39,117.96,135.65,112.73,112.73,-4.43,-4.63,False,False,0.0,20.43,3.01,63.84,2.56,2.2,0.38,0.09,32.16,73.89,-1.58,27534421.0,0.87,
2025-12-16,2025-12-17,2026-01-12,17,STOP,UPTREND,118.99,118.4,118.4,136.16,113.1,113.1,-4.48,-4.68,False,False,0.0,20.65,3.35,63.88,0.26,2.23,0.29,0.19,32.55,76.47,-1.57,10656521.0,0.5,
2025-12-15,2025-12-16,2026-01-12,18,STOP,UPTREND,119.73,119.13,119.13,137.0,113.62,113.62,-4.62,-4.82,False,False,0.0,21.61,4.47,66.37,3.23,2.3,0.43,0.29,32.64,83.55,-0.96,47599918.0,0.5,
2025-12-12,2025-12-15,2026-01-09,18,STOP,UPTREND,120.71,120.11,120.11,138.13,114.49,114.49,-4.68,-4.88,False,False,0.0,22.82,5.8,69.74,4.29,2.33,0.73,0.3,32.6,93.78,-0.15,70299985.0,0.5,
2025-12-09,2025-12-10,2026-01-20,28,STOP,UPTREND,116.19,115.61,115.61,132.95,109.76,109.76,-5.06,-5.26,False,False,0.0,18.84,3.29,62.39,5.93,2.52,0.59,0.18,32.86,74.35,-2.38,111838382.0,0.5,
2025-12-08,2025-12-09,2026-01-20,29,STOP,UPTREND,114.74,114.17,113.95,131.04,108.34,108.34,-4.92,-5.12,False,False,0.0,17.56,2.52,59.4,5.57,2.44,0.36,0.28,33.76,67.43,-3.6,110843022.0,0.7,
2025-12-05,2025-12-08,2026-01-19,29,STOP,UPTREND,116.49,115.9,115.9,133.29,110.33,110.33,-4.81,-5.01,False,False,0.0,19.52,4.67,65.21,6.6,2.39,0.34,0.54,33.84,78.59,-2.13,60402605.0,0.5,
2025-12-04,2025-12-05,2026-01-19,30,STOP,UPTREND,116.99,116.41,116.41,133.87,110.68,110.68,-4.92,-5.12,False,False,0.0,20.24,5.75,66.98,4.96,2.45,0.58,0.68,32.52,83.81,-1.71,56678327.0,0.5,
2025-12-01,2025-12-02,2026-01-14,30,TIME,UPTREND,115.99,115.41,114.94,132.18,109.25,113.0,-1.69,-1.89,False,False,0.0,19.74,6.74,70.97,5.94,2.45,0.61,0.77,28.02,93.49,-1.25,43422962.0,0.91,
2025-11-28,2025-12-01,2026-01-13,30,TIME,UPTREND,115.75,115.17,115.17,132.45,109.47,114.38,-0.69,-0.89,False,False,0.0,19.65,7.07,70.57,5.89,2.46,0.99,0.72,26.64,98.78,-1.18,42246289.0,0.5,
2025-11-20,2025-11-21,2026-01-05,30,TIME,UPTREND,111.46,110.9,110.9,127.54,104.93,121.22,9.31,7.28,False,False,0.0,15.96,4.61,65.97,7.78,2.68,0.81,0.65,22.28,96.76,-3.17,156360335.0,0.5,
2025-11-19,2025-11-20,2026-01-02,30,TIME,UPTREND,111.62,111.06,111.06,127.72,104.93,121.45,9.36,7.32,False,False,0.0,16.24,5.08,66.61,7.34,2.75,1.88,0.59,20.7,106.74,-3.03,160057552.0,0.5,
2025-04-01,2025-04-02,2025-04-04,2,STOP,DOWNTREND,86.79,86.36,86.05,91.21,81.17,81.17,-5.66,-5.86,False,False,0.0,-22.79,3.58,53.45,8.78,3.74,0.68,0.82,24.39,72.71,-39.34,-13360154.0,0.86,
2025-03-26,2025-03-27,2025-04-04,5,STOP,DOWNTREND,88.97,88.53,86.05,91.21,81.62,81.62,-5.15,-5.35,False,False,0.0,-21.07,7.36,58.9,8.33,3.32,1.2,1.22,29.09,96.72,-37.82,31455323.0,3.39,
2025-03-24,2025-03-25,2025-03-27,2,STOP,DOWNTREND,88.36,87.92,87.92,93.19,83.56,83.56,-4.95,-5.15,False,False,0.0,-21.71,7.1,58.77,4.86,3.28,0.6,1.16,30.42,101.65,-38.25,-23693199.0,0.5,
2025-03-06,2025-03-07,2025-03-17,5,STOP,DOWNTREND,84.32,83.9,83.9,88.93,78.76,78.76,-6.12,-6.32,False,False,0.0,-25.71,0.34,46.73,-0.46,4.06,1.29,0.33,47.1,51.95,-41.07,-86641954.0,0.5,
2024-10-23,2024-10-24,2024-10-31,5,STOP,UPTREND,130.32,129.66,129.66,149.11,120.8,120.8,-6.83,-7.03,False,False,0.0,27.23,-4.13,44.54,-4.09,3.4,0.82,-1.3,17.65,15.05,-8.92,16889508.0,0.5,
