signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-04-10,2026-04-13,2026-04-16,2,TARGET,DOWNTREND,10676.0,10622.62,10400.0,11024.0,11128.0,11128.0,7.0,5.44,True,False,6.72,-24.32,3.67,53.89,4.93,4.1,1.06,94.93,13.84,80.43,-42.2,1263620.0,2.65,
2026-04-08,2026-04-09,2026-04-17,5,TARGET,DOWNTREND,10636.0,10582.82,10582.82,11217.79,11323.62,11320.0,6.97,5.41,True,False,7.79,-24.79,3.57,53.39,2.84,4.34,1.22,54.59,14.03,77.11,-42.42,1073239.0,0.5,
2026-02-04,2026-02-05,2026-02-20,11,STOP,DOWNTREND,11678.0,11619.61,11619.61,12316.79,11092.75,11092.75,-4.53,-4.73,False,False,1.96,-22.91,6.62,55.61,9.32,4.31,1.82,169.78,49.49,79.83,-36.78,3075544.0,0.5,
2026-01-30,2026-02-02,2026-02-04,2,TARGET,DOWNTREND,10446.0,10393.77,10250.0,10865.0,10967.5,10967.5,7.0,5.44,True,False,9.27,-31.32,-5.87,29.67,-5.92,4.34,2.76,18.67,57.27,26.25,-43.45,142267.0,1.91,
2026-01-29,2026-01-30,2026-02-02,1,TARGET,DOWNTREND,10337.0,10285.32,10100.0,10706.0,10807.0,10250.0,1.49,1.03,True,False,7.36,-32.13,-7.54,26.48,-6.9,3.98,1.02,-7.03,58.62,19.99,-44.04,-1854410.0,2.35,
2026-01-08,2026-01-09,2026-01-13,2,STOP,DOWNTREND,11987.0,11927.07,11927.06,12642.69,11379.68,11379.68,-4.59,-4.79,False,False,1.01,-22.21,-4.76,34.36,-5.08,3.71,1.1,19.43,47.04,27.93,-35.87,-1681928.0,0.5,
2026-01-07,2026-01-08,2026-01-13,3,STOP,DOWNTREND,11770.0,11711.15,11711.15,12413.82,11376.39,11376.39,-2.86,-3.06,False,False,2.94,-23.67,-6.62,29.23,-8.28,3.84,1.12,-4.59,46.99,18.71,-37.03,-3250927.0,0.5,
2026-01-02,2026-01-05,2026-01-07,2,STOP,DOWNTREND,12165.0,12104.17,12104.18,12830.43,11586.03,11586.03,-4.28,-4.48,False,False,1.45,-21.21,-5.47,32.6,-8.53,3.8,1.16,-22.48,46.63,23.45,-34.92,-4937864.0,0.5,
2025-12-31,2026-01-01,2026-01-07,4,STOP,DOWNTREND,12102.0,12041.49,12041.49,12763.98,11575.43,11575.43,-3.87,-4.07,False,False,2.06,-21.67,-7.21,31.1,-11.2,3.94,1.46,-68.91,46.99,15.19,-35.25,-4844878.0,0.5,
2025-12-15,2025-12-16,2025-12-18,2,STOP,DOWNTREND,13737.0,13668.32,13668.32,14488.41,13099.55,13099.55,-4.16,-4.36,False,False,1.13,-11.49,-3.51,41.99,-5.69,3.51,1.58,-36.18,46.29,35.56,-28.23,539062.0,0.5,
2025-12-12,2025-12-15,2025-12-18,3,STOP,DOWNTREND,13379.0,13312.1,13312.1,14110.83,13105.28,13105.28,-1.55,-1.75,False,False,3.84,-13.81,-6.65,36.49,-8.37,3.58,2.07,-97.54,47.02,23.84,-30.1,-261971.0,0.5,
2025-12-05,2025-12-08,2025-12-09,1,STOP,DOWNTREND,13749.0,13680.25,13680.26,14501.07,13446.6,13435.0,-1.79,-1.99,False,False,2.25,-11.58,-7.36,26.34,-8.13,2.63,1.07,-79.51,39.99,3.71,-28.17,-1271745.0,0.5,
2025-11-26,2025-11-27,2025-12-03,4,STOP,DOWNTREND,14825.0,14750.88,14750.88,15635.93,14326.74,14326.74,-2.88,-3.08,False,False,0.94,-4.79,-2.59,38.3,-3.15,2.53,1.24,-10.61,33.59,22.73,-22.55,95021.0,0.5,
2025-09-25,2025-09-26,2025-09-26,1,STOP,UPTREND,18202.0,18110.99,18110.99,20827.64,17542.1,17542.1,-3.14,-3.34,False,False,0.0,15.29,1.54,66.35,0.94,1.56,1.27,-37.12,36.69,69.35,-4.9,541070.0,0.5,
2025-09-19,2025-09-22,2025-09-26,4,STOP,UPTREND,18177.0,18086.12,18086.12,20799.03,17863.51,17863.51,-1.23,-1.43,False,False,2.13,15.27,2.93,67.18,1.85,1.67,0.9,4.99,34.31,73.26,-5.03,149601.0,0.5,
2025-09-18,2025-09-19,2025-09-26,5,STOP,UPTREND,18331.0,18239.35,18239.34,20975.25,17858.32,17858.32,-2.09,-2.29,False,False,1.27,16.3,4.23,72.42,2.73,1.67,1.18,18.15,33.01,82.09,-4.23,481338.0,0.5,
2025-09-12,2025-09-15,2025-09-26,9,STOP,UPTREND,18094.95,18004.47,18004.47,20705.14,17802.19,17802.19,-1.12,-1.32,False,False,2.59,15.16,4.63,70.99,8.47,1.85,0.44,56.89,28.43,82.73,-5.46,1086715.0,0.5,
2025-01-07,2025-01-08,2025-01-08,1,STOP,UPTREND,18443.64,18351.42,18351.42,21104.14,17330.41,17330.41,-5.56,-5.76,False,False,0.0,48.16,1.69,63.47,2.52,2.77,0.65,-91.5,32.06,68.65,-3.64,195626.0,0.5,
2025-01-03,2025-01-06,2025-01-08,2,STOP,UPTREND,18389.47,18297.52,18297.52,21042.15,17713.94,17713.94,-3.19,-3.39,False,False,2.15,49.1,1.88,65.9,-0.02,2.66,0.7,-96.86,33.78,68.18,-3.92,159107.0,0.5,
2024-12-30,2024-12-31,2025-01-08,6,STOP,UPTREND,18095.55,18005.07,17991.99,20690.79,17651.24,17651.24,-1.89,-2.09,False,False,3.89,49.41,1.47,63.43,0.83,2.87,0.7,-110.92,35.28,60.74,-5.46,789183.0,0.58,
2024-12-27,2024-12-30,2025-01-08,7,STOP,UPTREND,17964.31,17874.49,17874.49,20555.66,17650.59,17650.59,-1.25,-1.45,False,False,4.57,49.01,1.39,61.83,1.55,2.9,0.79,-103.92,35.35,58.12,-6.14,875565.0,0.5,
2024-12-26,2024-12-27,2024-12-31,2,STOP,UPTREND,18030.13,17939.98,17939.98,20630.97,17632.0,17632.0,-1.72,-1.92,False,False,3.68,50.22,2.44,63.11,2.91,2.69,0.27,-81.52,35.43,62.08,-5.8,1602266.0,0.5,
