signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-17,2026-06-18,2026-07-15,19,TARGET,DOWNTREND,1120.1,1114.5,1114.5,1181.37,1348.5,1368.0,22.75,18.04,True,False,26.25,-6.06,2.57,53.92,5.4,3.48,0.39,5.41,17.3,69.61,-18.94,-3429321.0,0.5,
2026-06-15,2026-06-16,2026-06-18,2,STOP,DOWNTREND,1121.4,1115.79,1115.79,1182.74,1064.27,1064.27,-4.62,-4.82,False,False,0.98,-6.07,2.47,54.29,2.41,3.71,1.17,0.51,19.74,67.68,-18.84,-7968300.0,0.5,
2026-04-08,2026-04-09,2026-04-21,7,TARGET,DOWNTREND,1112.95,1107.39,1107.39,1173.83,1184.9,1160.0,4.75,3.64,True,False,6.65,-5.01,8.4,57.29,5.56,4.35,1.68,12.04,27.83,111.64,-19.46,6183068.0,0.5,
2026-03-18,2026-03-19,2026-03-23,2,STOP,DOWNTREND,1076.4,1071.02,1045.2,1107.91,1009.93,1009.93,-3.37,-3.57,False,False,2.37,-7.64,-0.13,47.56,2.96,3.72,1.05,2.99,32.64,49.42,-22.1,6698022.0,2.99,
2026-01-02,2026-01-05,2026-01-09,4,STOP,UPTREND,1340.6,1333.9,1333.9,1533.98,1292.87,1292.87,-3.08,-3.28,False,False,1.75,24.25,2.48,57.01,4.24,2.4,1.0,-0.03,10.91,83.99,-2.98,3147268.0,0.5,
2025-12-31,2026-01-01,2026-01-08,5,TRAIL,UPTREND,1298.9,1292.41,1292.41,1486.27,1293.99,1293.99,0.12,-0.08,False,False,5.01,21.07,-0.84,48.33,1.37,2.43,0.53,-1.92,10.98,38.53,-6.0,2764648.0,0.5,
2025-12-29,2025-12-30,2026-01-09,8,STOP,UPTREND,1309.0,1302.45,1302.46,1497.82,1289.9,1289.9,-0.96,-1.16,False,False,4.2,22.72,-0.59,50.33,0.33,2.57,0.53,0.34,11.17,43.26,-5.27,3124833.0,0.5,
2025-12-26,2025-12-29,2026-01-09,9,STOP,UPTREND,1315.3,1308.72,1308.72,1505.03,1288.06,1288.06,-1.58,-1.78,False,False,3.7,23.66,-0.16,51.65,2.72,2.63,0.38,1.27,11.66,48.21,-4.81,6562583.0,0.5,
2025-12-24,2025-12-26,2026-01-09,10,STOP,UPTREND,1324.7,1318.08,1318.08,1515.79,1286.6,1286.6,-2.39,-2.59,False,False,2.97,24.9,0.64,53.6,4.45,2.66,0.43,1.95,12.39,57.2,-4.13,9957951.0,0.5,
2025-12-23,2025-12-24,2026-01-09,11,STOP,UPTREND,1340.3,1333.6,1333.6,1533.64,1285.56,1285.56,-3.6,-3.8,False,False,1.77,26.75,1.97,56.9,1.79,2.67,0.54,1.84,13.03,71.64,-3.0,7584870.0,0.5,
