signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-04-29,2026-04-30,2026-05-12,8,STOP,UPTREND,448.72,446.48,446.48,513.45,422.85,422.85,-5.29,-5.49,False,False,0.17,16.21,8.43,70.96,7.03,2.72,0.74,3.57,25.14,83.09,-2.88,67574774.0,0.5,
2026-02-11,2026-02-12,2026-02-19,5,STOP,DOWNTREND,373.34,371.47,371.47,393.76,369.91,369.91,-0.42,-0.62,False,False,2.8,-3.18,3.76,57.02,5.8,2.14,0.97,2.45,17.19,89.77,-9.86,8117089.0,0.5,
2026-01-29,2026-01-30,2026-02-02,1,STOP,DOWNTREND,364.19,362.37,362.37,384.11,353.43,352.81,-2.64,-2.84,False,False,0.65,-5.72,-0.19,49.61,-0.26,2.07,1.05,-0.3,26.86,48.72,-12.07,2300765.0,0.5,
2025-03-19,2025-03-20,2025-04-02,8,TRAIL,DOWNTREND,367.0,365.17,365.17,387.08,365.82,365.82,0.18,-0.02,False,False,4.45,-10.02,5.8,63.75,7.37,2.84,1.3,2.31,14.24,120.51,-24.94,24942877.0,0.5,
2024-10-03,2024-10-04,2024-10-07,1,STOP,UPTREND,466.15,463.82,463.82,533.39,443.33,443.33,-4.42,-4.62,False,False,1.07,15.51,4.61,63.28,7.08,2.73,0.88,3.05,27.17,74.18,-4.66,56237161.0,0.5,
2024-10-01,2024-10-03,2024-10-07,2,STOP,UPTREND,475.49,473.11,463.43,532.95,447.37,447.37,-3.47,-3.67,False,False,1.9,18.04,7.32,71.71,8.12,2.61,0.89,4.23,27.39,87.39,-2.75,64194327.0,2.6,
2024-09-30,2024-10-01,2024-10-03,1,STOP,UPTREND,476.82,474.44,474.44,545.6,460.35,460.35,-2.97,-3.17,False,False,2.29,18.59,8.19,73.0,8.85,2.62,0.95,4.68,25.75,94.05,-2.48,90080550.0,0.5,
2024-09-25,2024-09-26,2024-10-03,4,TRAIL,UPTREND,462.5,460.18,460.18,529.21,465.44,463.43,0.71,0.41,False,False,6.25,15.87,6.68,69.62,7.45,2.54,1.07,3.53,20.02,101.47,-1.3,84562000.0,0.5,
2024-09-24,2024-09-25,2024-10-03,5,TRAIL,UPTREND,463.14,460.82,460.82,529.95,465.23,463.43,0.57,0.29,False,False,6.1,16.31,7.27,70.21,5.25,2.56,2.69,3.09,18.62,113.49,-1.16,80321557.0,0.5,
2024-08-07,2024-08-08,2024-08-14,4,STOP,UPTREND,425.15,423.02,423.02,486.48,398.28,398.28,-5.85,-6.05,False,False,1.02,15.17,-1.39,46.18,2.46,3.42,1.72,0.09,17.66,38.7,-8.64,32811163.0,0.5,
2024-08-06,2024-08-07,2024-08-09,2,STOP,UPTREND,431.47,429.31,429.31,493.71,411.61,411.61,-4.12,-4.32,False,False,2.48,17.16,-0.02,49.19,4.86,3.29,1.23,1.23,17.74,49.83,-7.28,71345632.0,0.5,
2024-08-02,2024-08-05,2024-08-07,2,STOP,UPTREND,454.84,452.56,440.66,506.76,421.79,421.79,-4.28,-4.48,False,False,1.55,24.12,5.37,62.58,11.16,2.82,1.94,3.94,19.07,93.86,-2.26,71923641.0,3.22,
2024-08-01,2024-08-02,2024-08-05,1,STOP,UPTREND,458.84,456.55,454.79,523.01,440.54,440.54,-3.13,-3.33,False,False,2.32,25.56,6.59,65.44,8.01,2.71,2.54,3.66,19.24,108.94,-0.31,82897222.0,0.89,
2024-07-29,2024-07-30,2024-08-05,4,TRAIL,UPTREND,436.95,434.77,434.77,499.99,439.7,439.7,1.13,0.75,False,False,7.04,20.53,2.28,55.57,1.89,2.94,1.22,0.88,22.09,78.48,-4.29,208115.0,0.5,
2024-07-26,2024-07-29,2024-08-05,5,TRAIL,UPTREND,439.38,437.18,437.18,502.76,439.09,439.09,0.44,0.19,False,False,6.45,21.5,2.89,57.08,0.98,2.99,2.98,-0.06,23.1,86.85,-3.76,7101899.0,0.5,
