signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-15,2026-06-16,2026-06-18,2,TARGET,DOWNTREND,1265.7,1259.37,1259.37,1334.93,1175.52,1334.93,6.0,4.64,False,False,0.0,-9.78,3.75,58.6,4.16,2.36,2.01,4.67,14.81,110.31,-29.66,2004840.0,0.5,
2026-04-08,2026-04-09,2026-04-16,4,TARGET,DOWNTREND,1287.4,1280.96,1280.96,1357.82,1152.87,1357.82,6.0,4.64,False,False,0.0,-13.85,7.48,57.63,8.11,3.67,2.02,13.86,28.29,111.45,-29.03,5848681.0,0.5,
2026-02-04,2026-02-05,2026-03-02,17,STOP,DOWNTREND,1366.3,1359.47,1359.47,1441.04,1223.52,1205.2,-11.35,-11.55,False,False,0.0,-11.02,-0.52,47.05,1.89,3.59,1.4,1.56,35.28,46.9,-24.68,-1668469.0,0.5,
2026-02-03,2026-02-04,2026-03-04,19,STOP,DOWNTREND,1343.0,1336.29,1336.28,1416.46,1202.66,1202.66,-10.0,-10.2,False,False,0.0,-12.5,-2.53,43.86,-5.08,3.7,2.85,-3.53,36.94,35.46,-25.97,-8112295.0,0.5,
2026-01-28,2026-01-29,2026-02-02,2,STOP,DOWNTREND,1356.9,1350.12,1350.12,1431.12,1287.66,1229.0,-8.97,-9.17,False,False,0.0,-11.45,-3.63,37.66,-4.44,2.75,1.16,-4.65,36.15,24.61,-25.2,-6226505.0,0.5,
2026-01-22,2026-01-23,2026-01-27,1,STOP,DOWNTREND,1356.6,1349.82,1349.82,1430.81,1302.05,1302.05,-3.54,-3.74,False,False,0.0,-11.32,-4.92,32.71,-5.67,2.61,1.01,-6.12,35.43,8.39,-25.22,-3717471.0,0.5,
2025-07-10,2025-07-11,2025-07-11,1,STOP,UPTREND,1733.07,1724.4,1720.97,1979.11,1695.59,1695.59,-1.47,-1.67,False,False,0.0,17.57,0.6,56.79,0.02,2.95,0.51,-11.91,25.63,55.36,-12.19,5926813.0,0.7,
2025-07-09,2025-07-10,2025-07-11,1,STOP,UPTREND,1747.25,1738.52,1738.52,1999.3,1695.4,1695.4,-2.48,-2.68,False,False,0.0,18.63,1.72,59.42,0.99,2.97,0.42,-10.29,26.59,64.17,-11.47,10812904.0,0.5,
2025-07-07,2025-07-08,2025-07-11,3,STOP,UPTREND,1764.12,1755.3,1755.3,2018.59,1698.88,1698.88,-3.21,-3.41,False,False,0.0,20.0,2.67,62.88,3.2,3.01,0.59,-6.78,29.48,71.63,-10.62,15094398.0,0.5,
2025-07-04,2025-07-07,2025-07-25,14,STOP,UPTREND,1748.25,1739.5,1739.5,2000.43,1638.15,1638.15,-5.83,-6.03,False,False,0.0,19.05,1.71,61.11,4.55,3.06,1.16,-5.82,30.51,63.61,-11.42,19720943.0,0.5,
2025-07-03,2025-07-04,2025-07-25,15,STOP,UPTREND,1790.3,1781.35,1781.35,2048.55,1606.57,1606.57,-9.81,-10.01,False,False,0.0,22.07,4.11,69.27,10.2,2.89,0.67,-3.16,31.62,82.53,-9.29,28305115.0,0.5,
2025-07-02,2025-07-03,2025-07-25,16,STOP,UPTREND,1764.61,1755.79,1755.79,2019.16,1606.44,1606.44,-8.51,-8.71,False,False,0.0,20.5,2.7,66.75,5.87,2.96,0.59,-3.93,31.73,71.9,-10.59,22310514.0,0.5,
2025-07-01,2025-07-02,2025-07-25,17,STOP,UPTREND,1782.96,1774.05,1774.05,2040.16,1606.41,1606.41,-9.45,-9.65,False,False,0.0,21.92,4.0,70.58,6.56,2.94,0.67,-3.23,31.85,82.87,-9.66,22810852.0,0.5,
