signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-13,2026-07-14,2026-07-15,1,TIME,UPTREND,5555.0,5527.23,5527.22,6356.31,5344.82,5549.5,0.4,0.16,False,False,0.0,17.75,-1.51,48.1,0.24,2.61,0.68,-16.45,21.7,32.55,-8.93,426244.0,0.5,
2026-06-26,2026-06-29,2026-07-03,4,STOP,UPTREND,5642.0,5613.79,5613.79,6455.86,5499.49,5499.49,-2.04,-2.24,False,False,0.0,21.77,-1.06,50.53,0.36,2.55,0.0,-31.89,15.23,34.01,-7.51,148458.0,0.5,
2026-06-22,2026-06-23,2026-07-03,8,STOP,UPTREND,5764.0,5735.18,5735.18,6595.46,5503.0,5503.0,-4.05,-4.25,False,False,0.0,25.36,0.39,57.01,2.74,2.64,1.12,-5.67,16.94,53.74,-5.51,742222.0,0.5,
2026-06-19,2026-06-22,2026-07-03,9,STOP,UPTREND,5865.0,5835.68,5795.5,6664.82,5504.46,5504.46,-5.02,-5.22,False,False,0.0,27.82,2.49,63.13,1.4,2.49,0.63,-0.8,17.96,70.88,-3.85,849493.0,1.2,
2026-06-18,2026-06-19,2026-07-03,10,STOP,UPTREND,5858.0,5828.71,5828.71,6703.02,5503.63,5503.63,-5.58,-5.78,False,False,0.0,27.96,2.83,62.87,1.22,2.55,0.61,-4.88,17.44,71.67,-3.97,144889.0,0.5,
2026-06-15,2026-06-16,2026-07-03,13,STOP,UPTREND,5754.0,5725.23,5725.23,6584.01,5500.71,5500.71,-3.92,-4.12,False,False,0.0,26.5,2.24,59.6,1.29,2.8,0.79,-24.98,16.83,64.48,-5.67,572466.0,0.5,
2026-06-05,2026-06-08,2026-07-15,27,TIME,UPTREND,5784.0,5755.08,5650.0,6497.5,5296.24,5549.5,-1.78,-1.98,False,False,0.0,28.71,4.73,62.64,8.05,2.85,0.71,8.19,23.0,73.82,-5.18,132541.0,2.37,
2026-06-04,2026-06-05,2026-07-15,28,TIME,UPTREND,5787.5,5758.56,5758.56,6622.35,5293.35,5549.5,-3.63,-3.83,False,False,0.0,29.07,5.16,62.82,7.37,2.91,0.92,12.45,23.07,76.45,-5.12,282864.0,0.5,
2026-06-02,2026-06-03,2026-07-15,30,TIME,UPTREND,5708.0,5679.46,5679.46,6531.38,5140.13,5549.5,-2.29,-2.49,False,False,0.0,27.87,4.43,60.63,8.64,3.0,1.29,26.74,23.85,73.45,-6.43,270762.0,0.5,
2026-05-20,2026-05-21,2026-07-02,30,TIME,UPTREND,5399.5,5372.5,5372.5,6178.38,5112.39,5578.5,3.83,2.91,False,False,0.0,23.51,2.15,60.56,1.41,2.6,1.1,-15.24,19.09,88.41,-1.3,285249.0,0.5,
2026-05-19,2026-05-20,2026-05-27,5,TARGET,UPTREND,5254.0,5227.73,5214.0,5996.1,5114.23,5996.1,15.0,11.84,False,False,0.0,20.45,-0.43,54.03,-0.11,2.53,0.8,-21.72,19.39,41.99,-3.96,184294.0,0.77,
2026-05-18,2026-05-19,2026-05-27,6,TARGET,UPTREND,5298.5,5272.01,5272.01,6062.81,5114.03,6062.81,15.0,11.84,False,False,0.0,21.71,0.55,56.7,0.18,2.53,0.65,-17.07,20.18,59.1,-3.14,202126.0,0.5,
2026-05-15,2026-05-18,2026-06-29,30,TIME,UPTREND,5392.0,5365.04,5360.0,6164.0,5114.6,5541.5,3.39,2.55,False,False,0.0,24.11,2.42,62.73,2.38,2.44,0.99,-14.48,21.04,89.63,-1.43,863860.0,0.6,
2026-05-14,2026-05-15,2026-06-26,30,TIME,UPTREND,5367.0,5340.16,5340.16,6141.19,5114.15,5642.0,5.65,4.36,False,False,0.0,23.79,2.18,61.72,1.91,2.49,0.72,-20.43,21.02,86.35,-1.89,427428.0,0.5,
2026-05-11,2026-05-12,2026-05-27,11,TARGET,UPTREND,5238.5,5212.31,5212.31,5994.15,5086.95,5994.15,15.0,11.84,False,False,0.0,21.53,0.41,56.72,0.1,2.52,0.96,-9.63,23.95,54.73,-4.24,138641.0,0.5,
2026-05-08,2026-05-11,2026-06-22,30,TIME,UPTREND,5401.0,5373.99,5350.0,6152.5,5088.45,5764.0,7.74,6.03,False,False,0.0,25.55,3.63,69.21,3.23,2.34,0.98,1.8,25.04,91.11,-1.27,1217635.0,0.95,
2026-05-05,2026-05-06,2026-05-27,15,TARGET,UPTREND,5260.0,5233.7,5233.7,6018.75,5046.6,6018.75,15.0,11.84,False,False,0.0,23.07,2.68,63.47,2.81,2.49,0.5,-1.42,23.05,69.31,-1.66,1405025.0,0.5,
2026-05-04,2026-05-05,2026-05-27,16,TARGET,UPTREND,5289.0,5262.56,5262.56,6051.94,5045.38,6051.94,15.0,11.84,False,False,0.0,24.01,3.82,65.77,1.71,2.57,0.62,4.29,23.14,74.53,-1.12,991966.0,0.5,
2026-05-01,2026-05-04,2026-05-27,17,TARGET,UPTREND,5266.4,5240.07,5240.07,6026.08,5033.08,6026.08,15.0,11.84,False,False,0.0,23.74,4.03,64.84,2.44,2.62,0.0,7.95,23.12,73.58,-1.1,1222176.0,0.5,
2026-04-29,2026-04-30,2026-05-27,19,TARGET,UPTREND,5288.0,5261.56,5261.56,6050.79,4914.6,6050.79,15.0,11.84,False,False,0.0,24.78,5.94,66.32,5.69,2.75,0.47,18.69,24.35,79.2,-0.69,2866224.0,0.5,
2026-04-27,2026-04-28,2026-05-27,21,TARGET,UPTREND,5233.2,5207.03,5207.03,5988.09,4912.07,5988.09,15.0,11.84,False,False,0.0,24.05,6.1,64.48,1.84,2.98,0.66,25.19,22.92,80.03,-1.42,2132774.0,0.5,
2026-04-24,2026-04-27,2026-05-27,22,TARGET,UPTREND,5232.0,5205.84,5205.84,5986.72,4868.77,5986.72,15.0,11.84,False,False,0.0,24.31,6.74,64.44,6.61,3.05,0.54,29.65,22.18,83.13,-0.77,2839424.0,0.5,
2026-04-23,2026-04-24,2026-05-27,23,TARGET,UPTREND,5176.9,5151.02,5151.02,5923.67,4724.95,5923.67,15.0,11.84,False,False,0.0,23.28,6.39,62.75,7.94,3.09,0.53,32.63,21.74,81.02,-1.82,3365237.0,0.5,
2026-04-22,2026-04-23,2026-05-27,24,TARGET,UPTREND,5211.8,5185.74,5185.74,5963.6,4669.44,5963.6,15.0,11.84,False,False,0.0,24.39,7.73,64.56,12.35,3.14,0.52,38.56,20.66,88.1,-1.16,4967823.0,0.5,
2026-04-21,2026-04-22,2026-05-27,25,TARGET,UPTREND,5116.4,5090.82,5090.82,5854.44,4581.74,5854.44,15.0,11.84,False,False,0.0,22.39,6.53,61.76,8.9,3.21,0.74,39.68,19.69,82.76,-2.96,3938477.0,0.5,
2026-04-20,2026-04-21,2026-05-27,26,TARGET,UPTREND,5200.3,5174.3,5174.3,5950.44,4656.87,5950.44,15.0,11.84,False,False,0.0,24.67,8.73,66.01,11.92,3.14,0.63,46.43,18.52,95.74,-0.32,5311871.0,0.5,
2026-04-17,2026-04-20,2026-05-27,27,TARGET,UPTREND,5140.9,5115.2,5115.2,5882.47,4603.68,5882.47,15.0,11.84,False,False,0.0,23.52,8.17,64.4,11.54,3.19,0.54,43.49,17.55,96.4,-0.75,5369476.0,0.5,
2026-04-16,2026-04-17,2026-05-27,28,TARGET,UPTREND,5038.2,5013.01,5013.01,5764.96,4511.71,5764.96,15.0,11.84,False,False,0.0,21.33,6.63,61.47,11.96,3.25,0.67,40.1,16.69,91.02,-2.26,5438042.0,0.5,
2026-04-15,2026-04-16,2026-05-27,29,TARGET,UPTREND,5003.4,4978.38,4978.38,5725.14,4480.54,5725.14,15.0,11.84,False,False,0.0,20.75,6.33,60.44,8.03,3.37,0.78,40.83,16.46,92.16,-2.94,3520354.0,0.5,
2026-04-10,2026-04-13,2026-05-26,30,TIME,UPTREND,5138.7,5113.01,5030.0,5784.5,4527.0,5418.5,7.72,6.02,False,False,0.0,24.55,9.92,66.63,11.24,3.35,1.29,39.19,15.31,128.78,-0.31,207902.0,2.16,
2026-03-25,2026-03-27,2026-05-07,26,TARGET,UPTREND,4738.6,4714.91,4714.91,5422.14,4352.12,5422.14,15.0,11.84,False,False,0.0,16.69,0.7,54.96,2.33,3.53,0.87,-21.96,17.97,56.3,-4.98,942127.0,0.5,
2026-03-18,2026-03-19,2026-03-23,2,STOP,UPTREND,4717.6,4694.01,4660.0,5359.0,4437.6,4437.6,-4.77,-4.97,False,False,0.0,17.11,-0.7,54.57,2.9,3.43,1.0,-35.13,21.91,42.94,-5.4,1628222.0,1.24,
2026-03-12,2026-03-13,2026-03-23,6,STOP,UPTREND,4753.6,4729.83,4710.0,5416.5,4476.54,4476.54,-4.96,-5.16,False,False,0.0,18.94,0.68,56.43,-3.35,3.49,1.38,-30.21,27.38,55.03,-4.68,552311.0,0.93,
2026-03-11,2026-03-12,2026-03-12,1,STOP,UPTREND,4630.7,4607.55,4607.55,5298.68,4523.91,4523.91,-1.82,-2.02,False,False,0.0,16.14,-1.52,51.17,-5.7,3.42,0.69,-32.93,29.19,39.96,-7.14,298729.0,0.5,
2026-03-10,2026-03-11,2026-03-12,1,STOP,UPTREND,4718.0,4694.41,4694.41,5398.57,4524.81,4524.81,-3.61,-3.81,False,False,0.0,18.58,0.59,55.6,-3.4,3.28,0.83,-23.99,30.39,53.63,-5.39,1428493.0,0.5,
2026-03-09,2026-03-10,2026-03-12,2,STOP,UPTREND,4691.3,4667.84,4667.84,5368.02,4526.73,4526.73,-3.02,-3.22,False,False,0.0,18.18,0.35,54.48,-0.9,3.14,0.54,-18.71,31.34,52.05,-5.93,2442064.0,0.5,
2026-03-06,2026-03-09,2026-03-12,3,STOP,UPTREND,4800.7,4776.7,4740.0,5451.0,4527.34,4527.34,-4.49,-4.69,False,False,0.0,21.2,3.07,60.25,3.33,3.01,1.31,-8.21,33.38,66.8,-3.74,3582545.0,1.28,
2026-03-05,2026-03-06,2026-03-12,4,STOP,UPTREND,4791.4,4767.44,4767.44,5482.56,4527.8,4527.8,-5.03,-5.23,False,False,0.0,21.25,3.34,59.91,1.39,2.98,1.33,-4.17,34.42,67.7,-3.92,2235036.0,0.5,
