signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-13,2026-07-14,2026-07-15,1,TRAIL,UPTREND,214.63,213.56,211.95,243.74,203.67,223.08,5.25,4.04,False,False,5.41,113.11,2.15,60.12,1.75,4.57,0.45,-1.72,40.66,61.81,-6.48,28848578.0,1.26,
2026-07-08,2026-07-09,2026-07-14,3,STOP,UPTREND,214.74,213.67,213.5,245.52,206.31,206.31,-3.37,-3.57,False,False,4.29,117.73,5.48,61.12,4.87,4.79,0.63,-0.66,44.17,66.72,-6.43,27705261.0,0.58,
2026-07-07,2026-07-08,2026-07-15,5,TRAIL,UPTREND,226.04,224.91,220.0,253.0,198.92,223.08,1.4,0.96,False,False,1.73,130.82,12.29,70.88,11.74,4.52,1.23,-0.02,44.88,84.1,-1.51,66578064.0,2.75,
2026-07-06,2026-07-07,2026-07-15,6,TIME,UPTREND,224.95,223.83,223.83,257.4,201.44,223.08,-0.33,-0.53,False,False,2.54,131.48,13.1,70.46,7.4,4.46,1.04,-0.35,45.34,86.45,-0.11,921996.0,0.5,
2026-06-30,2026-07-01,2026-07-02,1,STOP,UPTREND,212.85,211.79,211.79,243.55,201.85,201.85,-4.69,-4.89,False,False,2.28,125.62,9.62,68.94,12.63,4.61,0.82,0.24,50.61,78.58,-3.29,37415707.0,0.5,
2026-06-29,2026-06-30,2026-07-15,11,TRAIL,UPTREND,210.93,209.88,209.88,241.36,198.98,223.08,6.29,4.87,False,False,9.35,125.29,9.28,68.1,16.89,4.62,1.21,0.53,51.75,78.41,-4.16,44844755.0,0.5,
2026-06-26,2026-06-29,2026-07-15,12,TRAIL,UPTREND,215.0,213.93,212.2,244.03,198.98,223.08,5.13,3.94,False,False,8.15,131.37,12.22,71.94,25.1,4.49,0.0,0.93,53.35,88.15,-2.31,94339191.0,1.32,
2026-06-22,2026-06-23,2026-07-15,16,TRAIL,UPTREND,209.46,208.41,208.05,239.26,198.98,223.08,7.22,5.62,False,False,10.31,132.35,13.7,73.37,17.76,4.78,0.96,0.92,54.9,95.55,-4.83,89832213.0,0.68,
2026-06-10,2026-06-11,2026-06-11,1,STOP,UPTREND,169.11,168.26,160.66,184.76,166.62,160.66,0.0,-0.2,False,False,0.0,97.86,1.26,56.54,-2.77,5.9,0.28,-2.23,60.76,52.64,-19.08,228072105.0,5.26,
2026-06-09,2026-06-10,2026-06-11,1,STOP,UPTREND,178.01,177.12,176.08,202.49,166.62,160.66,-8.76,-8.96,False,False,0.18,109.44,7.09,64.03,10.02,5.65,1.15,-0.86,61.93,64.57,-14.82,323654143.0,1.1,
2026-06-08,2026-06-09,2026-06-11,2,STOP,UPTREND,177.87,176.98,173.0,198.95,168.58,160.66,-7.13,-7.33,False,False,6.76,110.57,7.99,63.96,9.23,5.5,0.07,0.23,62.89,66.11,-14.89,183395491.0,2.82,
2026-06-05,2026-06-08,2026-06-11,3,STOP,UPTREND,187.23,186.29,177.87,204.55,168.58,160.66,-9.68,-9.88,False,False,3.84,123.07,14.7,72.71,26.33,5.25,0.66,1.7,64.29,79.27,-10.41,294400491.0,5.26,
2026-05-19,2026-05-20,2026-06-11,16,TARGET,UPTREND,138.17,137.48,137.48,158.1,167.97,160.66,16.86,13.33,True,False,52.01,78.12,7.86,65.1,7.3,5.59,0.57,-0.65,62.38,62.75,-11.03,92810834.0,0.5,
2026-05-18,2026-05-19,2026-06-11,17,TARGET,UPTREND,139.69,138.99,138.99,159.84,167.97,160.66,15.59,12.31,True,False,50.35,80.81,10.79,66.9,10.83,5.54,0.62,0.42,64.6,66.43,-10.05,276276905.0,0.5,
2026-02-03,2026-02-04,2026-02-06,2,TARGET,DOWNTREND,68.52,68.18,68.18,72.27,72.95,71.0,4.14,3.15,True,False,6.63,-9.54,5.14,56.47,3.72,4.98,1.61,0.65,16.49,80.55,-35.84,58053226.0,0.5,
2026-01-30,2026-02-02,2026-02-04,2,TARGET,DOWNTREND,68.61,68.27,65.7,69.64,70.3,68.19,3.79,2.87,True,False,6.76,-9.6,5.28,57.63,6.52,4.75,1.53,0.43,15.51,81.65,-35.76,65858923.0,4.43,
2026-01-01,2026-01-02,2026-01-09,5,STOP,DOWNTREND,68.92,68.58,68.58,72.69,65.58,65.58,-4.37,-4.57,False,False,3.96,-10.87,4.56,54.0,6.8,4.61,1.3,0.62,22.25,85.12,-40.71,225533004.0,0.5,
2025-12-31,2026-01-01,2026-01-09,6,STOP,DOWNTREND,67.79,67.45,67.45,71.5,65.58,65.58,-2.78,-2.98,False,False,5.69,-12.39,2.85,51.42,3.61,4.66,4.52,0.35,22.34,72.07,-41.83,166632604.0,0.5,
2025-12-29,2025-12-30,2026-01-01,2,TARGET,DOWNTREND,64.85,64.53,64.5,68.37,69.02,67.79,5.1,3.92,True,False,10.99,-16.37,-2.39,42.52,-2.57,4.21,7.11,0.01,23.4,34.31,-44.37,78743242.0,0.54,
2025-12-23,2025-12-24,2025-12-26,1,STOP,DOWNTREND,66.26,65.93,65.93,69.88,62.89,62.89,-4.61,-4.81,False,False,1.61,-14.85,-1.95,41.55,-1.41,3.38,1.58,-0.02,23.82,37.44,-44.08,-28948801.0,0.5,
2025-10-03,2025-10-06,2025-10-31,18,STOP,DOWNTREND,75.87,75.49,75.49,80.02,73.7,73.7,-2.37,-2.57,False,False,4.58,-11.36,2.88,54.83,-2.28,3.28,0.91,0.08,22.78,71.75,-50.26,45274496.0,0.5,
2025-09-18,2025-09-19,2025-09-26,5,STOP,DOWNTREND,77.64,77.25,77.25,81.89,72.73,72.73,-5.85,-6.05,False,False,0.39,-12.04,7.65,61.75,11.09,3.0,4.24,1.01,34.27,108.52,-54.53,150417571.0,0.5,
2025-09-16,2025-09-17,2025-10-31,30,STOP,DOWNTREND,76.46,76.08,76.08,80.64,73.7,73.7,-3.12,-3.32,False,False,3.78,-13.91,6.25,60.49,8.95,2.91,2.28,0.82,34.63,105.05,-55.22,95793083.0,0.5,
2025-08-04,2025-08-05,2025-08-07,2,STOP,DOWNTREND,74.9,74.53,74.53,79.0,72.24,72.24,-3.07,-3.27,False,False,1.21,-22.31,-5.96,35.27,-8.22,3.22,1.46,-0.55,41.73,12.24,-56.13,-17127495.0,0.5,
2025-07-29,2025-07-30,2025-08-01,2,STOP,DOWNTREND,78.56,78.16,78.16,82.85,74.68,74.68,-4.46,-4.66,False,False,1.05,-19.55,-3.63,39.61,-4.9,3.12,1.42,-0.46,33.51,20.84,-53.99,-2688309.0,0.5,
2025-07-28,2025-07-29,2025-08-01,3,STOP,DOWNTREND,76.27,75.89,75.89,80.44,74.69,74.69,-1.58,-1.78,False,False,4.08,-22.13,-6.85,29.82,-7.11,3.15,1.84,-0.6,31.5,-3.66,-55.33,-7627822.0,0.5,
2025-04-21,2025-04-22,2025-05-06,9,STOP,DOWNTREND,85.77,85.34,85.34,90.46,76.8,76.8,-10.0,-10.2,False,False,2.49,-26.43,6.5,57.63,5.06,4.19,0.96,1.09,18.21,90.91,-49.77,24785441.0,0.5,
2025-02-20,2025-02-21,2025-02-28,4,STOP,DOWNTREND,91.02,90.56,90.56,96.0,81.51,81.51,-10.0,-10.2,False,False,2.7,-24.66,-3.97,42.68,-8.83,5.46,1.32,-0.37,32.97,34.34,-46.7,-5723814.0,0.5,
2025-02-19,2025-02-20,2025-02-28,5,STOP,DOWNTREND,88.67,88.23,88.23,93.52,80.47,80.47,-8.8,-9.0,False,False,5.41,-26.62,-6.84,39.01,-12.8,5.66,1.28,-0.77,33.1,22.92,-48.07,-33154391.0,0.5,
