signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-26,2026-06-29,2026-07-06,5,STOP,UPTREND,151.45,150.69,150.69,173.29,144.91,144.91,-3.84,-4.04,False,False,2.02,26.93,4.7,66.09,5.79,2.91,0.0,0.02,39.9,104.07,-2.28,80526700.0,0.5,
2026-06-22,2026-06-23,2026-06-30,5,TRAIL,UPTREND,145.6,144.87,144.87,166.6,146.3,146.3,0.99,0.63,False,False,6.98,23.11,1.54,59.9,4.92,2.98,0.67,-0.42,40.74,69.17,-3.9,7688721.0,0.5,
2026-06-15,2026-06-16,2026-07-06,14,STOP,UPTREND,147.86,147.12,147.12,169.19,145.28,145.28,-1.25,-1.45,False,False,5.34,26.42,5.17,64.64,4.48,3.28,0.78,-0.24,43.38,89.08,-2.4,19169450.0,0.5,
2026-06-10,2026-06-11,2026-07-06,17,TRAIL,UPTREND,141.96,141.25,140.86,161.98,145.26,145.26,3.12,2.34,False,False,10.03,22.12,2.7,58.55,-0.14,3.43,0.67,-0.3,43.46,65.18,-6.3,45889300.0,0.79,
2026-06-09,2026-06-10,2026-07-06,18,TRAIL,UPTREND,143.81,143.09,143.09,164.55,145.09,145.09,1.4,0.96,False,False,8.31,23.93,4.64,61.79,6.07,3.44,0.68,-0.12,43.62,73.97,-5.08,114675292.0,0.5,
2026-06-05,2026-06-08,2026-07-06,20,TRAIL,UPTREND,143.31,142.59,141.75,163.02,145.25,145.25,2.47,1.81,False,False,9.33,24.02,5.37,64.33,5.42,3.39,0.49,0.45,44.23,75.28,-5.41,79665386.0,1.1,
2026-06-04,2026-06-05,2026-07-06,21,TRAIL,UPTREND,144.06,143.34,143.34,164.84,144.99,144.99,1.15,0.76,False,False,8.12,24.94,6.37,65.93,5.34,3.47,0.64,0.72,42.79,80.52,-4.92,59081442.0,0.5,
2026-06-03,2026-06-04,2026-07-06,22,TRAIL,UPTREND,145.36,144.63,144.63,166.32,144.8,144.8,0.12,-0.08,False,False,7.16,26.36,7.88,68.66,10.17,3.5,0.68,0.94,40.97,88.74,-4.06,142708938.0,0.5,
2026-06-02,2026-06-03,2026-07-06,23,TRAIL,UPTREND,144.64,143.92,143.92,165.5,144.7,144.7,0.55,0.28,False,False,7.69,26.04,8.07,67.98,10.19,3.55,0.86,1.01,39.1,91.13,-4.53,179468653.0,0.5,
2026-06-01,2026-06-02,2026-07-06,24,TRAIL,UPTREND,141.52,140.82,140.82,161.94,144.65,144.65,2.72,2.02,False,False,10.06,23.61,6.73,64.9,10.11,3.65,1.37,1.05,37.17,83.09,-6.59,178413255.0,0.5,
2026-05-29,2026-06-01,2026-07-06,25,STOP,UPTREND,145.49,144.76,144.76,166.47,144.72,144.72,-0.03,-0.23,False,False,7.06,27.34,10.61,73.22,12.18,3.53,3.14,1.28,34.88,100.18,-3.97,197727493.0,0.5,
2026-05-28,2026-05-29,2026-06-01,1,TRAIL,UPTREND,142.16,141.45,141.45,162.67,142.25,142.25,0.57,0.29,False,False,7.11,24.71,9.1,70.25,12.93,3.25,0.0,1.08,32.41,95.55,-2.92,134381026.0,0.5,
2026-05-26,2026-05-27,2026-06-01,3,TRAIL,UPTREND,135.58,134.91,134.91,155.14,142.63,142.63,5.72,4.42,False,False,12.31,19.41,5.69,63.3,9.3,3.27,0.61,0.66,28.54,82.96,-2.29,90352094.0,0.5,
2026-05-25,2026-05-26,2026-06-01,4,TRAIL,UPTREND,135.67,135.0,135.0,155.25,142.37,142.37,5.46,4.21,False,False,12.23,19.7,6.2,63.49,4.31,3.37,0.73,0.75,27.57,87.32,-2.23,83121370.0,0.5,
2026-05-22,2026-05-25,2026-06-01,5,TRAIL,UPTREND,135.94,135.26,135.26,155.55,142.23,142.23,5.15,3.96,False,False,12.01,20.14,6.74,64.02,3.14,3.41,1.58,0.76,26.42,93.23,-2.04,88083563.0,0.5,
2026-05-21,2026-05-22,2026-06-01,6,TRAIL,UPTREND,136.76,136.08,136.08,156.49,142.24,142.24,4.53,3.46,False,False,11.34,21.07,7.83,65.56,5.04,3.39,3.19,0.66,25.19,104.58,-1.01,139771965.0,0.5,
2026-05-19,2026-05-20,2026-06-01,8,TARGET,UPTREND,131.26,130.61,130.02,149.53,142.79,142.79,9.82,7.69,True,False,16.52,16.53,3.91,59.53,9.36,3.32,1.35,0.22,22.95,81.85,-3.12,78525920.0,0.95,
2026-05-15,2026-05-18,2026-06-01,10,TARGET,UPTREND,129.69,129.05,128.73,148.04,142.78,142.78,10.92,8.57,True,False,17.7,15.44,3.17,58.09,7.19,3.36,1.19,0.08,22.53,76.77,-4.28,74375350.0,0.75,
2026-05-11,2026-05-12,2026-06-01,14,TARGET,UPTREND,130.07,129.42,129.42,148.84,143.12,143.12,10.58,8.31,True,False,17.06,16.34,4.14,60.26,1.85,3.22,0.55,0.62,25.06,82.85,-4.0,19636294.0,0.5,
2026-05-08,2026-05-11,2026-06-01,15,TARGET,UPTREND,131.8,131.14,130.35,149.91,142.95,142.95,9.66,7.57,True,False,16.23,18.04,5.86,63.29,5.04,3.25,0.84,0.56,24.55,98.2,-2.73,42260495.0,1.11,
2026-04-27,2026-04-28,2026-04-30,2,STOP,UPTREND,127.71,127.07,127.07,146.13,119.0,119.0,-6.35,-6.55,False,False,1.19,15.41,8.12,59.11,4.72,3.75,0.45,1.4,25.91,78.88,-5.75,21778804.0,0.5,
2026-04-23,2026-04-24,2026-05-05,7,STOP,UPTREND,127.0,126.36,126.36,145.32,118.86,118.86,-5.94,-6.14,False,False,1.99,15.02,9.2,58.91,7.71,3.94,0.86,1.91,24.66,82.38,-6.27,19309355.0,0.5,
2026-04-22,2026-04-23,2026-04-30,5,STOP,UPTREND,131.53,130.87,130.87,150.5,121.62,121.62,-7.07,-7.27,False,False,0.5,19.27,13.88,65.55,21.5,3.77,1.59,2.13,23.72,100.49,-2.92,84783760.0,0.5,
2026-03-02,2026-03-04,2026-03-09,3,STOP,UPTREND,128.03,127.39,124.4,143.06,118.62,118.44,-4.79,-4.99,False,False,1.83,18.85,-0.35,53.58,-2.77,3.14,1.15,-0.26,27.43,47.68,-5.51,7879789.0,2.92,
2026-02-27,2026-03-02,2026-03-04,1,STOP,UPTREND,132.7,132.03,125.59,144.43,123.78,123.78,-1.44,-1.64,False,False,4.44,23.37,3.86,63.75,1.58,2.78,1.1,0.17,29.34,70.81,-2.06,43314010.0,5.66,
2026-02-26,2026-02-27,2026-03-02,1,STOP,UPTREND,134.66,133.98,133.98,154.08,128.04,125.59,-6.26,-6.46,False,False,1.13,25.42,6.24,68.84,1.94,2.77,0.54,0.32,28.65,79.4,-0.38,46599834.0,0.5,
2026-02-23,2026-02-24,2026-03-02,4,STOP,UPTREND,130.19,129.54,129.54,148.97,127.44,125.59,-3.05,-3.25,False,False,4.6,21.92,5.41,62.87,5.15,3.09,0.51,0.47,27.62,70.39,-3.69,155795378.0,0.5,
2026-02-20,2026-02-23,2026-03-02,5,STOP,UPTREND,128.8,128.15,128.15,147.37,127.25,125.59,-2.0,-2.2,False,False,5.73,20.82,5.24,60.9,9.59,3.2,0.52,0.71,27.81,68.33,-4.72,166004488.0,0.5,
2026-02-19,2026-02-20,2026-03-02,6,STOP,UPTREND,129.25,128.61,128.61,147.9,127.12,125.59,-2.35,-2.55,False,False,5.35,21.45,6.39,61.91,7.35,3.24,0.77,1.12,27.9,71.65,-4.38,157563276.0,0.5,
2026-02-18,2026-02-19,2026-03-02,7,STOP,UPTREND,133.27,132.61,132.61,152.5,127.19,125.59,-5.29,-5.49,False,False,2.18,25.46,10.62,71.49,9.22,3.11,0.73,1.58,27.75,84.84,-1.41,167056314.0,0.5,
2026-02-17,2026-02-18,2026-03-02,8,STOP,UPTREND,132.02,131.36,131.36,151.06,127.12,125.59,-4.39,-4.59,False,False,3.15,24.52,10.77,70.15,9.35,3.17,0.84,1.72,26.75,85.24,-2.33,165467984.0,0.5,
2026-02-16,2026-02-17,2026-03-02,9,STOP,UPTREND,131.67,131.01,131.01,150.67,126.9,125.59,-4.14,-4.34,False,False,3.42,24.46,11.42,69.79,15.97,3.26,0.52,1.9,25.93,88.69,-2.59,183681950.0,0.5,
2026-02-13,2026-02-16,2026-03-02,10,STOP,UPTREND,130.63,129.97,129.87,149.35,126.79,125.59,-3.3,-3.5,False,False,4.33,23.72,11.36,68.72,16.26,3.33,0.92,2.02,25.21,90.85,-3.36,183164112.0,0.58,
