signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-14,2026-07-15,2026-07-16,1,TIME,UPTREND,1381.4,1374.49,1374.49,1580.67,1237.04,1361.1,-0.97,-1.17,False,False,0.0,16.17,16.13,79.42,21.02,3.02,1.35,23.74,30.98,99.32,-1.14,17071158.0,0.5,
2026-07-13,2026-07-14,2026-07-16,2,TIME,UPTREND,1386.5,1379.57,1377.5,1584.12,1239.75,1361.1,-1.19,-1.39,False,False,0.0,16.7,17.91,80.64,22.36,3.07,1.63,22.87,28.41,110.11,-0.78,23627403.0,0.65,
2026-06-17,2026-06-18,2026-07-01,9,TARGET,DOWNTREND,1120.1,1114.5,1114.5,1181.37,1004.25,1181.37,6.0,4.64,False,False,0.0,-6.06,2.57,53.92,5.4,3.48,0.39,5.41,17.3,69.61,-18.94,-3429321.0,0.5,
2026-06-15,2026-06-16,2026-07-01,11,TARGET,DOWNTREND,1121.4,1115.79,1115.79,1182.74,1004.21,1182.74,6.0,4.64,False,False,0.0,-6.07,2.47,54.29,2.41,3.71,1.17,0.51,19.74,67.68,-18.84,-7968300.0,0.5,
2026-04-08,2026-04-09,2026-04-20,6,TARGET,DOWNTREND,1112.95,1107.39,1107.39,1173.83,996.65,1173.83,6.0,4.64,False,False,0.0,-5.01,8.4,57.29,5.56,4.35,1.68,12.04,27.83,111.64,-19.46,6183068.0,0.5,
2026-03-18,2026-03-19,2026-03-30,6,STOP,DOWNTREND,1076.4,1071.02,1045.2,1107.91,956.69,956.69,-8.47,-8.67,False,False,0.0,-7.64,-0.13,47.56,2.96,3.72,1.05,2.99,32.64,49.42,-22.1,6698022.0,2.99,
2026-01-02,2026-01-05,2026-01-12,5,STOP,UPTREND,1340.6,1333.9,1333.9,1533.98,1276.96,1276.96,-4.27,-4.47,False,False,0.0,24.25,2.48,57.01,4.24,2.4,1.0,-0.03,10.91,83.99,-2.98,3147268.0,0.5,
2025-12-31,2026-01-01,2026-01-12,7,STOP,UPTREND,1298.9,1292.41,1292.41,1486.27,1248.1,1248.1,-3.43,-3.63,False,False,0.0,21.07,-0.84,48.33,1.37,2.43,0.53,-1.92,10.98,38.53,-6.0,2764648.0,0.5,
2025-12-29,2025-12-30,2026-01-21,16,STOP,UPTREND,1309.0,1302.45,1302.46,1497.82,1247.59,1247.59,-4.21,-4.41,False,False,0.0,22.72,-0.59,50.33,0.33,2.57,0.53,0.34,11.17,43.26,-5.27,3124833.0,0.5,
2025-12-26,2025-12-29,2026-01-21,17,STOP,UPTREND,1315.3,1308.72,1308.72,1505.03,1247.36,1247.36,-4.69,-4.89,False,False,0.0,23.66,-0.16,51.65,2.72,2.63,0.38,1.27,11.66,48.21,-4.81,6562583.0,0.5,
2025-12-24,2025-12-26,2026-01-21,18,STOP,UPTREND,1324.7,1318.08,1318.08,1515.79,1244.28,1244.28,-5.6,-5.8,False,False,0.0,24.9,0.64,53.6,4.45,2.66,0.43,1.95,12.39,57.2,-4.13,9957951.0,0.5,
2025-12-23,2025-12-24,2026-01-21,19,STOP,UPTREND,1340.3,1333.6,1333.6,1533.64,1244.14,1244.14,-6.71,-6.91,False,False,0.0,26.75,1.97,56.9,1.79,2.67,0.54,1.84,13.03,71.64,-3.0,7584870.0,0.5,
2025-12-19,2025-12-22,2026-01-21,21,STOP,UPTREND,1336.0,1329.32,1329.32,1528.72,1243.77,1243.77,-6.44,-6.64,False,False,0.0,27.08,2.3,56.45,-0.64,2.79,1.29,-2.16,14.46,71.56,-3.31,2778282.0,0.5,
2025-12-10,2025-12-11,2025-12-11,1,STOP,UPTREND,1268.3,1261.96,1261.96,1451.25,1255.94,1255.94,-0.48,-0.68,False,False,0.0,22.9,-2.89,43.18,-1.41,2.86,0.57,-3.85,14.62,22.66,-8.21,2276398.0,0.5,
2025-12-09,2025-12-10,2026-01-21,29,STOP,UPTREND,1316.7,1310.12,1310.12,1506.63,1236.26,1236.26,-5.64,-5.84,False,False,0.0,27.92,0.67,52.24,6.07,2.65,0.43,0.41,14.42,56.62,-4.71,8370955.0,0.5,
2025-12-08,2025-12-09,2026-01-21,30,STOP,UPTREND,1321.0,1314.39,1314.4,1511.55,1222.22,1222.22,-7.01,-7.21,False,False,0.0,28.71,0.94,53.16,4.78,2.66,0.33,2.06,14.93,59.14,-4.4,7567352.0,0.5,
2025-11-17,2025-11-18,2025-11-21,3,STOP,UPTREND,1332.9,1326.24,1314.0,1511.1,1252.05,1252.05,-4.71,-4.91,False,False,0.0,35.11,2.03,60.8,2.28,2.42,0.9,-2.55,22.11,83.0,-1.54,11700333.0,1.44,
2025-11-13,2025-11-14,2025-11-21,5,STOP,UPTREND,1307.5,1300.96,1300.96,1496.11,1252.02,1252.02,-3.76,-3.96,False,False,0.0,33.19,0.4,56.18,-0.14,2.47,0.69,-2.28,23.57,56.12,-3.42,11350014.0,0.5,
2025-11-12,2025-11-13,2025-11-24,7,STOP,UPTREND,1306.2,1299.67,1299.67,1494.62,1251.75,1251.75,-3.69,-3.89,False,False,0.0,33.37,0.54,55.91,-0.27,2.56,0.73,-0.96,24.33,57.1,-3.52,7414629.0,0.5,
2025-11-11,2025-11-12,2025-11-24,8,STOP,UPTREND,1332.6,1325.94,1325.94,1524.83,1251.91,1251.91,-5.58,-5.78,False,False,0.0,36.38,2.8,63.19,2.02,2.46,0.82,0.98,25.07,83.57,-1.57,12566304.0,0.5,
2025-11-10,2025-11-11,2025-11-24,9,STOP,UPTREND,1330.7,1324.05,1324.05,1522.65,1251.82,1251.82,-5.46,-5.66,False,False,0.0,36.49,3.03,62.86,3.4,2.49,0.82,0.93,25.06,84.14,-1.71,13329350.0,0.5,
2025-11-07,2025-11-10,2025-11-24,10,STOP,UPTREND,1346.5,1339.77,1339.77,1540.73,1251.73,1251.73,-6.57,-6.77,False,False,0.0,38.42,4.6,67.43,4.86,2.49,1.78,0.57,24.65,101.34,-0.38,17549782.0,0.5,
2025-11-06,2025-11-07,2025-11-21,10,STOP,UPTREND,1320.6,1314.0,1314.0,1511.1,1252.02,1252.02,-4.72,-4.92,False,False,0.0,36.07,3.07,63.38,0.95,2.45,3.22,-2.03,24.25,84.51,-0.99,8508555.0,0.5,
2025-11-03,2025-11-04,2025-11-21,12,STOP,UPTREND,1274.8,1268.43,1268.43,1458.69,1255.97,1255.97,-0.98,-1.18,False,False,0.0,31.97,-0.01,54.16,-0.82,2.36,0.94,-1.19,26.06,49.9,-3.68,3207797.0,0.5,
2025-10-31,2025-11-03,2025-11-21,13,STOP,UPTREND,1303.2,1296.68,1296.68,1491.19,1252.83,1252.83,-3.38,-3.58,False,False,0.0,35.25,2.65,63.57,2.29,2.23,0.51,1.9,27.8,71.54,-1.53,9578351.0,0.5,
2025-10-30,2025-10-31,2025-11-21,14,STOP,UPTREND,1309.8,1303.25,1303.25,1498.74,1252.67,1252.67,-3.88,-4.08,False,False,0.0,36.26,3.8,66.04,2.54,2.27,0.61,3.37,27.81,75.73,-1.04,6427045.0,0.5,
2025-10-29,2025-10-30,2025-11-25,17,STOP,UPTREND,1309.3,1302.75,1302.75,1498.17,1239.32,1239.32,-4.87,-5.07,False,False,0.0,36.5,4.53,65.95,5.18,2.32,0.56,4.38,27.9,76.07,-1.07,8197912.0,0.5,
2025-10-28,2025-10-29,2025-12-11,30,TIME,UPTREND,1309.7,1303.15,1303.15,1498.62,1218.29,1280.5,-1.74,-1.94,False,False,0.0,36.83,5.36,66.09,4.83,2.35,0.88,5.29,28.04,77.64,-1.04,6810472.0,0.5,
2025-10-21,2025-10-23,2025-12-05,30,TIME,UPTREND,1308.2,1301.66,1301.66,1496.91,1209.37,1344.6,3.3,2.48,False,False,0.0,37.59,7.75,68.87,5.7,2.52,0.17,10.53,28.11,87.42,-0.82,717371.0,0.5,
