signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-02,2026-07-03,2026-07-15,8,STOP,DOWNTREND,2210.6,2199.55,2199.55,2331.52,2104.02,2104.02,-4.34,-4.54,False,False,1.81,-3.8,2.67,58.0,0.66,1.84,1.74,5.95,16.76,94.28,-18.16,-733943.0,0.5,
2026-06-18,2026-06-19,2026-06-30,7,STOP,DOWNTREND,2196.16,2185.18,2185.18,2316.29,2129.72,2129.72,-2.54,-2.74,False,False,0.72,-5.32,2.89,56.37,6.69,2.07,0.5,12.84,20.11,83.36,-18.69,3491870.0,0.5,
2026-04-17,2026-04-20,2026-04-23,3,TARGET,DOWNTREND,2218.24,2207.15,2207.15,2339.57,2361.65,2312.48,4.77,3.66,True,False,8.0,-6.46,6.0,60.24,8.53,2.49,2.08,20.85,24.26,117.14,-17.88,11830979.0,0.5,
2026-03-25,2026-03-27,2026-04-21,14,TARGET,DOWNTREND,2113.3,2102.74,2101.92,2228.04,2249.05,2216.16,5.43,4.19,True,False,6.13,-11.28,-2.75,40.14,-1.23,2.44,1.06,-4.74,38.33,34.77,-21.76,-155752.0,0.54,
2026-03-16,2026-03-17,2026-03-19,2,STOP,DOWNTREND,2153.79,2143.02,2143.02,2271.6,2075.91,2075.91,-3.13,-3.33,False,False,0.92,-9.87,-4.22,34.28,-6.95,2.29,1.18,-14.12,31.82,19.66,-20.26,-9770153.0,0.5,
2026-01-05,2026-01-06,2026-01-29,16,STOP,DOWNTREND,2360.09,2348.29,2348.29,2489.19,2307.2,2307.2,-1.75,-1.95,False,False,2.82,-0.62,3.66,59.9,4.57,1.42,1.03,14.87,31.82,124.03,-12.62,5864410.0,0.5,
2025-03-06,2025-03-07,2025-04-07,19,STOP,DOWNTREND,2156.79,2146.01,2146.01,2274.77,2127.34,2089.77,-2.62,-2.82,False,False,3.99,-12.31,-2.27,39.34,-1.4,2.17,1.18,-6.95,20.28,30.87,-26.04,-9114780.0,0.5,
2025-01-09,2025-01-10,2025-01-15,3,STOP,DOWNTREND,2367.18,2355.34,2355.34,2496.66,2290.92,2290.92,-2.74,-2.94,False,False,1.85,-2.91,3.11,57.64,4.4,1.8,1.71,14.8,29.16,110.46,-18.82,5368291.0,0.5,
2024-10-01,2024-10-03,2024-10-04,1,STOP,UPTREND,2809.16,2795.12,2794.75,3213.96,2735.0,2735.0,-2.14,-2.34,False,False,0.49,16.38,0.13,54.48,1.75,2.07,0.64,-4.7,33.68,51.75,-3.67,248710.0,0.52,
2024-09-30,2024-10-01,2024-10-03,1,STOP,UPTREND,2842.36,2828.15,2828.15,3252.37,2763.54,2763.54,-2.28,-2.48,False,False,0.65,17.85,1.54,59.67,3.18,2.02,0.87,-0.91,35.33,68.64,-2.53,2532013.0,0.5,
2024-09-27,2024-09-30,2024-10-03,2,STOP,UPTREND,2850.0,2835.75,2835.75,3261.11,2776.9,2776.9,-2.08,-2.28,False,False,1.57,18.27,2.1,60.91,1.14,2.02,1.61,1.12,35.81,73.49,-2.27,2670658.0,0.5,
2024-09-26,2024-09-27,2024-10-03,3,STOP,UPTREND,2869.07,2854.73,2854.73,3282.93,2776.82,2776.82,-2.73,-2.93,False,False,1.98,19.16,3.12,63.99,1.0,1.97,1.0,2.76,36.06,82.63,-1.61,3745738.0,0.5,
2024-09-24,2024-09-25,2024-10-03,5,STOP,UPTREND,2834.91,2820.74,2820.74,3243.85,2776.82,2776.82,-1.56,-1.76,False,False,3.21,17.93,2.58,60.75,1.79,2.02,0.99,4.79,38.28,75.27,-2.78,7266432.0,0.5,
2024-09-23,2024-09-24,2024-10-03,6,STOP,UPTREND,2909.86,2895.31,2895.31,3329.6,2776.82,2776.82,-4.09,-4.29,False,False,0.55,21.16,5.63,73.65,3.65,1.91,0.68,7.2,38.68,103.75,-0.21,7659156.0,0.5,
2024-09-19,2024-09-20,2024-10-04,9,STOP,UPTREND,2797.63,2783.65,2783.65,3201.19,2734.12,2734.12,-1.78,-1.98,False,False,4.76,16.72,2.21,63.23,2.58,1.87,0.93,-1.78,38.68,76.57,-1.74,7732538.0,0.5,
2024-09-13,2024-09-16,2024-10-04,13,STOP,UPTREND,2818.0,2803.91,2795.95,3215.35,2734.12,2734.12,-2.21,-2.41,False,False,4.3,17.94,3.78,70.67,5.58,1.72,1.03,9.35,47.71,91.58,-1.03,8621007.0,0.79,
2024-09-12,2024-09-13,2024-09-16,1,STOP,UPTREND,2840.53,2826.33,2826.33,3250.28,2719.66,2719.66,-3.77,-3.97,False,False,0.5,18.99,4.95,76.4,6.14,1.74,1.33,10.0,46.41,106.93,-0.24,6493296.0,0.5,
2024-09-09,2024-09-10,2024-09-16,4,STOP,UPTREND,2807.29,2793.25,2793.25,3212.24,2704.92,2704.92,-3.16,-3.36,False,False,1.93,17.91,4.74,77.14,3.57,1.71,1.95,5.77,42.37,120.31,-0.56,2710824.0,0.5,
2024-05-07,2024-05-08,2024-06-05,19,TARGET,DOWNTREND,2264.09,2252.77,2251.72,2386.82,2409.34,2409.34,7.0,5.44,True,False,6.07,-3.4,5.97,69.62,6.15,1.68,3.11,13.7,39.1,138.45,-13.46,2003772.0,0.55,
2024-04-16,2024-04-18,2024-05-08,13,TARGET,DOWNTREND,2113.18,2102.61,2102.61,2228.77,2249.79,2249.79,7.0,5.44,True,False,8.14,-10.82,-1.71,34.27,-2.85,1.5,1.12,-0.2,42.97,16.58,-19.23,-8538648.0,0.5,
2024-03-22,2024-03-26,2024-04-15,12,STOP,DOWNTREND,2147.19,2136.46,2123.93,2251.36,2115.8,2115.8,-0.38,-0.58,False,False,2.95,-10.38,-4.26,29.47,-6.74,1.55,1.66,-11.19,41.38,11.43,-17.93,-8525233.0,1.1,
2024-01-30,2024-01-31,2024-02-12,8,STOP,DOWNTREND,2339.5,2327.8,2327.8,2467.47,2281.66,2281.66,-1.98,-2.18,False,False,2.66,-3.39,-3.34,40.85,-3.35,2.01,1.05,-15.14,29.49,21.4,-10.58,-5007711.0,0.5,
2023-11-16,2023-11-17,2023-12-06,12,TARGET,DOWNTREND,2370.47,2358.62,2345.54,2486.27,2509.73,2445.45,4.26,3.25,True,False,6.98,-1.54,0.26,50.47,1.51,1.2,1.0,0.67,14.23,57.04,-9.39,1718406.0,1.06,
2023-10-11,2023-10-12,2023-10-20,6,STOP,DOWNTREND,2414.8,2402.73,2402.73,2546.89,2356.99,2356.99,-1.9,-2.1,False,False,1.51,-0.03,2.57,60.81,3.12,1.29,0.98,9.27,21.49,116.91,-7.7,8982101.0,0.5,
