Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
DIXON,false,17.28,0.219,15.94,436,56.2,199,45.6,0,0,183,42,54,12.4,46,8,2.81,10.21,-6.68,12.8,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
HFCL,true,4.62,0.067,137.62,386,49.5,172,44.6,0,0,185,47.9,29,7.5,19,10,0.62,10.47,-9.03,9.3,2015-09-18,2026-07-13,10.8,
PERSISTENT,false,3.75,0.123,-11.34,464,52.2,185,39.9,0,0,212,45.7,67,14.4,57,10,1.72,9.57,-6.85,14,2015-09-18,2026-07-13,10.8,
CDSL,false,3.7,0.08,1.87,407,46.7,159,39.1,0,0,207,50.9,41,10.1,31,10,0.97,10.23,-7.14,12.1,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
ADANIENT,true,3.68,0.053,42.3,552,48.7,200,36.2,0,0,276,50,76,13.8,69,7,0.67,9.41,-7.63,12.8,2015-09-18,2026-07-13,10.8,
CUMMINSIND,true,2.14,0.045,5.08,400,43.8,110,27.5,0,0,205,51.2,85,21.2,65,20,0.72,8.81,-5.57,15.9,2015-09-18,2026-07-13,10.8,
ITC,false,1.49,0.05,-10.84,217,53,27,12.4,0,0,96,44.2,94,43.3,88,6,0.97,6.22,-4.96,19.4,2015-09-18,2026-07-13,10.8,
PAYTM,false,1.23,0.022,15.67,197,43.1,67,34,0,0,102,51.8,28,14.2,18,10,0.3,9.25,-6.5,13.8,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
INFY,false,1.08,0.046,-19.64,285,51.9,34,11.9,0,0,121,42.5,130,45.6,114,16,0.89,5.61,-4.21,19.3,2015-09-18,2026-07-13,10.8,
TCS,false,0.2,0.012,-19.4,155,40,24,15.5,0,0,82,52.9,49,31.6,38,11,0.21,6.53,-4,17.1,2015-09-18,2026-07-13,10.8,
YESBANK,false,0.06,0.001,16.89,246,43.1,76,30.9,0,0,131,53.3,39,15.9,30,9,0.02,8.75,-6.6,13.2,2015-09-18,2026-07-13,10.8,
BEL,false,0,-0.067,-14.17,508,34.1,97,19.1,0,0,309,60.8,102,20.1,76,26,-1.04,8.6,-6.03,15.5,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0,-0.047,-3.28,122,36.1,15,12.3,0,0,74,60.7,33,27,29,4,-0.71,5.2,-4.04,15,2015-09-18,2026-07-13,10.8,
MARUTI,false,0,-0.045,0.01,247,34,29,11.7,0,0,157,63.6,61,24.7,55,6,-0.69,6.68,-4.5,15.3,2015-09-18,2026-07-10,10.8,
HINDUNILVR,false,0,-0.004,-6.19,199,46.7,11,5.5,0,0,91,45.7,97,48.7,82,15,-0.09,4.63,-4.22,19.8,2015-09-18,2026-07-13,10.8,
RELIANCE,false,0,-0.017,-9.01,251,35.9,41,16.3,0,0,152,60.6,58,23.1,49,9,-0.26,7.09,-4.37,15.1,2015-09-18,2026-07-13,10.8,
KEC,false,0,-0.02,-16.42,459,42,148,32.2,0,0,247,53.8,64,13.9,45,19,-0.29,9.32,-7.26,14.7,2015-09-18,2026-07-10,10.8,
LICHSGFIN,false,0,-0.102,-0.41,290,33.4,75,25.9,0,0,184,63.4,31,10.7,22,9,-1.33,7.98,-6.01,13,2015-09-18,2026-07-10,10.8,
TATAPOWER,false,0,-0.003,-15.82,305,41.3,96,31.5,0,0,175,57.4,34,11.1,30,4,-0.03,9.1,-6.46,11.3,2015-09-18,2026-07-13,10.8,
INDIGO,false,0,-0.063,12.18,429,36.6,105,24.5,0,0,263,61.3,61,14.2,52,9,-0.85,8.72,-6.37,13.4,2015-11-10,2026-07-13,10.7,
BALRAMCHIN,true,0,-0.057,13.28,480,41.2,134,27.9,0,0,251,52.3,95,19.8,64,31,-0.81,8.56,-7.4,14.2,2015-09-18,2026-07-10,10.8,
MOTHERSON,false,0,-0.007,10.66,425,43.1,97,22.8,0,0,217,51.1,111,26.1,86,25,-0.12,7.56,-5.93,16.2,2015-09-18,2026-07-13,10.8,
CEATLTD,false,0,-0.07,0.74,342,37.1,101,29.5,0,0,194,56.7,47,13.7,26,21,-0.98,9.48,-7.16,14.1,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.086,41.94,253,42.3,106,41.9,0,0,138,54.5,9,3.6,1,8,-0.7,10.45,-8.88,8.2,2015-09-18,2026-07-13,10.8,
