Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
HFCL,true,14.28,0.231,137.62,494,43.7,154,31.2,64,13,275,55.7,1,0.2,0,1,1.27,10.35,-5.77,5.5,2015-09-18,2026-07-13,10.8,
ADANIENT,true,10.34,0.165,42.3,708,43.5,180,25.4,137,19.4,391,55.2,0,0,0,0,1.54,9.49,-4.58,9.3,2015-09-18,2026-07-13,10.8,
DIXON,false,10.04,0.147,15.94,508,48.2,122,24,130,25.6,256,50.4,0,0,0,0,1.28,7.04,-4.1,8.7,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
CUMMINSIND,true,5.04,0.106,5.08,482,43.2,85,17.6,131,27.2,266,55.2,0,0,0,0,1,6.43,-3.12,9.4,2015-09-18,2026-07-13,10.8,
YESBANK,false,4.77,0.087,16.89,287,40.4,56,19.5,64,22.3,167,58.2,0,0,0,0,0.75,8.46,-4.47,8.7,2015-09-18,2026-07-13,10.8,
PERSISTENT,false,3.32,0.115,-11.34,542,48.9,132,24.4,139,25.6,271,50,0,0,0,0,1.08,6.55,-4.15,9.4,2015-09-18,2026-07-13,10.8,
TATAPOWER,false,0.88,0.052,-15.82,362,36.7,69,19.1,70,19.3,223,61.6,0,0,0,0,0.35,8.09,-4.15,6.6,2015-09-18,2026-07-13,10.8,
CDSL,false,0.68,0.018,1.87,471,37.8,92,19.5,94,20,285,60.5,0,0,0,0,0.13,7.16,-4.13,7.3,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
INFY,false,0.02,0.001,-19.64,328,42.1,21,6.4,122,37.2,185,56.4,0,0,0,0,0.01,3.48,-2.52,9.3,2015-09-18,2026-07-13,10.8,
BEL,false,0,-0.138,-14.17,584,33.2,36,6.2,167,28.6,381,65.2,0,0,0,0,-1.13,3.68,-3.53,8.2,2015-09-18,2026-07-13,10.8,
ITC,false,0,-0.009,-10.84,258,39.9,14,5.4,95,36.8,149,57.8,0,0,0,0,-0.08,3.87,-2.71,9.1,2015-09-18,2026-07-13,10.8,
MARUTI,false,0,-0.05,0.01,288,38.2,5,1.7,109,37.8,174,60.4,0,0,0,0,-0.39,3.28,-2.66,7.9,2015-09-18,2026-07-10,10.8,
TCS,false,0,-0.022,-19.4,190,38.4,10,5.3,67,35.3,113,59.5,0,0,0,0,-0.19,3.73,-2.63,8.4,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0,-0.046,-3.28,149,37.6,5,3.4,52,34.9,92,61.7,0,0,0,0,-0.39,3.04,-2.46,8.6,2015-09-18,2026-07-13,10.8,
RELIANCE,false,0,-0.017,-9.01,290,33.1,16,5.5,86,29.7,188,64.8,0,0,0,0,-0.15,4.93,-2.66,8.6,2015-09-18,2026-07-13,10.8,
HINDUNILVR,false,0,-0.096,-6.19,234,33.3,4,1.7,77,32.9,153,65.4,0,0,0,0,-0.77,2.43,-2.36,8,2015-09-18,2026-07-13,10.8,
KEC,false,0,-0.034,-16.42,489,38,89,18.2,102,20.9,298,60.9,0,0,0,0,-0.27,6.52,-4.44,8,2015-09-18,2026-07-10,10.8,
LICHSGFIN,false,0,-0.057,-0.41,326,31.9,42,12.9,70,21.5,214,65.6,0,0,0,0,-0.39,5.27,-3.04,6.9,2015-09-18,2026-07-10,10.8,
INDIGO,false,0,-0.126,12.18,487,33.1,53,10.9,112,23,322,66.1,0,0,0,0,-0.98,4.68,-3.77,7.7,2015-11-10,2026-07-13,10.7,
CEATLTD,false,0,-0.089,0.74,424,34.4,65,15.3,85,20,274,64.6,0,0,0,0,-0.73,5.9,-4.22,8.2,2015-09-18,2026-07-13,10.8,
BALRAMCHIN,true,0,-0.07,13.28,535,40.4,87,16.3,145,27.1,301,56.3,2,0.4,0,2,-0.54,5.11,-4.37,7.7,2015-09-18,2026-07-10,10.8,
MOTHERSON,false,0,-0.013,10.66,476,42.2,58,12.2,147,30.9,271,56.9,0,0,0,0,-0.11,4.88,-3.76,8.7,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.219,41.94,320,37.2,78,24.4,45,14.1,196,61.2,1,0.3,0,1,-1.18,6.59,-5.78,5.4,2015-09-18,2026-07-13,10.8,
PAYTM,true,0,-0.118,15.67,210,36.7,30,14.3,50,23.8,130,61.9,0,0,0,0,-0.87,4.79,-4.14,7.4,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
