Stock,Signals today,Rank,Exp/DAY%,RS%,Trades,Win%,Target #,Target %,Trail #,Trail %,Stop #,Stop %,Time #,Time %,Time-win,Time-loss,Expectancy%,Avg win%,Avg loss%,Avg days,BT from,BT to,Years,Remark
DIXON,false,12.1,0.203,15.94,508,42.1,164,32.3,56,11,286,56.3,2,0.4,0,2,2.62,11.52,-3.85,13,2017-09-18,2026-07-13,8.8,limited history: 8.8y (<10y) - lower confidence
HFCL,true,8.52,0.162,137.62,494,37.2,175,35.4,9,1.8,306,61.9,4,0.8,0,4,1.35,13.47,-5.84,8.4,2015-09-18,2026-07-13,10.8,
ADANIENT,true,4.22,0.081,42.3,708,36.2,180,25.4,77,10.9,447,63.1,4,0.6,0,4,0.86,10.32,-4.49,10.6,2015-09-18,2026-07-13,10.8,
CDSL,false,3.02,0.094,1.87,471,32.1,122,25.9,29,6.2,317,67.3,3,0.6,0,3,0.95,11.56,-4.05,10.1,2017-06-30,2026-07-13,9,limited history: 9.0y (<10y) - lower confidence
PERSISTENT,false,2.97,0.122,-11.34,542,41.3,147,27.1,79,14.6,316,58.3,0,0,0,0,1.41,8.72,-3.74,11.6,2015-09-18,2026-07-13,10.8,
TATAPOWER,false,2.63,0.173,-15.82,362,32.9,95,26.2,25,6.9,242,66.9,0,0,0,0,1.69,13.11,-3.91,9.8,2015-09-18,2026-07-13,10.8,
CEATLTD,false,0.97,0.029,0.74,424,34.9,107,25.2,41,9.7,271,63.9,5,1.2,0,5,0.34,8.71,-4.14,11.6,2015-09-18,2026-07-13,10.8,
CUMMINSIND,true,0.94,0.026,5.08,482,32.6,79,16.4,83,17.2,319,66.2,1,0.2,0,1,0.27,7.1,-3.03,10.5,2015-09-18,2026-07-13,10.8,
RELIANCE,false,0.9,0.048,-9.01,290,29.7,37,12.8,51,17.6,200,69,2,0.7,0,2,0.53,7.94,-2.59,11.1,2015-09-18,2026-07-13,10.8,
MOTHERSON,false,0.27,0.006,10.66,476,35.7,83,17.4,90,18.9,302,63.4,1,0.2,0,1,0.06,6.73,-3.64,11.6,2015-09-18,2026-07-13,10.8,
INFY,false,0.14,0.008,-19.64,328,36.6,28,8.5,95,29,197,60.1,8,2.4,0,8,0.11,4.81,-2.6,13.8,2015-09-18,2026-07-13,10.8,
MARUTI,false,0,-0.028,0.01,288,31.9,16,5.6,77,26.7,194,67.4,1,0.3,0,1,-0.31,4.65,-2.64,11.1,2015-09-18,2026-07-10,10.8,
TCS,false,0,-0.011,-19.4,190,32.1,23,12.1,39,20.5,124,65.3,4,2.1,0,4,-0.12,5.05,-2.56,11,2015-09-18,2026-07-13,10.8,
HDFCBANK,false,0,-0.008,-3.28,149,34.9,10,6.7,44,29.5,95,63.8,0,0,0,0,-0.09,4.15,-2.37,12,2015-09-18,2026-07-13,10.8,
ITC,false,0,-0.084,-10.84,258,29.1,12,4.7,69,26.7,176,68.2,1,0.4,0,1,-0.89,3.52,-2.7,10.7,2015-09-18,2026-07-13,10.8,
HINDUNILVR,false,0,-0.068,-6.19,234,32.1,11,4.7,66,28.2,156,66.7,1,0.4,0,1,-0.74,2.76,-2.39,10.8,2015-09-18,2026-07-13,10.8,
BEL,false,0,-0.119,-14.17,584,23.1,54,9.2,90,15.4,437,74.8,3,0.5,0,3,-1.13,5.68,-3.18,9.6,2015-09-18,2026-07-13,10.8,
KEC,false,0,-0.021,-16.42,489,29,106,21.7,39,8,343,70.1,1,0.2,0,1,-0.23,9.37,-4.17,11,2015-09-18,2026-07-10,10.8,
INDIGO,false,0,-0.128,12.18,487,23,60,12.3,55,11.3,370,76,2,0.4,0,2,-1.17,6.66,-3.51,9.2,2015-11-10,2026-07-13,10.7,
LICHSGFIN,false,0,-0.065,-0.41,326,27.9,55,16.9,41,12.6,230,70.6,0,0,0,0,-0.58,6.21,-3.21,9,2015-09-18,2026-07-10,10.8,
BALRAMCHIN,true,0,-0.132,13.28,535,29.5,110,20.6,51,9.5,370,69.2,4,0.7,0,4,-1.3,6.27,-4.48,9.9,2015-09-18,2026-07-10,10.8,
YESBANK,false,0,-0.048,16.89,287,35.5,64,22.3,40,13.9,177,61.7,6,2.1,0,6,-0.54,6.27,-4.29,11.3,2015-09-18,2026-07-13,10.8,
IDEA,true,0,-0.167,41.94,320,35,104,32.5,8,2.5,200,62.5,8,2.5,0,8,-1.47,7.03,-6.04,8.8,2015-09-18,2026-07-13,10.8,
PAYTM,true,0,-0.026,15.67,210,30.5,50,23.8,16,7.6,144,68.6,0,0,0,0,-0.28,9.18,-4.42,10.6,2021-11-18,2026-07-13,4.6,limited history: 4.6y (<10y) - lower confidence
