Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,PERSISTENT,1.11,-1.5,-1.57,42.96,53.82,59.0,0.12,49.8,50.2,36.0,82.5,49.75,55.02,★ REJECT
2,DIXON,1.62,-1.8,-1.8,49.55,80.66,59.0,0.18,51.2,48.9,36.0,79.5,53.75,54.78,★ REJECT
3,ADANIENT,1.78,-1.7,-2.11,51.11,99.36,53.0,0.18,45.5,54.5,36.0,82.5,48.25,54.72,★ REJECT
4,HFCL,0.66,-1.21,-1.59,35.74,44.0,43.0,0.11,43.8,57.0,28.0,82.5,36.75,48.82,★ REJECT
5,CUMMINSIND,0.73,-1.39,-1.96,37.04,31.6,43.0,0.08,43.4,56.5,28.0,82.5,31.75,47.82,★ REJECT
6,TATAPOWER,0.65,-1.26,-1.92,28.24,27.45,43.0,0.09,41.4,58.7,28.0,82.5,31.75,47.82,★ REJECT
7,YESBANK,1.06,-1.4,-1.98,22.78,29.03,53.0,0.12,42.6,57.3,36.0,65.0,39.25,46.8,★ REJECT
8,CDSL,0.38,-1.15,-1.8,45.22,20.76,28.0,0.05,41.0,59.0,16.0,79.5,28.0,40.62,★ REJECT
9,ITC,0.18,-1.11,-1.45,20.09,3.91,28.0,0.02,46.1,53.9,16.0,65.0,22.0,34.35,★ REJECT
10,INFY,0.17,-1.12,-1.46,26.39,5.13,28.0,0.02,44.6,55.4,16.0,65.0,22.0,34.35,★ REJECT
11,MOTHERSON,-0.05,-0.98,-1.32,39.35,-2.55,8.0,-0.01,43.5,56.5,0.0,82.5,17.0,32.28,★ REJECT
12,KEC,-0.09,-0.97,-1.51,42.5,-5.05,8.0,-0.01,40.1,59.9,0.0,82.5,17.0,32.28,★ REJECT
13,BALRAMCHIN,-0.55,-0.79,-1.17,44.44,-33.12,8.0,-0.07,43.2,58.5,0.0,82.5,17.0,32.28,★ REJECT
14,CEATLTD,-0.9,-0.69,-1.49,31.67,-35.91,0.0,-0.1,32.5,67.5,0.0,82.5,15.0,31.87,★ REJECT
15,INDIGO,-0.98,-0.62,-1.33,40.09,-52.77,0.0,-0.12,32.6,67.4,0.0,82.5,15.0,31.87,★ REJECT
16,BEL,-1.17,-0.52,-1.08,47.04,-70.61,0.0,-0.14,34.1,65.9,0.0,82.5,15.0,31.87,★ REJECT
17,TCS,-0.07,-0.96,-1.48,14.35,-1.24,8.0,-0.01,41.3,58.7,0.0,65.0,17.0,26.15,★ REJECT
18,MARUTI,-0.37,-0.78,-1.14,22.87,-11.36,8.0,-0.05,41.7,58.3,0.0,65.0,17.0,26.15,★ REJECT
19,HINDUNILVR,-0.47,-0.67,-1.06,18.43,-11.14,8.0,-0.06,40.2,59.8,0.0,65.0,17.0,26.15,★ REJECT
20,IDEA,-1.26,-0.67,-1.21,23.43,-60.72,8.0,-0.24,36.4,64.2,0.0,65.0,17.0,26.15,★ REJECT
21,RELIANCE,-0.13,-0.93,-1.91,23.24,-3.76,0.0,-0.02,34.7,65.3,0.0,65.0,15.0,25.75,★ REJECT
22,LICHSGFIN,-0.28,-0.87,-1.78,26.85,-11.31,0.0,-0.04,35.5,64.5,0.0,65.0,15.0,25.75,★ REJECT
23,HDFCBANK,-0.54,-0.68,-1.39,11.3,-8.3,0.0,-0.07,33.6,66.4,0.0,65.0,15.0,25.75,★ REJECT
24,PAYTM,-0.84,-0.69,-1.16,42.83,-21.87,8.0,-0.11,38.0,61.9,0.0,56.0,17.0,23.0,★ REJECT
