Institution Rank,Stock,Expectancy%,Profit Factor,Reward Risk,Trades / Year,Profit Velocity,Signal Quality,Holding Efficiency,Winning Exit %,Losing Exit %,Edge Score,Reliability Score,Efficiency Score,Composite Score,Recommendation
1,ADANIENT,1.14,-1.32,-1.36,65.56,63.72,59.0,0.09,124.0,67.0,36.0,93.0,58.75,60.5,★★ WATCH
2,DIXON,3.46,-2.34,-1.6,57.73,122.94,68.0,0.24,107.4,59.2,40.0,79.5,72.0,60.22,★★ WATCH
3,PERSISTENT,2.19,-1.75,-1.52,50.19,78.59,64.0,0.15,113.9,68.5,40.0,82.5,65.0,59.88,★ REJECT
4,CUMMINSIND,1.44,-1.5,-1.52,44.63,41.45,59.0,0.09,122.7,67.6,36.0,82.5,49.75,55.02,★ REJECT
5,INFY,0.84,-1.45,-1.38,30.37,13.12,49.0,0.04,141.6,77.3,28.0,82.5,49.25,51.32,★ REJECT
6,CDSL,0.86,-1.25,-1.56,52.33,31.56,43.0,0.07,76.7,79.3,28.0,79.5,31.75,46.78,★ REJECT
7,TATAPOWER,0.39,-1.11,-1.34,33.52,11.22,34.0,0.03,75.7,64.1,16.0,82.5,33.5,42.78,★ REJECT
8,HFCL,0.28,-1.06,-1.33,45.74,17.78,28.0,0.04,57.9,63.6,16.0,82.5,28.0,41.68,★ REJECT
9,ITC,0.41,-1.19,-1.15,23.89,5.16,34.0,0.02,116.3,64.5,16.0,65.0,37.5,37.45,★ REJECT
10,MARUTI,0.04,-1.02,-1.34,26.67,0.58,28.0,0.0,103.1,73.9,16.0,65.0,32.0,36.35,★ REJECT
11,HDFCBANK,0.24,-1.11,-1.25,13.8,1.94,34.0,0.01,64.1,58.9,16.0,65.0,27.5,35.45,★ REJECT
12,RELIANCE,0.21,-1.08,-1.62,26.85,3.48,28.0,0.01,83.9,80.3,16.0,65.0,26.0,35.15,★ REJECT
13,MOTHERSON,-0.56,-0.85,-1.29,44.07,-17.14,8.0,-0.04,99.9,82.2,0.0,82.5,21.0,33.07,★ REJECT
14,INDIGO,-0.74,-0.81,-1.33,45.51,-24.35,8.0,-0.05,96.8,78.7,0.0,82.5,21.0,33.07,★ REJECT
15,BEL,-0.81,-0.78,-1.43,54.07,-28.62,8.0,-0.05,123.1,105.3,0.0,82.5,21.0,33.07,★ REJECT
16,CEATLTD,-0.1,-0.98,-1.47,39.26,-2.97,8.0,-0.01,62.0,84.6,0.0,82.5,17.0,32.28,★ REJECT
17,KEC,-0.53,-0.87,-1.35,45.28,-17.12,8.0,-0.04,77.4,82.2,0.0,82.5,17.0,32.28,★ REJECT
18,BALRAMCHIN,-1.0,-0.77,-1.27,49.54,-39.06,8.0,-0.07,87.4,98.0,0.0,82.5,17.0,32.28,★ REJECT
19,IDEA,-1.1,-0.79,-1.18,29.63,-38.08,8.0,-0.12,46.2,73.1,0.0,82.5,17.0,32.28,★ REJECT
20,LICHSGFIN,-1.08,-0.72,-1.41,30.19,-25.1,0.0,-0.08,53.8,81.5,0.0,82.5,15.0,31.87,★ REJECT
21,PAYTM,0.21,-1.06,-1.44,45.65,3.15,28.0,0.01,52.3,66.0,16.0,56.0,22.0,31.2,★ REJECT
22,HINDUNILVR,-0.37,-0.85,-0.96,21.67,-4.21,14.0,-0.02,101.4,66.7,0.0,65.0,28.5,28.45,★ REJECT
23,YESBANK,-0.25,-0.93,-1.23,26.57,-4.88,8.0,-0.02,71.9,69.2,0.0,65.0,21.0,26.95,★ REJECT
24,TCS,-0.52,-0.83,-1.3,17.59,-4.94,8.0,-0.03,60.7,78.6,0.0,65.0,17.0,26.15,★ REJECT
