Metric,Value
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.2
Annualized Volatility,3.174901573277509
HHI,0.5
Effective Positions,2.0
Largest Position,0.5
Sector Count,1.0
Value at Risk,0.0
Expected Shortfall,0.0
Maximum Drawdown,0.0
Risk Violations,6.0
Overall Risk Score,21.0
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.2
Annualized Volatility,3.174901573277509
HHI,0.5
Effective Positions,2.0
Largest Position,0.5
Sector Count,1.0
Value at Risk,0.0
Expected Shortfall,0.0
Maximum Drawdown,0.0
Risk Violations,6.0
Overall Risk Score,21.0
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.2
Annualized Volatility,3.174901573277509
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.0
Expected Shortfall,0.0
Maximum Drawdown,0.0
Risk Violations,5.0
Overall Risk Score,25.0
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.2
Annualized Volatility,3.174901573277509
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.0
Expected Shortfall,0.0
Maximum Drawdown,0.0
Risk Violations,5.0
Overall Risk Score,25.0
Risk Rating,Critical
