ticker,yahoo,status,scan_date,signal_date,bt_from,bt_to,years,sector,company,exchange,subsector,strategy,recommendation,trade_status,signals_today,confidence,rank_score,portfolio_rank,regime_today,open,high,low,close,cmp,volume,avg20_volume,volume_ratio,day_chg_%,gap_%,candle_range,candle_range_%,atr,atr_points,atr_pct,above_50dma,above_200dma,pct_from_20dma,pct_from_50dma,pct_from_200dma,rsi,roc,relative_strength,entry,target,stop_loss,entry_ref,limit_price,target_hold_days,expected_return_pct,expected_return_points,risk_pct,risk_points,risk_reward,target_hits,target_hit_pct,stop_hits,stop_hit_pct,trail_exits,trail_pct,time_exits,time_pct,time_win,time_loss,hist_trades,win_rate,expectancy,avg_win_%,avg_loss_%,avg_days,exp_per_day_%,total_return_sum_%,cagr_%,profit_factor,reward_risk_ratio,recovery_factor,max_drawdown_%,max_consecutive_losses,seq_trades,cut_exits,remarks,expectancy_score,profit_factor_score,reward_risk_score,win_rate_score,relative_strength_score,confidence_score,trade_history_score,recovery_score,cagr_score,drawdown_score,trend_score,liquidity_score,expectancy_pct,profit_factor_pct,reward_risk_ratio_pct,win_rate_pct,relative_strength_pct,confidence_pct,recovery_factor_pct,cagr_%_pct,max_drawdown_%_pct,institutional_rank,remaining_upside_pct,entry_distance_pct,target_completion_pct,return_per_day_pct,risk_per_day_pct,capital_efficiency,opportunity_efficiency,confidence_weighted_return,atr_adjusted_return,stop_cushion_pct,opportunity_score,downside_exposure_pct,target_stop_distance_ratio,atr_risk_multiple,return_to_atr_ratio,risk_adjusted_return,volatility_efficiency,stop_loss_buffer,risk_score,risk_quintile,risk_decile,trend_alignment,trend_strength,momentum_trend_ratio,rsi_trend_score,breakout_strength,trend_conviction,trend_quintile,trend_decile,roc_strength,rsi_strength,momentum_acceleration,momentum_persistence,relative_momentum,momentum_efficiency,conviction_momentum,momentum_quality,momentum_score,momentum_band,momentum_quintile,momentum_decile,volume_strength,participation_score,volume_conviction,volume_efficiency,liquidity_efficiency,institutional_participation,accumulation_score,distribution_risk,turnover_quality,volume_score,volume_band,volume_quintile,volume_decile,confidence_quality,reward_quality,risk_quality,trend_quality,liquidity_quality,stability_quality,consistency_quality,opportunity_quality,quality_score,quality_band,quality_quintile,quality_decile,institutional_score,alpha_score,execution_score,portfolio_fit_score,composite_score,institutional_percentile,institutional_quintile,institutional_decile,institutional_grade,recommendation_score,recommendation_band,top_decile,top_quintile,top_10_percent,bottom_10_percent,confidence_norm,rank_score_norm,relative_strength_norm,expectancy_norm,win_rate_norm,portfolio_score,weight,weight_pct,capital_fraction,current_weight,target_weight,weight_change,rebalance_action,turnover,run_id,timestamp,date
LAURUSLABS,LAURUSLABS,ok,2026-07-31,2026-07-31,2018-01-01,2026-07-31,8.6,Healthcare,,NSE,,PASS_combined,BUY,NEW,True,13.06,50.46,1,UPTREND,1785.0,1826.6,1785.0,1816.2,1816.2,2502212,2263459,1.11,1.96,0.21,41.6,2.29,44.91,44.91,2.47,True,True,13.4,21.57,56.62,81.83,18.72,56.17,1816.2,1995.85,1726.37,1816.199951171875,,14.0,9.89,179.65,4.95,89.83,2.05,214,33.4,310,48.4,117,18.3,0,0.0,0,0,641,51.0,2.41,8.9,-4.35,9.0,0.268,1543.78,-12.92,2.13,2.05,1.9999,-80.69,8,131,0,limited history: 8.6y (<10y) - lower confidence,48.2,56.5,68.3,72.9,100.0,100.0,100.0,0.0,0.0,0.0,84.05,65.11,99.17184265010351,99.17184265010351,94.30641821946169,99.17184265010351,99.58592132505176,99.37888198757764,87.06004140786749,75.15527950310559,53.41614906832298,94.07,9.8915,0.0,0.0,0.7064,0.3536,0.0989,1.998,1.2916,4.004,4.946,42.79,4.946,1.9999,2.004,4.004,1.9977,0.8089,89.83,41.83,,,2,100.0,7.5789,45.425000000000004,55.5,91.612,5,10,100.0,28.57,7.5789,1.11,2.4448,4.0047,0.3193,0.6731,68.74,Strong,5,10,16.12,2.1053,0.145,8.9099,12.3314,60.88,20.7792,1.1706,13.5489,64.29,Strong,5,10,100.0,36.01,75.88,76.395,64.7,24.2219,88.073,42.31,67.45,Strong,,,59.76,61.66,62.97,52.37,59.4,,,,,,,,,,,1.0,0.6449489963803883,1.0,1.0,0.39097744360902265,0.8325824432750187,0.1047423883705045,10.47423883705045,0.1047423883705045,0.0,0.1047423883705045,0.1047423883705045,BUY,0.1047423883705045,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
ABDL,ABDL,ok,2026-07-31,,2024-07-02,2026-07-31,2.1,Fast Moving Consumer Goods,,NSE,,PASS_combined,WATCH,WATCH,False,10.53,61.25,2,,654.0,654.0,613.7,619.5,619.5,338284,567209,0.6,-4.46,0.86,40.3,6.51,24.19,24.19,3.9,True,True,-2.71,0.77,11.06,47.45,0.48,15.92,619.5,716.26,571.12,619.5,,11.0,15.62,96.76,7.81,48.38,1.4,71,47.7,59,39.6,17,11.4,2,1.3,0,2,149,59.1,1.89,6.35,-4.55,8.8,0.214,281.53,12.81,2.01,1.4,2.0,-22.41,4,26,0,limited history: 2.1y (<10y) - lower confidence,37.8,50.5,46.7,84.4,89.8,100.0,100.0,19.8,51.2,55.2,63.82,41.48,98.34368530020704,98.55072463768117,61.18012422360248,99.79296066252587,79.71014492753623,97.9296066252588,99.58592132505176,99.79296066252587,3.5196687370600417,87.42,15.619,0.0,0.0,1.42,0.71,0.1562,2.0,1.6448,4.0051,7.8095,100.0,7.8095,2.0,2.0026,4.0051,2.0,0.5128,48.38,29.44,,,2,100.0,0.1231,68.625,30.0,63.105,4,7,49.61,59.05,0.1231,0.6,0.0505,4.0049,0.0053,0.4546,45.66,Average,2,4,7.28,0.7666,0.0632,26.0333,20.4082,43.931,0.288,2.4375,4.6461,36.3,Weak,5,9,83.85,96.0,44.57,54.74,38.89,13.0245,68.331,64.72,60.14,Strong,,,57.97,75.56,41.76,62.89,60.11,,,,,,,,,,,0.6809583858764185,1.0,0.24583099119355442,0.6462585034013604,1.0,0.7398359340759155,0.1047423883705045,10.47423883705045,0.1047423883705045,0.0,0.1047423883705045,0.1047423883705045,BUY,0.1047423883705045,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
COFORGE,COFORGE,ok,2026-07-31,,2018-01-01,2026-07-31,8.6,Information Technology,,NSE,,PASS_combined,WATCH,WATCH,False,8.3,45.39,3,,1710.0,1738.8,1681.7,1721.0,1721.0,3380777,3634681,0.93,-1.26,-1.89,57.1,3.32,59.6,59.6,3.46,True,True,11.78,16.37,14.12,70.82,14.36,47.58,1721.0,1959.42,1601.79,1721.0,,16.5,13.85,238.42,6.93,119.21,2.03,206,33.2,324,52.2,91,14.7,0,0.0,0,0,621,47.3,1.87,8.75,-4.3,10.2,0.184,1164.35,-15.63,1.83,2.03,2.0,-75.23,6,117,0,limited history: 8.6y (<10y) - lower confidence,37.4,41.5,67.7,67.6,100.0,83.0,100.0,0.0,0.0,0.0,80.88,68.66,98.13664596273291,97.9296066252588,93.99585921325053,95.54865424430642,98.13664596273291,96.27329192546584,48.033126293995856,65.63146997929607,39.33747412008282,87.67,13.8536,0.0,0.0,0.8394,0.42,0.1385,1.9986,1.1496,4.0029,6.9268,81.23,6.9268,2.0,2.0029,4.0029,1.9986,0.5776,119.21,38.39,,,2,100.0,4.1503,72.95000000000002,46.5,87.858,5,10,97.74,64.73,4.1503,0.93,1.1919,4.0039,0.0989,0.5049,68.14,Strong,5,9,13.0,1.079,0.0772,14.8925,18.213,51.194,13.3548,1.7927,10.5144,47.3,Average,5,10,66.1,77.47,74.92,74.51,57.98,18.1345,66.774,59.81,64.94,Strong,,,64.0,77.85,49.05,61.86,64.04,,,,,,,,,,,0.3997477931904162,0.47811780190852254,0.8390481543938542,0.6326530612244898,0.11278195488721801,0.48374779295945125,0.1047423883705045,10.47423883705045,0.1047423883705045,0.0,0.1047423883705045,0.1047423883705045,BUY,0.1047423883705045,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
JBMA,JBMA,ok,2026-07-31,,2018-01-01,2026-07-31,8.6,Automobile and Auto Components,,NSE,,PASS_combined,WATCH,WATCH,False,11.53,41.33,4,,674.0,676.0,651.0,658.35,658.35,538273,372387,1.45,-2.96,-0.66,25.0,3.8,19.81,19.81,3.01,False,True,-2.14,-2.69,6.36,43.82,-1.79,6.35,658.35,737.6,618.72,658.3499755859375,,9.0,12.04,79.25,6.02,39.63,1.85,267,41.6,329,51.2,46,7.2,0,0.0,0,0,642,47.5,1.75,9.15,-4.94,6.9,0.254,1126.16,-22.79,1.68,1.85,1.9997,-89.82,8,165,0,limited history: 8.6y (<10y) - lower confidence,35.0,34.0,61.7,67.9,65.9,100.0,100.0,0.0,0.0,0.0,37.44,46.97,97.51552795031056,96.8944099378882,90.37267080745342,96.27329192546584,59.3167701863354,98.75776397515527,48.033126293995856,34.368530020703936,77.01863354037268,81.85,12.0377,0.0,0.0,1.3378,0.6689,0.1204,2.0,1.3882,4.0,6.0196,64.75,6.0196,1.9997,2.0,4.0,2.0,0.6645,39.63,39.9,,,1,50.0,-0.5947,59.550000000000004,36.25,40.705,2,4,41.74,47.13,-0.5947,0.725,-0.2064,3.9992,-0.0238,0.5697,44.0,Average,2,3,22.01,2.5378,0.1672,8.3034,16.1471,52.937,-2.5955,1.2286,8.2405,62.03,Strong,5,10,91.82,58.52,66.25,40.72,54.5,9.3367,69.548,52.325,58.98,Average,,,51.14,51.37,58.73,54.99,53.49,,,,,,,,,,,0.8070617906683479,0.34452122408687064,0.06651676972081692,0.5510204081632653,0.1278195488721806,0.46368950512165,0.1047423883705045,10.47423883705045,0.1047423883705045,0.0,0.1047423883705045,0.1047423883705045,BUY,0.1047423883705045,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
BAJAJ-AUTO,BAJAJ-AUTO,ok,2026-07-31,2026-07-31,2018-01-01,2026-07-31,8.6,Automobile and Auto Components,,NSE,,PASS_combined,BUY,NEW,True,6.32,51.35,5,UPTREND,11475.0,11590.0,11329.5,11520.5,11520.5,214354,500554,0.43,0.77,0.38,260.5,2.26,239.17,239.17,2.08,True,True,7.94,11.43,20.58,74.75,10.32,16.29,11520.5,12477.2,11042.15,11520.5,,17.0,8.3,956.7,4.15,478.35,2.12,91,22.4,205,50.5,110,27.1,0,0.0,0,0,406,47.8,1.33,5.74,-2.71,9.4,0.142,539.54,-2.74,1.94,2.12,2.0,-31.81,6,78,0,limited history: 8.6y (<10y) - lower confidence,26.6,47.0,70.7,68.3,90.7,63.2,100.0,0.0,0.0,36.4,79.2,36.1,94.824016563147,98.13664596273291,94.92753623188406,96.68737060041408,80.95238095238095,93.99585921325053,95.8592132505176,98.13664596273291,6.625258799171843,89.21,8.3043,0.0,0.0,0.4882,0.2441,0.083,2.0,0.5246,3.9904,4.1522,21.9,4.1522,2.0,1.9952,3.9904,2.0,0.9615,478.35,52.02,,,2,100.0,4.9615,63.125,21.5,84.426,5,10,83.73,51.83,4.9615,0.43,0.6522,3.9925,0.0412,0.7752,71.25,Strong,5,10,4.33,0.2737,0.0272,19.3023,7.1104,30.838,4.4376,1.4545,3.4294,22.7,Weak,3,6,50.33,19.37,79.25,75.225,29.4,25.7143,53.465,36.96,50.14,Average,,,49.65,51.43,36.65,42.23,46.01,,,,,,,,,,,0.150063051702396,0.6742349457058243,0.2527637249391043,0.26530612244897966,0.15037593984962402,0.3342753167783119,0.1047423883705045,10.47423883705045,0.1047423883705045,0.0,0.1047423883705045,0.1047423883705045,BUY,0.1047423883705045,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
BANKINDIA,BANKINDIA,ok,2026-07-31,,2018-01-01,2026-07-31,8.6,Financial Services,,NSE,,PASS_combined,WATCH,WATCH,False,6.82,30.86,8,,138.0,138.68,136.87,137.95,137.95,5767722,10184008,0.57,0.53,0.57,1.81,1.31,3.73,3.73,2.71,False,False,-2.5,-3.15,-3.9,43.45,-3.65,2.8,137.95,152.88,130.48,137.9499969482422,,10.0,10.82,14.93,5.42,7.47,1.55,177,38.0,236,50.6,53,11.4,0,0.0,0,0,466,48.7,1.13,7.25,-4.68,7.6,0.149,526.07,-19.47,1.47,1.55,1.9987,-81.57,12,120,0,limited history: 8.6y (<10y) - lower confidence,22.6,23.5,51.7,69.6,57.0,68.2,100.0,0.0,0.0,0.0,7.46,74.97,93.16770186335404,93.2712215320911,72.5672877846791,97.4120082815735,50.72463768115942,94.20289855072464,7.246376811594203,47.4120082815735,55.48654244306418,72.52,10.8228,0.0,0.0,1.082,0.542,0.1082,1.9963,0.7379,3.9926,5.415,48.32,5.415,1.9987,2.0,3.9926,1.9963,0.7366,7.47,27.0,,,0,0.0,-1.3469,58.62500000000001,0.0,17.091,1,1,35.29,45.91,-1.3469,0.0,-0.2489,3.9937,-0.017,0.6221,41.17,Average,2,3,6.76,0.461,0.0389,18.9825,13.0243,48.309,-2.0805,1.7261,0.5043,38.0,Weak,5,10,54.31,45.75,51.8,24.315,56.485,2.0108,36.993,37.66,41.31,Average,,,34.42,34.27,39.92,39.12,36.42,,,,,,,,,,,0.2131147540983607,0.0,0.0,0.12925170068027206,0.21804511278195524,0.10931984528064898,0.1047423883705045,10.47423883705045,0.1047423883705045,0.0,0.1047423883705045,0.1047423883705045,BUY,0.1047423883705045,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
DIXON,DIXON,ok,2026-07-31,,2018-01-01,2026-07-31,8.6,Consumer Durables,,NSE,,PASS_combined,WATCH,WATCH,False,6.17,38.6,6,,14335.0,14589.0,13601.0,14049.0,14049.0,634451,661426,0.96,-2.02,-0.02,988.0,7.03,451.96,451.96,3.22,True,True,1.67,11.04,14.05,60.01,-1.95,24.85,14049.0,15856.83,13145.09,14049.0,,12.0,12.87,1807.83,6.43,903.91,1.57,270,36.0,376,50.2,103,13.8,0,0.0,0,0,749,49.0,1.1,6.64,-4.23,8.4,0.131,820.84,-9.77,1.51,1.57,2.0,-64.14,7,147,0,limited history: 8.6y (<10y) - lower confidence,22.0,25.5,52.3,70.0,100.0,61.7,100.0,0.0,0.0,0.0,65.1,48.91,92.96066252587993,94.20289855072464,73.70600414078675,97.82608695652173,91.7184265010352,93.58178053830227,79.71014492753623,87.5776397515528,25.051759834368532,86.59,12.868,0.0,0.0,1.0725,0.5358,0.1287,2.0016,0.7941,3.9969,6.434,69.08,6.434,2.0,1.9969,3.9969,2.0017,0.6216,903.91,38.71,,,2,100.0,-0.6056,99.97500000000001,48.0,66.436,4,7,41.18,100.0,-0.6056,0.96,-0.1203,3.9963,-0.0074,0.5379,53.78,Average,3,6,13.52,0.8342,0.0592,13.4062,16.3697,38.359,-1.872,1.6429,8.8015,35.38,Weak,5,9,49.13,67.21,52.76,59.44,42.145,15.4265,51.171,53.895,50.39,Average,,,53.01,64.06,39.46,52.49,52.96,,,,,,,,,,,0.13114754098360656,0.2546890424481738,0.41315345699831363,0.10884353741496607,0.24060150375939862,0.21922587474589794,0.1022952602643429,10.22952602643429,0.1022952602643429,0.0,0.1022952602643429,0.1022952602643429,BUY,0.1022952602643429,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
IEX,IEX,ok,2026-07-31,,2018-01-01,2026-07-31,8.6,Financial Services,,NSE,,PASS_combined,WATCH,WATCH,False,5.75,33.94,10,,131.89,133.5,131.05,132.24,132.24,3874380,7367588,0.53,0.64,0.37,2.45,1.85,3.47,3.47,2.63,True,True,6.68,6.72,3.29,63.14,7.69,5.26,132.24,146.13,125.3,132.24000549316406,,10.0,10.5,13.89,5.25,6.94,1.69,162,36.7,236,53.4,44,10.0,0,0.0,0,0,442,46.2,1.05,7.25,-4.28,7.9,0.133,461.91,-14.15,1.45,1.69,2.0014,-77.55,16,104,0,limited history: 8.6y (<10y) - lower confidence,21.0,22.5,56.3,66.0,63.1,57.5,100.0,0.0,0.0,0.0,73.4,70.27,92.13250517598344,92.54658385093167,81.98757763975155,94.61697722567288,56.10766045548654,92.54658385093167,73.29192546583852,70.1863354037267,45.13457556935818,80.73,10.5036,0.0,0.0,1.05,0.525,0.105,2.0,0.6038,3.9924,5.248,44.29,5.248,2.0014,1.9962,3.9924,2.0,0.7605,6.94,43.18,,,2,100.0,2.924,92.15,26.5,77.024,5,9,74.61,89.96,2.924,0.53,0.4422,3.9938,0.0254,0.639,68.81,Strong,5,10,6.07,0.349,0.0305,19.8113,12.2011,43.666,4.0757,1.719,4.4554,34.7,Weak,5,9,45.79,42.4,58.54,71.105,52.485,20.2204,51.855,43.735,49.94,Average,,,52.28,59.15,41.58,46.22,50.65,,,,,,,,,,,0.07818411097099623,0.10134912800263239,0.04609331084879145,0.07482993197278917,0.03007518796992523,0.07517368586222856,0.0953318876045335,9.53318876045335,0.0953318876045335,0.0,0.0953318876045335,0.0953318876045335,BUY,0.0953318876045335,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
ACE,ACE,ok,2026-07-31,,2018-01-01,2026-07-31,8.6,Capital Goods,,NSE,,PASS_combined,WATCH,WATCH,False,5.36,36.55,7,,1065.0,1074.5,1053.0,1070.3,1070.3,297173,739358,0.4,1.24,0.74,21.5,2.01,37.53,37.53,3.51,True,True,5.68,10.6,14.7,61.71,8.4,21.34,1070.3,1220.4,995.25,1070.300048828125,,9.0,14.02,150.1,7.01,75.05,1.63,216,36.7,313,53.1,59,10.0,1,0.2,0,1,589,45.8,0.98,7.78,-4.78,8.0,0.123,577.68,-17.65,1.38,1.63,2.0,-84.65,7,143,0,limited history: 8.6y (<10y) - lower confidence,19.6,19.0,54.3,65.4,100.0,53.6,100.0,0.0,0.0,0.0,71.99,39.95,91.40786749482402,91.2008281573499,77.7432712215321,93.06418219461698,87.37060041407867,92.13250517598344,67.18426501035196,57.039337474120074,63.975155279503106,84.13,14.0241,0.0,0.0,1.5578,0.7789,0.1402,2.0,0.7515,3.9943,7.0121,80.26,7.0121,2.0,1.9972,3.9943,2.0,0.5698,75.05,34.65,,,2,100.0,2.3932,95.725,20.0,76.94,5,9,77.07,94.66,2.3932,0.4,0.4502,3.9955,0.0241,0.4988,64.64,Strong,5,9,3.81,0.2042,0.0214,35.05,17.796,29.927,3.36,2.5071,2.7428,25.1,Weak,3,6,42.68,79.25,55.65,68.315,32.525,15.9623,47.957,57.455,51.92,Average,,,56.37,73.87,31.72,55.24,55.59,,,,,,,,,,,0.02900378310214381,0.18723264231655143,0.3473861720067453,0.027210884353741516,0.0,0.1211501310171017,0.08886589870613906,8.886589870613907,0.08886589870613906,0.0,0.08886589870613906,0.08886589870613906,BUY,0.08886589870613906,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
APARINDS,APARINDS,ok,2026-07-31,2026-07-31,2018-01-01,2026-07-31,8.6,Capital Goods,,NSE,,PASS_combined,BUY,NEW,True,5.13,34.85,9,UPTREND,13935.0,14502.0,13889.0,14348.0,14348.0,181354,131753,1.38,4.39,1.38,613.0,4.27,656.04,656.04,4.57,False,True,3.3,-0.1,32.42,52.96,3.7,12.15,14348.0,16643.68,13200.16,14348.0,,12.0,16.0,2295.68,8.0,1147.84,1.56,331,39.2,432,51.2,81,9.6,0,0.0,0,0,844,47.4,0.94,6.82,-4.36,8.4,0.112,792.03,-24.24,1.41,1.56,2.0,-92.13,8,173,0,limited history: 8.6y (<10y) - lower confidence,18.8,20.5,52.0,67.7,80.4,51.3,100.0,0.0,0.0,0.0,43.12,34.12,90.47619047619048,91.92546583850931,73.18840579710145,95.96273291925466,73.08488612836439,91.7184265010352,48.033126293995856,30.848861283643892,82.40165631469979,79.4,16.0,0.0,0.0,1.3333,0.6667,0.16,2.0,0.8208,3.5011,8.0,97.92,8.0,2.0,1.7505,3.5011,1.9999,0.4376,1147.84,30.16,,,1,50.0,0.8096,82.4,34.5,50.103,3,6,60.77,77.15,0.8096,0.69,0.1898,3.5011,0.0097,0.389,46.2,Average,2,4,20.8,1.067,0.0708,11.5942,17.5799,32.143,5.106,1.9202,8.969,33.67,Weak,5,9,40.85,99.98,52.28,44.66,33.895,7.7415,40.095,64.04,49.69,Average,,,52.32,68.55,33.73,58.3,53.86,,,,,,,,,,,0.0,0.13129318854886482,0.17519205546186997,0.0,0.12030075187969931,0.07769684007190987,0.08505262320195771,8.50526232019577,0.08505262320195771,0.0,0.08505262320195771,0.08505262320195771,BUY,0.08505262320195771,20260731_183252,2026-07-31 18:32:52.395937+05:30,2026-07-31
