Metric,Value
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.020705786851608322
Annualized Volatility,0.3286941762556001
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.02911166025863079
Expected Shortfall,0.0433135169498943
Maximum Drawdown,0.18694929796454626
Risk Violations,5.0
Overall Risk Score,38.7
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.02069027638228421
Annualized Volatility,0.32844795518830316
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.02909876709663517
Expected Shortfall,0.04289544314416929
Maximum Drawdown,0.18694939343476155
Risk Violations,5.0
Overall Risk Score,38.72
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.020696210480270146
Annualized Volatility,0.32854215607346077
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.02911166025863079
Expected Shortfall,0.043313527966841306
Maximum Drawdown,0.18694939343476147
Risk Violations,5.0
Overall Risk Score,38.72
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.020695540482604555
Annualized Volatility,0.3285315201902479
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.02911165706896164
Expected Shortfall,0.04331350863244116
Maximum Drawdown,0.1869492979645465
Risk Violations,5.0
Overall Risk Score,38.72
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.020693348399805408
Annualized Volatility,0.32849672195460905
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.02909876709663517
Expected Shortfall,0.042895434141498066
Maximum Drawdown,0.18694929796454646
Risk Violations,5.0
Overall Risk Score,38.72
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.020677608408009068
Annualized Volatility,0.32824685733102116
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.029098707890151877
Expected Shortfall,0.042895448968455624
Maximum Drawdown,0.18694939343476158
Risk Violations,5.0
Overall Risk Score,38.74
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.0206767969681825
Annualized Volatility,0.3282339761231112
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.02909864868366858
Expected Shortfall,0.04289544137935808
Maximum Drawdown,0.18694939343476175
Risk Violations,5.0
Overall Risk Score,38.74
Risk Rating,Critical
Gross Exposure,1.0
Net Exposure,1.0
Portfolio Beta,1.0
Portfolio Volatility,0.02067274353944541
Annualized Volatility,0.3281696299367384
HHI,1.0
Effective Positions,1.0
Largest Position,1.0
Sector Count,1.0
Value at Risk,0.02909864868366858
Expected Shortfall,0.042895457124918546
Maximum Drawdown,0.1869493934347615
Risk Violations,5.0
Overall Risk Score,38.75
Risk Rating,Critical
