schema_version,run_id,scan_date,scan_time,scan_timestamp,ticker,company,sector,subsector,exchange,strategy,recommendation,signals_today,confidence,rank_score,portfolio_rank,regime_today,open,high,low,close,cmp,volume,entry,target,stop_loss,target_hold_days,expected_return_pct,expected_return_points,risk_pct,risk_points,risk_reward,atr_pct,rsi,roc,volume_ratio,above_50dma,above_200dma,trade_status,remarks
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,ADANIENSOL,,Power,,NSE,PASS_combined,BUY,1.0,8.87,13.3,,UPTREND,1666.0,1682.0,1633.0,1634.5,1634.5,735183.0,1634.5,1797.95,1526.48,8.0,10.0,163.45,6.61,108.02,1.51,3.3,49.69,-5.11,0.29,1.0,1.0,NEW,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,ADANIENT,,Metals & Mining,,NSE,PASS_combined,BUY,1.0,8.12,12.18,,UPTREND,3051.0,3067.5,3011.5,3016.3,3016.3,303980.0,3016.3,3317.93,2872.91,13.0,10.0,301.63,4.75,143.39,2.1,2.38,45.33,-4.57,0.21,0.0,1.0,NEW,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,BHEL,,Capital Goods,,NSE,PASS_combined,WATCH,0.0,0.27,0.35,,,406.0,412.35,406.0,408.5,408.5,3927980.0,408.5,449.35,382.12,8.0,10.0,40.85,6.46,26.38,1.55,3.23,51.81,-3.2,0.26,1.0,1.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,DEEPAKNTR,,Chemicals,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,1652.0,1670.9,1645.5,1650.0,1650.0,37435.0,1650.0,1815.0,1555.8,10.0,10.0,165.0,5.71,94.2,1.75,2.85,49.45,-4.84,0.22,1.0,1.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,ETERNAL,,Consumer Services,,NSE,PASS_combined,WATCH,0.0,1.65,2.47,,,312.5,316.0,306.2,306.6,306.6,14551681.0,306.6,337.26,287.11,11.0,10.0,30.66,6.36,19.49,1.57,3.18,66.3,6.98,0.38,1.0,1.0,WATCH,limited history: 5.0y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,HAL,,Capital Goods,,NSE,PASS_combined,WATCH,0.0,3.43,3.64,,,4591.1,4669.0,4591.1,4645.0,4645.0,401807.0,4645.0,5109.5,4467.05,12.0,10.0,464.5,3.83,177.95,2.61,1.92,65.74,4.76,0.64,1.0,1.0,WATCH,limited history: 8.3y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,HDFCBANK,,Financial Services,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,753.95,757.55,749.0,749.1,749.1,8946931.0,749.1,824.01,720.95,7.0,10.0,74.91,3.76,28.15,2.66,1.88,39.64,-8.6,0.28,0.0,0.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,HINDALCO,,Metals & Mining,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,979.8,988.0,971.05,982.5,982.5,2813838.0,982.5,1080.75,943.21,13.0,10.0,98.25,4.0,39.29,2.5,2.0,55.54,4.06,0.62,0.0,1.0,WATCH,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,HSCL,,Chemicals,,NSE,PASS_combined,BUY,1.0,0.11,0.16,,UPTREND,763.6,781.9,763.0,776.05,776.05,1395403.0,776.05,853.65,713.97,9.0,10.0,77.6,8.0,62.08,1.25,4.02,61.75,4.65,0.13,1.0,1.0,NEW,limited history: 8.6y (<10y) - lower confidence
1.0.0,20260731_114724,2026-07-31,11:47:24,2026-07-31 11:47:24.517490,INDUSINDBK,,Financial Services,,NSE,PASS_combined,WATCH,0.0,0.0,0.0,,,1011.45,1017.9,996.4,999.9,999.9,605919.0,999.9,1099.89,950.36,18.0,10.0,99.99,4.95,49.54,2.02,2.48,51.64,-2.66,0.23,1.0,1.0,WATCH,limited history: 8.6y (<10y) - lower confidence
