signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-16,2026-06-17,2026-07-08,15,STOP,DOWNTREND,1328.8,1322.16,1322.16,1401.49,1281.39,1281.39,-3.08,-3.28,False,False,0.0,-6.19,1.2,52.63,1.55,2.05,1.11,3.14,23.3,61.93,-17.18,-12906369.0,0.5,
2026-06-09,2026-06-10,2026-06-22,8,TARGET,DOWNTREND,1269.2,1262.85,1262.85,1338.63,1225.38,1338.63,6.0,4.64,False,False,0.0,-10.59,-4.19,30.61,-5.99,1.97,1.41,-6.88,26.81,1.8,-20.89,-143999161.0,0.5,
2026-01-21,2026-01-22,2026-02-02,6,STOP,DOWNTREND,1398.14,1391.14,1391.14,1474.61,1349.53,1333.83,-4.12,-4.32,False,False,0.0,-2.17,-6.36,27.79,-6.62,1.98,1.61,-12.77,30.11,11.48,-12.86,-37874328.0,0.5,
2025-07-08,2025-07-09,2025-07-14,3,STOP,UPTREND,1524.44,1516.81,1516.81,1744.33,1471.01,1471.01,-3.02,-3.22,False,False,0.0,16.03,3.98,69.43,5.98,1.5,0.7,4.67,40.65,85.74,-4.1,24298813.0,0.5,
2025-07-07,2025-07-08,2025-07-14,4,STOP,UPTREND,1528.3,1520.66,1520.66,1748.76,1473.58,1473.58,-3.1,-3.3,False,False,0.0,16.36,4.6,71.03,5.81,1.54,0.71,5.28,38.92,92.69,-3.86,15067330.0,0.5,
2025-07-01,2025-07-02,2025-07-18,12,STOP,UPTREND,1515.31,1507.74,1507.74,1733.9,1456.8,1456.8,-3.38,-3.58,False,False,0.0,15.47,4.94,70.63,6.79,1.68,0.98,6.24,31.82,109.31,-4.68,45204100.0,0.5,
2025-03-07,2025-03-10,2025-04-04,17,STOP,DOWNTREND,1239.1,1232.9,1232.9,1306.88,1194.55,1194.55,-3.11,-3.31,False,False,0.0,-8.99,2.7,57.29,1.36,2.06,1.48,1.73,25.41,81.11,-22.05,-26842025.0,0.5,
2025-02-04,2025-02-05,2025-02-11,4,STOP,DOWNTREND,1274.2,1267.83,1267.83,1343.89,1229.35,1229.35,-3.03,-3.23,False,False,0.0,-7.96,2.1,57.35,0.63,2.01,1.4,1.88,15.49,80.44,-19.84,177652.0,0.5,
2024-11-06,2024-11-07,2024-11-08,1,STOP,DOWNTREND,1314.0,1307.43,1307.43,1385.88,1269.04,1269.04,-2.94,-3.14,False,False,0.0,-8.81,-1.35,38.26,-0.98,1.95,1.37,1.36,42.95,27.38,-17.34,49267055.0,0.5,
2024-07-18,2024-07-19,2024-07-22,1,STOP,UPTREND,1567.77,1559.93,1559.93,1793.92,1498.86,1498.86,-3.92,-4.12,False,False,0.0,16.18,2.48,62.19,2.21,1.95,0.94,-0.04,25.35,68.24,-1.38,23738174.0,0.5,
2024-07-16,2024-07-18,2024-07-22,2,STOP,UPTREND,1557.47,1549.68,1549.68,1782.13,1489.39,1489.39,-3.89,-4.09,False,False,0.0,15.59,2.23,60.19,0.71,1.94,0.73,1.16,26.23,65.5,-2.02,2390180.0,0.5,
2024-07-15,2024-07-16,2024-07-22,3,STOP,UPTREND,1578.19,1570.3,1570.3,1805.85,1510.07,1510.07,-3.84,-4.04,False,False,0.0,17.28,3.91,66.78,2.38,1.91,0.42,3.56,26.58,76.65,-0.72,19526264.0,0.5,
2024-07-12,2024-07-15,2024-07-22,4,STOP,UPTREND,1577.7,1569.81,1569.81,1805.28,1508.04,1508.04,-3.94,-4.14,False,False,0.0,17.4,4.28,66.7,2.0,1.96,1.0,4.53,26.01,79.27,-0.75,6472270.0,0.5,
2024-07-10,2024-07-11,2024-07-22,6,STOP,UPTREND,1565.35,1557.52,1557.52,1791.15,1496.03,1496.03,-3.95,-4.15,False,False,0.0,16.8,4.31,65.15,4.64,1.96,0.56,7.28,24.8,79.47,-1.53,62828798.0,0.5,
2024-07-09,2024-07-10,2024-07-22,7,STOP,UPTREND,1571.33,1563.47,1563.47,1797.99,1502.47,1502.47,-3.9,-4.1,False,False,0.0,17.4,5.15,66.87,9.36,1.94,0.54,9.06,24.32,85.44,-1.15,91978258.0,0.5,
2024-07-08,2024-07-09,2024-07-22,8,STOP,UPTREND,1581.82,1573.92,1573.92,1810.0,1511.32,1511.32,-3.98,-4.18,False,False,0.0,18.34,6.27,69.89,11.06,1.98,0.73,10.16,22.88,95.02,-0.49,105983646.0,0.5,
2024-07-02,2024-07-03,2024-07-23,13,STOP,UPTREND,1546.53,1538.79,1538.79,1769.61,1476.12,1476.12,-4.07,-4.27,False,False,0.0,16.31,5.93,66.53,5.68,2.03,0.5,11.43,17.64,96.67,-1.0,53764730.0,0.5,
2024-06-28,2024-07-01,2024-07-23,15,STOP,UPTREND,1546.75,1539.01,1539.01,1769.87,1472.64,1472.64,-4.31,-4.51,False,False,0.0,16.64,6.61,67.14,6.84,2.15,1.65,9.37,13.87,112.17,-0.99,69094554.0,0.5,
2024-04-03,2024-04-04,2024-05-07,20,STOP,UPTREND,1454.07,1446.79,1446.79,1663.81,1398.19,1398.19,-3.36,-3.56,False,False,0.0,15.18,0.48,53.17,2.23,1.67,0.6,1.75,25.2,56.29,-2.7,12691954.0,0.5,
2024-04-02,2024-04-03,2024-05-03,19,STOP,UPTREND,1469.23,1461.89,1461.89,1681.17,1412.28,1412.28,-3.39,-3.59,False,False,0.0,16.53,1.46,57.71,4.85,1.69,0.74,2.47,25.74,68.68,-1.69,28869638.0,0.5,
2024-04-01,2024-04-02,2024-05-03,20,STOP,UPTREND,1467.08,1459.75,1459.75,1678.71,1409.22,1409.22,-3.46,-3.66,False,False,0.0,16.51,1.4,57.23,3.72,1.72,0.39,1.8,25.9,68.19,-1.83,735654.0,0.5,
2024-03-12,2024-03-13,2024-03-15,2,STOP,UPTREND,1457.84,1450.56,1450.56,1668.14,1398.25,1398.25,-3.61,-3.81,False,False,0.0,17.5,-0.24,54.59,-0.8,1.79,0.89,-5.88,40.51,44.09,-2.45,16850158.0,0.5,
2024-03-07,2024-03-11,2024-03-15,4,STOP,UPTREND,1461.3,1454.0,1454.0,1672.1,1400.97,1400.97,-3.65,-3.85,False,False,0.0,18.1,0.1,55.92,-0.19,1.81,0.79,-3.7,44.09,52.2,-2.22,25620088.0,0.5,
2024-03-06,2024-03-07,2024-03-13,3,STOP,UPTREND,1485.09,1477.67,1477.67,1699.32,1424.75,1424.75,-3.58,-3.78,False,False,0.0,20.2,1.83,63.8,2.41,1.78,0.72,-2.3,45.19,88.74,-0.62,52429542.0,0.5,
2024-03-05,2024-03-06,2024-03-13,4,STOP,UPTREND,1482.32,1474.91,1474.91,1696.15,1422.56,1422.56,-3.55,-3.75,False,False,0.0,20.15,1.85,63.24,1.98,1.77,0.65,-2.7,46.15,88.3,-0.81,31903574.0,0.5,
2024-03-04,2024-03-05,2024-03-13,5,STOP,UPTREND,1489.44,1481.99,1481.99,1704.29,1428.86,1428.86,-3.59,-3.79,False,False,0.0,20.91,2.59,65.66,2.27,1.78,0.91,-3.25,46.59,99.41,-0.33,31893746.0,0.5,
2024-02-26,2024-02-27,2024-03-13,10,STOP,UPTREND,1469.6,1462.25,1462.25,1681.59,1412.26,1412.26,-3.42,-3.62,False,False,0.0,20.11,2.07,65.54,2.41,1.7,0.67,-2.4,50.98,82.69,-0.68,7370448.0,0.5,
2024-02-23,2024-02-26,2024-03-13,11,STOP,UPTREND,1475.83,1468.45,1468.45,1688.72,1416.44,1416.44,-3.54,-3.74,False,False,0.0,20.79,2.64,67.84,2.25,1.76,1.2,-2.21,50.8,93.64,-0.26,8209124.0,0.5,
2024-02-21,2024-02-22,2024-04-09,30,TIME,UPTREND,1450.21,1442.96,1442.96,1659.4,1389.33,1446.21,0.23,0.02,False,False,0.0,19.05,1.83,63.08,1.77,1.85,1.05,-3.04,50.6,67.85,-1.4,2528244.0,0.5,
2024-02-20,2024-02-21,2024-04-08,30,TIME,UPTREND,1453.5,1446.23,1446.23,1663.16,1393.18,1468.27,1.52,1.06,False,False,0.0,19.49,2.56,64.17,3.03,1.82,0.57,-2.16,50.66,70.77,-0.92,24545104.0,0.5,
