signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-15,2026-07-16,2026-07-16,1,TIME,UPTREND,223.08,221.96,221.96,255.26,199.77,224.38,1.09,0.71,False,False,0.0,118.41,4.76,64.33,5.18,4.39,1.34,-1.66,37.91,86.58,-2.8,36882924.0,0.5,
2026-07-13,2026-07-14,2026-07-16,2,TIME,UPTREND,214.63,213.56,211.95,243.74,199.04,224.38,5.86,4.53,False,False,0.0,113.11,2.15,60.12,1.75,4.57,0.45,-1.72,40.66,61.81,-6.48,28848578.0,1.26,
2026-07-08,2026-07-09,2026-07-16,5,TIME,UPTREND,214.74,213.67,213.5,245.52,198.92,224.38,5.1,3.92,False,False,0.0,117.73,5.48,61.12,4.87,4.79,0.63,-0.66,44.17,66.72,-6.43,27705261.0,0.58,
2026-07-07,2026-07-08,2026-07-16,6,TIME,UPTREND,226.04,224.91,220.0,253.0,198.0,224.38,1.99,1.43,False,False,0.0,130.82,12.29,70.88,11.74,4.52,1.23,-0.02,44.88,84.1,-1.51,66578064.0,2.75,
2026-07-06,2026-07-07,2026-07-16,7,TIME,UPTREND,224.95,223.83,223.83,257.4,201.44,224.38,0.25,0.04,False,False,0.0,131.48,13.1,70.46,7.4,4.46,1.04,-0.35,45.34,86.45,-0.11,921996.0,0.5,
2026-06-30,2026-07-01,2026-07-16,11,TIME,UPTREND,212.85,211.79,211.79,243.55,190.61,224.38,5.95,4.6,False,False,0.0,125.62,9.62,68.94,12.63,4.61,0.82,0.24,50.61,78.58,-3.29,37415707.0,0.5,
2026-06-29,2026-06-30,2026-07-16,12,TIME,UPTREND,210.93,209.88,209.88,241.36,188.89,224.38,6.91,5.37,False,False,0.0,125.29,9.28,68.1,16.89,4.62,1.21,0.53,51.75,78.41,-4.16,44844755.0,0.5,
2026-06-26,2026-06-29,2026-07-16,13,TIME,UPTREND,215.0,213.93,212.2,244.03,190.98,224.38,5.74,4.43,False,False,0.0,131.37,12.22,71.94,25.1,4.49,0.0,0.93,53.35,88.15,-2.31,94339191.0,1.32,
2026-06-22,2026-06-23,2026-07-16,17,TIME,UPTREND,209.46,208.41,208.05,239.26,187.25,224.38,7.85,6.12,False,False,0.0,132.35,13.7,73.37,17.76,4.78,0.96,0.92,54.9,95.55,-4.83,89832213.0,0.68,
2026-06-19,2026-06-22,2026-07-16,18,TIME,UPTREND,209.61,208.56,208.56,239.85,187.71,224.38,7.58,5.91,False,False,0.0,134.32,15.24,73.5,11.95,4.59,0.54,0.34,54.27,102.13,0.0,128499044.0,0.5,
2026-06-10,2026-06-11,2026-06-11,1,STOP,UPTREND,169.11,168.26,160.66,184.76,166.62,160.66,0.0,-0.2,False,False,0.0,97.86,1.26,56.54,-2.77,5.9,0.28,-2.23,60.76,52.64,-19.08,228072105.0,5.26,
2026-06-09,2026-06-10,2026-06-19,7,TARGET,UPTREND,178.01,177.12,176.08,202.49,158.67,206.99,17.55,13.88,False,False,0.0,109.44,7.09,64.03,10.02,5.65,1.15,-0.86,61.93,64.57,-14.82,323654143.0,1.1,
2026-06-08,2026-06-09,2026-06-18,7,TARGET,UPTREND,177.87,176.98,173.0,198.95,157.55,198.95,15.0,11.84,False,False,0.0,110.57,7.99,63.96,9.23,5.5,0.07,0.23,62.89,66.11,-14.89,183395491.0,2.82,
2026-06-05,2026-06-08,2026-06-19,9,TARGET,UPTREND,187.23,186.29,177.87,204.55,160.08,206.99,16.37,12.94,False,False,0.0,123.07,14.7,72.71,26.33,5.25,0.66,1.7,64.29,79.27,-10.41,294400491.0,5.26,
2026-06-04,2026-06-05,2026-06-09,2,STOP,UPTREND,197.08,196.09,196.0,225.4,176.4,173.0,-11.73,-11.93,False,False,0.0,136.43,22.46,83.92,39.03,4.98,1.18,2.69,64.25,94.64,-5.69,382514997.0,0.55,
2026-06-03,2026-06-04,2026-06-08,2,STOP,UPTREND,199.41,198.41,198.41,228.17,178.57,177.87,-10.35,-10.55,False,False,0.0,141.04,25.9,86.87,43.11,4.71,0.95,2.77,62.99,105.17,-0.01,502243768.0,0.5,
2026-06-01,2026-06-02,2026-06-04,2,TARGET,UPTREND,182.28,181.37,180.0,207.0,162.0,207.0,15.0,11.84,False,False,0.0,123.62,19.58,82.9,30.49,4.88,0.79,1.82,60.87,99.36,-3.6,352434710.0,1.27,
2026-05-29,2026-06-01,2026-06-04,3,TARGET,UPTREND,179.94,179.04,179.04,205.9,161.14,205.9,15.0,11.84,False,False,0.0,122.23,20.26,82.25,21.67,4.89,1.33,1.62,59.92,102.31,-4.83,240034229.0,0.5,
2026-05-28,2026-05-29,2026-06-03,3,TARGET,UPTREND,173.92,173.05,173.05,199.01,155.75,199.01,15.0,11.84,False,False,0.0,116.23,18.78,80.47,14.73,4.62,0.0,1.18,58.89,97.41,-1.43,97550738.0,0.5,
2026-05-19,2026-05-20,2026-05-25,3,TARGET,UPTREND,138.17,137.48,137.48,158.1,126.07,158.9,15.58,12.3,False,False,0.0,78.12,7.86,65.1,7.3,5.59,0.57,-0.65,62.38,62.75,-11.03,92810834.0,0.5,
2026-05-18,2026-05-19,2026-05-25,4,TARGET,UPTREND,139.69,138.99,138.99,159.84,125.09,159.84,15.0,11.84,False,False,0.0,80.81,10.79,66.9,10.83,5.54,0.62,0.42,64.6,66.43,-10.05,276276905.0,0.5,
2026-05-15,2026-05-18,2026-05-27,7,TARGET,UPTREND,147.89,147.15,147.15,169.22,132.44,169.22,15.0,11.84,False,False,0.0,92.17,19.49,77.65,27.46,5.07,0.39,1.7,66.53,77.84,-4.77,507616085.0,0.5,
2026-05-14,2026-05-15,2026-05-19,2,STOP,UPTREND,151.59,150.83,150.83,173.46,135.75,135.75,-10.0,-10.2,False,False,0.0,97.84,25.13,83.25,30.65,4.96,1.11,2.54,66.33,84.97,-2.39,538986924.0,0.5,
2026-05-13,2026-05-14,2026-05-18,2,STOP,UPTREND,153.46,152.69,152.69,175.6,137.42,137.42,-10.0,-10.2,False,False,0.0,101.22,29.89,86.17,43.29,4.61,0.9,3.06,66.11,91.09,-0.8,865534963.0,0.5,
2026-05-12,2026-05-13,2026-05-27,10,TARGET,UPTREND,147.78,147.04,147.04,169.1,132.34,169.1,15.0,11.84,False,False,0.0,94.69,28.64,84.65,37.8,4.71,1.25,3.24,64.73,89.57,-3.76,764583043.0,0.5,
2026-05-11,2026-05-12,2026-05-27,11,TARGET,UPTREND,148.46,147.72,147.72,169.88,132.95,169.88,15.0,11.84,False,False,0.0,96.45,32.8,85.7,39.15,4.69,1.45,3.62,63.28,95.33,-2.2,895544476.0,0.5,
2026-05-08,2026-05-11,2026-05-25,10,TARGET,UPTREND,141.15,140.44,139.3,160.2,125.37,160.2,15.0,11.84,False,False,0.0,87.59,29.99,83.69,40.84,4.54,0.95,3.67,61.76,92.5,-4.42,837149890.0,1.33,
2026-05-07,2026-05-08,2026-05-26,12,TARGET,UPTREND,146.24,145.51,145.51,167.34,130.96,167.34,15.0,11.84,False,False,0.0,95.11,38.6,92.06,49.61,4.24,1.73,4.0,60.26,104.8,-0.97,939940762.0,0.5,
2026-05-06,2026-05-07,2026-05-25,12,TARGET,UPTREND,141.46,140.75,140.75,161.87,126.68,161.87,15.0,11.84,False,False,0.0,89.54,38.75,91.3,40.94,4.32,2.39,3.51,57.97,107.68,-1.04,783258699.0,0.5,
2026-05-05,2026-05-06,2026-05-07,1,TARGET,UPTREND,128.77,128.13,128.13,147.35,115.31,147.35,15.0,11.84,False,False,0.0,73.22,30.71,88.62,31.61,4.21,2.19,2.78,55.57,98.44,-3.47,665167526.0,0.5,
2026-04-28,2026-04-29,2026-05-04,3,TARGET,UPTREND,107.24,106.7,106.7,122.71,96.03,122.71,15.0,11.84,False,False,0.0,46.05,23.83,80.28,24.7,4.21,0.83,1.99,44.21,89.78,-1.43,296654307.0,0.5,
2026-04-27,2026-04-28,2026-05-04,4,TARGET,UPTREND,106.69,106.16,106.16,122.08,95.54,122.35,15.25,12.04,False,False,0.0,45.53,25.84,79.98,26.41,4.31,1.44,2.03,41.82,93.95,-1.12,336541104.0,0.5,
2026-04-23,2026-04-24,2026-04-30,4,TARGET,UPTREND,97.75,97.26,97.26,111.85,87.54,111.85,15.0,11.84,False,False,0.0,33.67,20.32,74.08,30.04,4.43,0.74,2.07,37.15,85.64,-3.69,394132755.0,0.5,
2026-04-22,2026-04-23,2026-04-30,5,TARGET,UPTREND,100.37,99.87,99.35,114.25,89.41,114.25,15.0,11.84,False,False,0.0,37.36,25.6,80.17,38.17,4.37,1.44,2.38,34.93,96.07,-1.11,442535276.0,1.03,
2026-04-21,2026-04-22,2026-04-30,6,TARGET,UPTREND,97.84,97.35,97.35,111.95,87.62,111.95,15.0,11.84,False,False,0.0,34.03,24.75,78.59,34.25,4.5,1.24,2.33,32.31,97.74,-1.67,382587646.0,0.5,
2026-04-17,2026-04-20,2026-04-30,8,TARGET,UPTREND,95.49,95.01,95.01,109.26,85.51,109.26,15.0,11.84,False,False,0.0,30.96,25.5,80.85,31.76,4.43,1.87,2.37,27.01,107.87,-0.74,377520415.0,0.5,
2026-04-16,2026-04-17,2026-04-27,6,TARGET,UPTREND,91.48,91.02,91.02,104.68,81.92,104.68,15.0,11.84,False,False,0.0,25.53,22.17,78.12,34.81,4.55,2.04,2.08,24.27,108.62,-2.5,339960323.0,0.5,
2026-04-15,2026-04-16,2026-04-22,4,TARGET,UPTREND,88.12,87.68,87.68,100.83,78.91,100.83,15.0,11.84,False,False,0.0,20.99,19.24,75.38,24.53,4.63,1.18,1.82,21.78,110.03,-6.08,262941080.0,0.5,
