signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-10,2026-07-13,2026-07-16,3,TRAIL,DOWNTREND,5053.9,5028.63,5000.4,5300.42,4660.26,5059.3,1.18,0.78,False,False,5.13,-7.52,5.84,57.99,4.39,3.5,1.11,45.1,14.91,80.58,-23.14,2669429.0,1.07,
2026-07-07,2026-07-08,2026-07-14,4,TARGET,DOWNTREND,4884.8,4860.38,4860.38,5152.0,5200.6,5189.9,6.78,5.26,True,False,7.37,-10.77,2.34,52.93,1.0,3.55,1.25,9.14,17.3,62.55,-25.71,1868993.0,0.5,
2026-07-03,2026-07-06,2026-07-13,5,TARGET,DOWNTREND,4682.7,4659.29,4659.29,4938.84,4985.44,4985.44,7.0,5.44,True,False,8.72,-14.55,-2.39,45.58,-3.03,3.83,1.58,-32.04,19.17,37.87,-28.78,-90747.0,0.5,
2026-05-19,2026-05-20,2026-06-03,10,TARGET,DOWNTREND,5066.3,5040.97,5040.1,5342.51,5392.91,5380.0,6.74,5.24,True,False,11.35,-8.39,3.62,53.93,5.19,3.55,1.29,9.05,19.89,80.7,-22.95,1066500.0,0.52,
2026-04-06,2026-04-07,2026-04-17,7,TARGET,DOWNTREND,5309.4,5282.85,5282.85,5599.82,5652.65,5470.0,3.54,2.67,True,False,6.11,-5.82,10.33,63.35,13.0,3.62,0.8,105.64,29.34,111.7,-19.25,3233723.0,0.5,
2026-03-06,2026-03-09,2026-03-17,6,STOP,DOWNTREND,4777.5,4753.61,4680.0,4960.8,4533.34,4533.34,-3.13,-3.33,False,False,4.59,-16.36,-8.15,30.63,-9.28,4.75,1.22,-24.7,43.41,27.34,-27.34,-3039319.0,2.08,
2026-02-26,2026-02-27,2026-03-02,1,STOP,DOWNTREND,4781.5,4757.59,4757.59,5043.05,4527.68,4527.68,-4.83,-5.03,False,False,3.52,-16.64,-13.74,24.34,-12.3,4.82,1.11,-90.13,35.09,10.65,-27.28,-1082909.0,0.5,
2026-02-17,2026-02-18,2026-02-20,2,STOP,DOWNTREND,5628.0,5599.86,5599.86,5935.85,5157.93,5157.93,-7.89,-8.09,False,False,0.51,-2.2,-5.65,36.3,-10.36,3.74,1.08,-48.55,23.56,19.31,-14.41,-2389211.0,0.5,
2026-02-13,2026-02-16,2026-02-20,4,STOP,DOWNTREND,5479.0,5451.6,5451.6,5778.7,5157.44,5157.44,-5.4,-5.6,False,False,5.2,-4.74,-9.35,28.54,-9.21,3.91,2.39,-68.06,21.41,-1.68,-16.67,-3191343.0,0.5,
2025-12-23,2025-12-24,2025-12-30,3,STOP,UPTREND,6465.81,6433.48,6433.48,7398.5,6171.15,6171.15,-4.08,-4.28,False,False,0.47,16.32,2.11,59.95,2.97,2.26,0.68,-0.64,22.33,78.65,-3.84,716809.0,0.5,
2025-12-22,2025-12-23,2025-12-30,4,STOP,UPTREND,6540.04,6507.34,6507.34,7483.44,6171.22,6171.22,-5.17,-5.37,False,False,1.05,17.78,3.38,64.04,3.41,2.23,1.13,-6.49,22.16,97.55,-2.74,449946.0,0.5,
2025-12-05,2025-12-08,2025-12-09,1,STOP,UPTREND,6497.19,6464.71,6464.71,7434.41,6242.24,6242.24,-3.44,-3.64,False,False,1.0,17.8,3.93,70.54,3.56,1.86,0.49,-6.8,38.4,85.82,-3.38,2033967.0,0.5,
2025-12-02,2025-12-03,2025-12-09,4,STOP,UPTREND,6370.65,6338.79,6338.79,7289.61,6243.33,6243.33,-1.51,-1.71,False,False,3.01,15.69,3.41,68.21,5.16,1.84,0.62,-3.45,38.08,74.18,-5.26,2517230.0,0.5,
2025-12-01,2025-12-02,2025-12-09,5,STOP,UPTREND,6383.1,6351.19,6351.19,7303.87,6266.67,6266.67,-1.33,-1.53,False,False,2.81,15.94,4.0,69.27,4.73,1.84,0.5,1.67,37.87,78.13,-5.07,2515039.0,0.5,
2025-11-27,2025-11-28,2025-12-09,7,STOP,UPTREND,6409.01,6376.97,6376.97,7333.51,6244.63,6244.63,-2.08,-2.28,False,False,2.39,16.45,5.18,73.93,4.81,1.84,1.09,14.43,37.7,86.92,-4.69,2565513.0,0.5,
2025-11-24,2025-11-25,2025-12-09,10,STOP,UPTREND,6351.72,6319.96,6319.96,7267.95,6242.24,6242.24,-1.23,-1.43,False,False,3.32,15.52,5.64,72.34,8.7,1.99,3.33,19.32,34.92,95.07,-5.54,3752827.0,0.5,
2025-11-20,2025-11-21,2025-12-09,12,STOP,UPTREND,6327.8,6296.16,6296.16,7240.59,6242.24,6242.24,-0.86,-1.06,False,False,3.71,15.16,6.13,74.04,8.7,2.02,1.23,19.82,33.18,105.19,-5.89,2741903.0,0.5,
2025-09-10,2025-09-11,2025-09-22,7,STOP,DOWNTREND,5399.63,5372.63,5372.63,5694.99,5253.46,5253.46,-2.22,-2.42,False,False,5.53,-4.06,2.32,54.88,0.79,2.68,1.87,0.29,22.38,77.51,-19.7,-1277092.0,0.5,
2025-04-28,2025-04-29,2025-05-07,5,TARGET,DOWNTREND,5253.94,5227.67,5225.62,5539.15,5591.41,5291.7,1.26,0.85,True,False,7.07,-3.36,6.04,57.09,20.08,4.51,0.55,85.23,20.92,70.33,-21.86,4033215.0,0.54,
2025-02-10,2025-02-11,2025-02-12,1,STOP,UPTREND,5956.42,5926.63,5926.63,6815.63,5682.41,5682.41,-4.12,-4.32,False,False,1.25,17.77,-1.21,46.6,1.75,4.39,0.4,13.15,16.85,38.67,-11.42,1191545.0,0.5,
2025-02-07,2025-02-10,2025-02-11,1,STOP,UPTREND,6214.99,6183.91,6183.91,7111.5,5853.43,5853.43,-5.34,-5.54,False,False,1.0,23.19,3.19,53.83,3.52,4.13,0.36,27.44,16.19,78.78,-7.57,775815.0,0.5,
2025-02-03,2025-02-04,2025-02-17,9,STOP,UPTREND,6038.75,6008.55,6008.55,6909.84,5407.7,5407.7,-10.0,-10.2,False,False,4.26,20.9,0.37,49.44,3.39,4.89,0.76,-0.4,16.54,53.35,-10.19,1866281.0,0.5,
2025-02-01,2025-02-03,2025-02-17,10,STOP,UPTREND,5896.44,5866.96,5793.54,6662.57,5379.12,5379.12,-7.15,-7.35,False,False,8.13,18.31,-2.18,45.95,-2.26,4.57,0.44,-5.83,15.85,31.51,-12.31,1027634.0,1.78,
