signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-13,2026-07-14,2026-07-15,1,TIME,UPTREND,13.96,13.89,13.89,15.97,13.33,13.67,-1.59,-1.79,False,False,1.94,26.35,-2.88,47.0,-3.26,2.96,0.62,-0.12,18.08,21.11,-9.0,303680200.0,0.5,
2026-07-10,2026-07-13,2026-07-15,2,TIME,UPTREND,14.19,14.12,14.1,16.22,13.32,13.67,-3.05,-3.25,False,False,0.5,28.76,-1.62,51.39,0.92,3.0,0.69,-0.12,19.28,34.05,-7.5,1577578610.0,0.64,
2026-07-01,2026-07-02,2026-07-07,3,STOP,UPTREND,14.64,14.57,14.57,16.75,13.82,13.82,-5.13,-5.33,False,False,1.26,35.53,0.61,59.24,-1.88,3.18,0.75,-0.13,28.1,56.12,-4.56,407268043.0,0.5,
2026-06-30,2026-07-01,2026-07-07,4,STOP,UPTREND,14.46,14.39,14.39,16.55,13.92,13.92,-3.22,-3.42,False,False,3.21,34.32,-0.7,56.6,-1.09,3.2,0.9,-0.16,28.76,43.13,-5.74,486514959.0,0.5,
2026-06-24,2026-06-25,2026-07-07,8,STOP,UPTREND,14.31,14.24,14.24,16.37,13.86,13.86,-2.63,-2.83,False,False,4.3,34.72,-1.48,54.57,3.1,3.45,0.79,-0.15,35.77,36.57,-6.71,1110917205.0,0.5,
2026-06-23,2026-06-24,2026-07-07,9,STOP,UPTREND,14.45,14.38,14.38,16.53,13.85,13.85,-3.64,-3.84,False,False,3.28,36.53,-0.47,57.03,2.19,3.45,0.78,-0.12,38.44,45.77,-5.8,808424001.0,0.5,
2026-06-22,2026-06-23,2026-06-25,2,STOP,UPTREND,14.82,14.75,14.75,16.96,13.99,13.99,-5.16,-5.36,False,False,1.52,40.55,2.19,64.12,2.92,3.32,0.45,-0.09,40.7,69.17,-3.39,282375581.0,0.5,
2026-06-18,2026-06-19,2026-06-25,4,STOP,UPTREND,15.01,14.93,14.93,17.18,14.12,14.12,-5.49,-5.69,False,False,1.51,43.49,4.2,68.02,0.54,3.48,0.56,-0.08,43.44,84.82,-2.15,1090710949.0,0.5,
2026-06-17,2026-06-18,2026-06-25,5,STOP,UPTREND,14.92,14.85,14.85,17.07,14.08,14.08,-5.18,-5.38,False,False,2.12,43.21,4.08,67.18,0.47,3.63,0.79,-0.09,44.98,82.95,-2.74,1607383944.0,0.5,
2026-06-16,2026-06-17,2026-06-25,6,STOP,UPTREND,14.62,14.55,14.55,16.73,14.09,14.09,-3.17,-3.37,False,False,4.21,40.89,2.47,64.26,3.25,3.68,0.75,-0.1,46.69,69.47,-4.69,1162742953.0,0.5,
2026-06-15,2026-06-16,2026-06-25,7,STOP,UPTREND,14.95,14.88,14.88,17.11,14.07,14.07,-5.38,-5.58,False,False,1.91,44.57,5.19,70.67,7.17,3.63,0.87,-0.1,48.28,88.93,-2.54,2196674609.0,0.5,
2026-06-08,2026-06-09,2026-06-10,1,STOP,UPTREND,14.4,14.33,14.33,16.48,13.88,13.88,-3.1,-3.3,False,False,3.64,41.9,4.45,70.53,2.56,3.35,0.94,-0.03,57.26,69.51,-5.57,1502859083.0,0.5,
2026-02-20,2026-02-23,2026-03-02,5,STOP,UPTREND,11.16,11.1,11.1,12.77,10.36,10.25,-7.69,-7.89,False,False,1.04,27.33,0.81,50.0,0.36,3.87,0.64,0.0,20.55,53.62,-12.81,10089456.0,0.5,
2026-02-11,2026-02-12,2026-02-25,9,STOP,UPTREND,11.85,11.79,11.7,13.45,10.74,10.74,-8.17,-8.37,False,False,0.34,37.54,9.84,61.82,19.1,4.2,1.63,0.15,23.27,91.53,-7.42,248128161.0,1.28,
2026-02-10,2026-02-11,2026-02-23,8,STOP,UPTREND,11.48,11.42,11.42,13.14,10.9,10.9,-4.57,-4.77,False,False,4.18,33.58,6.93,57.67,16.79,4.35,0.73,0.13,23.12,81.62,-10.31,34208613.0,0.5,
2026-02-04,2026-02-05,2026-02-24,13,STOP,UPTREND,11.35,11.29,11.29,12.99,10.8,10.8,-4.36,-4.56,False,False,5.37,33.11,5.69,57.24,12.04,4.84,0.91,0.11,25.26,76.03,-11.33,258045198.0,0.5,
2026-02-03,2026-02-04,2026-02-25,15,STOP,UPTREND,11.41,11.35,11.35,13.05,10.76,10.76,-5.15,-5.35,False,False,4.85,34.13,6.13,58.12,7.74,5.02,0.21,0.07,25.39,77.35,-10.86,20444431.0,0.53,
