signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-04,2026-06-05,2026-06-30,17,TRAIL,DOWNTREND,280.3,278.9,278.9,295.63,286.42,286.42,2.7,2.0,False,False,5.61,-18.28,-4.4,35.17,-6.53,1.93,1.14,-2.08,23.93,8.86,-31.4,-119210127.0,0.5,
2026-06-02,2026-06-03,2026-06-30,19,TRAIL,DOWNTREND,283.25,281.83,281.83,298.74,286.75,286.75,1.74,1.24,False,False,4.51,-17.7,-4.12,34.89,-6.23,1.84,1.06,-1.94,19.18,1.96,-30.68,-103485255.0,0.5,
2026-04-29,2026-04-30,2026-05-07,5,STOP,DOWNTREND,307.86,306.32,306.32,324.7,300.97,300.97,-1.75,-1.95,False,False,1.03,-13.55,4.76,62.77,4.7,1.84,1.56,1.48,18.33,105.21,-25.97,68769311.0,0.5,
2026-04-21,2026-04-22,2026-04-24,2,STOP,DOWNTREND,301.44,299.93,299.93,317.93,293.95,293.95,-2.0,-2.2,False,False,0.79,-16.04,3.72,57.26,5.02,1.85,1.02,2.1,23.49,96.04,-27.52,149383594.0,0.5,
2026-03-25,2026-03-27,2026-04-30,21,TARGET,DOWNTREND,287.86,286.42,286.42,303.6,306.47,306.47,7.0,5.44,True,False,7.91,-21.58,-3.39,36.52,-4.3,2.29,1.11,-0.87,34.48,18.3,-30.78,14701369.0,0.5,
2026-02-06,2026-02-09,2026-02-11,2,STOP,DOWNTREND,317.16,315.57,315.57,334.51,308.04,308.04,-2.39,-2.59,False,False,1.4,-17.17,1.98,45.81,2.39,2.51,2.72,2.66,62.0,71.25,-27.02,54237350.0,0.5,
2026-01-30,2026-02-02,2026-02-06,4,TRAIL,DOWNTREND,307.17,305.63,295.06,312.76,300.53,300.53,1.85,1.32,False,False,4.94,-20.27,-3.06,23.89,-3.76,1.98,1.31,0.82,67.51,23.83,-29.32,-36486813.0,4.1,
2025-09-04,2025-09-05,2025-09-05,1,STOP,DOWNTREND,396.56,394.58,394.58,418.25,385.98,385.98,-2.18,-2.38,False,False,0.0,-0.68,1.72,57.37,2.43,1.44,1.81,1.09,15.64,80.9,-15.46,56573655.0,0.5,
2025-03-05,2025-03-06,2025-03-19,8,TRAIL,DOWNTREND,379.23,377.33,377.33,399.97,377.42,377.42,0.02,-0.18,False,False,3.28,-8.88,-1.03,42.35,-0.05,2.16,1.1,0.08,25.87,41.35,-19.15,-31761732.0,0.5,
2025-02-25,2025-02-27,2025-02-28,1,STOP,DOWNTREND,379.04,377.14,377.14,399.77,368.98,368.98,-2.16,-2.36,False,False,0.91,-8.94,-3.75,34.23,-1.69,2.04,1.06,-1.18,24.18,28.0,-19.19,-31442058.0,0.5,
2024-10-01,2024-10-03,2024-10-09,4,STOP,UPTREND,458.14,455.85,451.35,519.05,444.93,444.93,-1.42,-1.62,False,False,1.73,15.53,0.52,56.58,1.66,1.55,0.44,-0.31,15.73,62.15,-2.33,25388605.0,1.5,
2024-09-30,2024-10-01,2024-10-04,2,STOP,UPTREND,459.87,457.57,457.57,526.2,446.75,446.75,-2.36,-2.56,False,False,0.81,16.07,0.97,58.99,1.38,1.58,0.88,-0.04,16.4,72.45,-1.96,19784062.0,0.5,
2024-09-27,2024-09-30,2024-10-03,2,STOP,UPTREND,463.9,461.59,461.59,530.82,451.12,451.12,-2.27,-2.47,False,False,0.82,17.18,1.93,64.98,1.72,1.54,1.41,0.15,17.11,95.6,-1.1,22899334.0,0.5,
2024-09-24,2024-09-25,2024-10-03,5,STOP,UPTREND,457.29,455.01,455.01,523.26,454.51,451.35,-0.8,-1.0,False,False,3.09,15.83,1.06,59.3,0.32,1.59,0.55,-0.6,17.7,74.28,-1.01,41344298.0,0.5,
2024-09-23,2024-09-24,2024-10-03,6,STOP,UPTREND,458.8,456.51,456.51,524.98,453.89,451.35,-1.13,-1.33,False,False,2.75,16.34,1.54,61.31,1.02,1.65,0.63,-0.7,18.36,83.93,-0.68,59692033.0,0.5,
2024-09-16,2024-09-17,2024-10-03,11,TRAIL,UPTREND,453.61,451.34,451.34,519.04,453.01,451.35,0.0,-0.2,False,False,3.92,15.59,0.73,57.09,0.21,1.77,0.67,-0.48,24.03,65.92,-1.81,19046449.0,0.5,
2024-09-13,2024-09-16,2024-10-03,12,STOP,UPTREND,456.05,453.77,453.77,521.84,452.78,451.35,-0.53,-0.73,False,False,3.37,16.33,1.37,59.79,2.38,1.78,0.78,-0.18,25.7,79.43,-1.28,43365383.0,0.5,
2024-09-12,2024-09-13,2024-10-03,13,STOP,UPTREND,461.06,458.76,458.76,527.57,452.62,451.35,-1.62,-1.82,False,False,2.24,17.73,2.6,65.73,2.85,1.78,1.59,-0.02,27.07,107.39,-0.19,37007111.0,0.5,
2024-09-11,2024-09-12,2024-10-03,14,STOP,UPTREND,456.49,454.21,454.21,522.34,452.99,451.35,-0.63,-0.83,False,False,3.27,16.69,1.85,62.59,3.43,1.76,1.35,-0.38,28.56,91.18,-0.99,37311481.0,0.5,
2024-08-23,2024-08-26,2024-09-06,9,STOP,UPTREND,448.91,446.66,446.66,513.66,441.57,441.57,-1.14,-1.34,False,False,2.52,16.24,2.0,67.52,2.23,1.82,0.63,-0.62,39.44,90.14,-0.95,6157417.0,0.5,
2024-08-22,2024-08-23,2024-09-06,10,STOP,UPTREND,447.8,445.56,445.56,512.39,441.27,441.27,-0.96,-1.16,False,False,2.77,16.07,1.91,66.77,2.42,1.86,0.64,-0.7,39.47,90.47,-1.19,19311937.0,0.5,
2024-08-21,2024-08-22,2024-10-03,29,TRAIL,UPTREND,448.55,446.31,446.31,513.25,452.09,451.35,1.13,0.74,False,False,5.1,16.38,2.19,67.75,3.93,1.89,0.58,-0.79,39.14,100.11,-1.03,39318759.0,0.5,
2024-08-19,2024-08-20,2024-10-01,30,TRAIL,UPTREND,445.05,442.82,442.82,509.24,451.66,458.14,3.46,2.61,False,False,5.92,15.68,1.86,66.88,2.53,1.95,0.58,-1.04,38.92,80.04,-1.8,26635459.0,0.5,
2024-08-16,2024-08-19,2024-09-30,30,TRAIL,UPTREND,446.11,443.88,443.88,510.46,451.64,459.87,3.6,2.72,False,False,5.67,16.07,2.39,68.22,1.81,1.95,0.72,-1.25,38.66,85.4,-1.57,15085804.0,0.5,
2024-07-31,2024-08-01,2024-09-13,30,TRAIL,UPTREND,439.63,437.43,437.43,503.05,442.73,456.05,4.26,3.24,False,False,5.61,15.26,5.89,70.12,6.4,2.19,0.59,1.87,44.97,79.21,-3.0,116984110.0,0.5,
2024-07-29,2024-07-30,2024-09-11,30,TRAIL,UPTREND,440.25,438.05,438.05,503.76,441.2,456.49,4.21,3.21,False,False,5.25,15.61,7.54,73.54,8.06,2.26,0.64,3.36,43.74,84.96,-2.86,149266736.0,0.5,
