signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-14,2026-07-15,2026-07-16,1,TIME,UPTREND,3188.9,3172.96,3172.96,3648.9,2998.66,3151.4,-0.68,-0.88,False,False,0.0,32.22,3.42,62.49,5.04,2.73,0.91,-4.67,28.57,81.58,-1.73,11558186.0,0.5,
2026-07-13,2026-07-14,2026-07-16,2,TIME,UPTREND,3177.5,3161.61,3161.61,3635.85,2985.4,3151.4,-0.32,-0.52,False,False,0.0,31.88,3.46,61.81,7.26,2.77,0.76,-6.58,29.33,81.2,-2.08,11724598.0,0.5,
2026-07-10,2026-07-13,2026-07-16,3,TIME,UPTREND,3157.3,3141.51,3127.3,3596.4,2949.81,3151.4,0.77,0.46,False,False,0.0,31.2,3.19,60.63,3.93,2.81,1.02,-9.09,30.43,78.46,-2.7,8431434.0,0.96,
2026-07-08,2026-07-09,2026-07-16,5,TIME,UPTREND,3046.9,3031.67,3031.67,3486.42,2854.31,3151.4,3.95,3.0,False,False,0.0,26.96,0.26,53.54,-0.74,2.91,1.14,-8.09,34.19,52.13,-6.1,1957193.0,0.5,
2026-07-07,2026-07-08,2026-07-16,6,TIME,UPTREND,3107.2,3091.66,3091.66,3555.41,2918.96,3151.4,1.93,1.39,False,False,0.0,29.64,2.44,58.63,4.87,2.78,1.05,0.47,36.79,69.31,-4.25,6806040.0,0.5,
2026-07-06,2026-07-07,2026-07-16,7,TIME,UPTREND,3206.6,3190.57,3190.57,3669.15,3022.84,3151.4,-1.23,-1.43,False,False,0.0,33.99,5.94,68.64,4.8,2.62,1.0,6.63,38.61,97.35,-1.18,7278934.0,0.5,
2026-07-03,2026-07-06,2026-07-16,8,TIME,UPTREND,3212.1,3196.04,3196.04,3675.45,3024.23,3151.4,-1.4,-1.6,False,False,0.0,34.45,6.54,69.24,5.72,2.67,1.45,4.47,38.94,107.54,-0.54,10984255.0,0.5,
2026-07-02,2026-07-03,2026-07-16,9,TIME,UPTREND,3177.5,3161.61,3161.61,3635.85,2994.82,3151.4,-0.32,-0.52,False,False,0.0,33.23,5.69,67.57,5.45,2.62,1.62,-1.19,39.5,108.81,-1.61,11755854.0,0.5,
2026-06-30,2026-07-01,2026-07-16,11,TIME,UPTREND,3036.0,3020.82,3020.82,3473.94,2862.7,3151.4,4.32,3.3,False,False,0.0,27.72,1.7,59.68,3.14,2.6,1.1,-15.67,39.79,74.41,-2.22,7959126.0,0.5,
2026-06-26,2026-06-29,2026-07-16,13,TIME,UPTREND,3038.0,3022.81,3020.0,3473.0,2864.65,3151.4,4.35,3.32,False,False,0.0,28.18,1.98,62.15,3.98,2.56,0.0,-12.0,44.06,77.7,-2.16,10579261.0,0.6,
2026-06-24,2026-06-25,2026-07-16,15,TIME,UPTREND,3069.7,3054.35,3054.35,3512.5,2886.07,3151.4,3.18,2.38,False,False,0.0,29.93,3.33,65.51,4.78,2.74,1.25,-12.1,45.42,99.63,-0.71,13415755.0,0.5,
2026-06-22,2026-06-23,2026-07-16,17,TIME,UPTREND,3059.6,3044.3,3044.3,3500.95,2890.97,3151.4,3.52,2.65,False,False,0.0,29.91,3.15,70.57,3.06,2.51,0.77,-12.11,47.75,103.01,-0.18,12875192.0,0.5,
2026-06-19,2026-06-22,2026-07-16,18,TIME,UPTREND,3038.4,3023.21,3023.21,3476.69,2867.93,3151.4,4.24,3.23,False,False,0.0,29.22,2.81,69.28,-0.28,2.56,1.55,-15.99,47.51,95.27,-0.65,9495241.0,0.5,
2026-06-10,2026-06-11,2026-07-16,25,TIME,UPTREND,2929.79,2915.14,2893.81,3327.88,2723.95,3151.4,8.9,6.96,False,False,0.0,25.82,2.18,62.73,-1.41,2.9,0.49,-14.91,51.83,62.43,-4.21,1103981.0,1.24,
2026-06-09,2026-06-10,2026-07-16,26,TIME,UPTREND,2978.57,2963.68,2963.68,3408.23,2792.58,3151.4,6.33,4.91,False,False,0.0,28.06,4.67,67.78,0.36,2.87,0.61,-8.33,52.46,72.24,-2.61,6405926.0,0.5,
