signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-13,2026-07-14,2026-07-16,2,TIME,UPTREND,5509.3,5481.76,5481.76,6304.02,5194.68,5546.0,1.17,0.78,False,False,0.0,17.75,-1.51,48.1,0.24,2.61,0.68,-16.31,21.7,32.55,-8.93,426244.0,0.5,
2026-06-26,2026-06-29,2026-07-16,13,TIME,UPTREND,5595.59,5567.61,5567.61,6402.75,5281.91,5546.0,-0.39,-0.59,False,False,0.0,21.77,-1.06,50.53,0.36,2.55,0.0,-31.63,15.23,34.01,-7.51,148458.0,0.5,
2026-06-22,2026-06-23,2026-07-07,10,STOP,UPTREND,5716.58,5688.0,5688.0,6541.2,5386.51,5386.51,-5.3,-5.5,False,False,0.0,25.36,0.39,57.01,2.74,2.64,1.12,-5.62,16.94,53.74,-5.51,742222.0,0.5,
2026-06-19,2026-06-22,2026-07-03,9,STOP,UPTREND,5816.75,5787.67,5747.83,6610.0,5457.93,5457.93,-5.04,-5.24,False,False,0.0,27.82,2.49,63.13,1.4,2.49,0.63,-0.79,17.96,70.88,-3.85,849493.0,1.2,
2026-06-18,2026-06-19,2026-06-29,6,STOP,UPTREND,5809.81,5780.76,5780.76,6647.88,5484.28,5484.28,-5.13,-5.33,False,False,0.0,27.96,2.83,62.87,1.22,2.55,0.61,-4.84,17.44,71.67,-3.97,144889.0,0.5,
2026-06-15,2026-06-16,2026-07-08,16,STOP,UPTREND,5706.67,5678.13,5678.13,6529.85,5358.43,5358.43,-5.63,-5.83,False,False,0.0,26.5,2.24,59.6,1.29,2.8,0.79,-24.77,16.83,64.48,-5.67,572466.0,0.5,
2026-06-05,2026-06-08,2026-07-16,28,TIME,UPTREND,5736.42,5707.74,5603.52,6444.05,5276.12,5546.0,-1.03,-1.23,False,False,0.0,28.71,4.73,62.64,8.05,2.85,0.71,8.12,23.0,73.82,-5.18,132541.0,2.37,
2026-06-04,2026-06-05,2026-07-08,23,STOP,UPTREND,5739.89,5711.19,5711.19,6567.87,5376.77,5376.77,-5.86,-6.06,False,False,0.0,29.07,5.16,62.82,7.37,2.91,0.92,12.35,23.07,76.45,-5.12,282864.0,0.5,
2026-06-02,2026-06-03,2026-07-15,30,TIME,UPTREND,5661.05,5632.74,5632.74,6477.65,5292.61,5503.85,-2.29,-2.49,False,False,0.0,27.87,4.43,60.63,8.64,3.0,1.29,26.52,23.85,73.45,-6.43,270762.0,0.5,
2026-05-28,2026-05-29,2026-06-01,1,STOP,UPTREND,5977.92,5948.03,5948.03,6840.23,5640.48,5640.48,-5.17,-5.37,False,False,0.0,35.97,11.76,77.64,12.31,2.57,0.0,53.56,24.03,119.23,-1.17,2025693.0,0.5,
