signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-04-01,2026-04-02,2026-04-17,9,TARGET,DOWNTREND,515.55,512.97,510.0,540.6,485.31,540.6,6.0,4.64,False,False,0.0,-6.94,2.92,54.09,2.8,3.19,0.81,2.01,21.24,73.35,-18.85,3193920.0,1.09,
2026-03-27,2026-03-30,2026-04-08,5,TARGET,DOWNTREND,506.05,503.52,500.0,530.0,476.33,530.0,6.0,4.64,False,False,0.0,-8.82,0.3,50.72,1.51,3.12,2.51,-0.3,22.97,51.9,-20.35,5319716.0,1.21,
2025-12-09,2025-12-10,2026-01-12,22,STOP,DOWNTREND,533.2,530.53,530.53,562.37,515.45,515.45,-2.84,-3.04,False,False,0.0,-6.57,-3.58,35.07,-2.72,1.89,1.01,-2.11,26.65,11.4,-16.38,-2823023.0,0.5,
2025-11-26,2025-11-27,2025-12-05,6,STOP,DOWNTREND,555.8,553.02,553.02,586.2,539.96,539.96,-2.36,-2.56,False,False,0.0,-2.66,-1.89,41.5,-2.97,1.57,1.43,-2.26,22.95,26.66,-12.84,4080.0,0.5,
2025-04-08,2025-04-09,2025-04-16,3,TARGET,DOWNTREND,556.06,553.28,553.26,586.45,524.6,586.45,6.0,4.64,False,False,0.0,-10.24,2.55,55.07,-2.15,3.44,2.96,0.55,23.3,67.12,-30.64,-223708.0,0.51,
2025-03-03,2025-03-04,2025-03-06,2,TARGET,DOWNTREND,492.18,489.72,487.37,516.61,461.29,521.52,7.01,5.45,False,False,0.0,-22.22,-7.82,31.66,-6.13,3.53,1.74,-4.14,27.45,5.13,-38.61,-3200221.0,0.99,
2025-01-31,2025-02-01,2025-02-03,1,STOP,DOWNTREND,587.75,584.81,584.81,619.9,558.57,558.57,-4.49,-4.69,False,False,0.0,-8.52,5.04,57.74,6.29,2.98,2.12,4.94,16.99,95.64,-26.69,6641260.0,0.5,
2024-11-28,2024-11-29,2024-12-17,12,STOP,DOWNTREND,623.72,620.6,620.6,657.83,596.44,596.44,-3.89,-4.09,False,False,0.0,-3.82,1.66,55.49,2.88,2.58,0.97,2.28,20.82,75.82,-22.2,2917837.0,0.5,
2024-10-28,2024-10-29,2024-10-30,1,TARGET,DOWNTREND,607.75,604.71,604.71,640.99,575.27,640.99,6.0,4.64,False,False,0.0,-5.62,-0.1,45.55,0.11,3.23,1.82,1.0,31.91,49.15,-24.2,742423.0,0.5,
2024-10-23,2024-10-24,2024-10-29,3,TARGET,DOWNTREND,590.21,587.26,587.26,622.49,559.49,622.49,6.0,4.64,False,False,0.0,-8.23,-4.37,36.22,-2.69,3.14,1.78,-1.42,29.89,20.99,-26.38,218311.0,0.5,
2024-07-29,2024-07-30,2024-08-05,4,STOP,UPTREND,767.59,763.75,763.75,878.32,709.91,688.85,-9.81,-10.01,False,False,0.0,30.52,0.34,55.98,1.52,3.51,0.83,-4.72,16.42,55.09,-4.26,3131273.0,0.5,
2024-07-24,2024-07-25,2024-08-05,7,STOP,UPTREND,758.38,754.59,754.59,867.78,699.68,688.85,-8.71,-8.91,False,False,0.0,29.98,-0.95,54.27,1.37,3.62,0.97,-5.97,18.83,34.97,-5.41,5340701.0,0.5,
2024-07-23,2024-07-24,2024-08-05,8,STOP,UPTREND,746.89,743.15,743.15,854.63,688.01,688.01,-7.42,-7.62,False,False,0.0,28.35,-2.37,51.42,-1.53,3.69,1.49,-6.01,19.8,14.34,-6.84,562734.0,0.5,
2024-07-22,2024-07-23,2024-08-05,9,STOP,UPTREND,769.82,765.97,765.97,880.87,714.61,688.85,-10.07,-10.27,False,False,0.0,32.63,0.86,58.13,-0.23,3.34,0.62,-4.74,20.84,59.56,-3.98,3435809.0,0.5,
