signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-29,2026-06-30,2026-07-01,1,STOP,UPTREND,25.09,24.96,24.96,28.71,24.11,24.11,-3.44,-3.64,False,False,1.5,15.94,4.76,65.41,5.51,2.46,1.33,0.02,30.94,76.36,-2.68,696936045.0,0.5,
2026-06-24,2026-06-25,2026-07-07,8,STOP,UPTREND,24.94,24.82,24.82,28.54,24.0,24.0,-3.3,-3.5,False,False,2.28,15.62,5.44,64.59,10.35,2.77,0.8,0.09,30.51,81.01,-3.26,755440328.0,0.5,
2026-06-22,2026-06-23,2026-07-07,10,STOP,UPTREND,24.96,24.84,24.84,28.56,23.95,23.95,-3.58,-3.78,False,False,2.19,15.97,6.4,66.83,8.52,2.87,0.97,0.17,30.86,87.84,-3.18,730413888.0,0.5,
2026-06-19,2026-06-22,2026-06-30,6,STOP,UPTREND,25.41,25.28,25.28,29.08,24.11,24.11,-4.63,-4.83,False,False,1.1,18.21,8.94,72.67,9.06,2.85,0.92,0.2,30.15,104.39,-1.44,754839247.0,0.5,
2026-06-18,2026-06-19,2026-07-01,8,STOP,UPTREND,25.48,25.35,25.35,29.16,24.1,24.1,-4.96,-5.16,False,False,0.98,18.71,10.07,73.6,11.9,2.95,1.65,0.17,28.66,116.51,-1.16,1035436558.0,0.5,
2026-04-16,2026-04-17,2026-04-21,2,TRAIL,DOWNTREND,19.95,19.85,19.85,21.04,19.86,19.86,0.05,-0.15,False,False,4.33,-4.63,7.85,59.47,15.65,2.84,1.51,0.28,31.46,107.22,-17.9,328535537.0,0.5,
2026-04-06,2026-04-07,2026-04-10,3,TARGET,DOWNTREND,18.15,18.06,18.06,19.14,19.32,19.0,5.21,4.01,True,False,6.32,-13.35,-2.97,40.65,-4.17,3.16,1.08,0.01,41.67,33.55,-25.31,-218181312.0,0.5,
2026-03-20,2026-03-23,2026-03-23,1,STOP,DOWNTREND,18.58,18.49,18.49,19.6,17.76,17.76,-3.96,-4.16,False,False,0.0,-11.77,-6.18,31.18,-7.65,2.63,1.12,-0.1,35.71,16.65,-23.54,-221652098.0,0.5,
2025-11-18,2025-11-19,2025-12-08,13,STOP,UPTREND,22.99,22.88,22.88,26.31,22.2,22.2,-2.95,-3.15,False,False,1.38,16.3,1.13,56.79,0.09,2.15,0.8,-0.04,17.36,81.12,-5.39,179704376.0,0.5,
2025-11-17,2025-11-18,2025-11-24,4,STOP,UPTREND,23.16,23.04,23.04,26.5,22.23,22.23,-3.53,-3.73,False,False,0.89,17.29,2.04,59.76,1.85,2.2,1.58,-0.06,17.77,101.89,-4.69,361073548.0,0.5,
2025-11-12,2025-11-13,2025-11-24,7,STOP,UPTREND,22.75,22.64,22.64,26.03,22.31,22.31,-1.46,-1.66,False,False,3.06,15.6,-0.12,54.57,0.09,2.25,0.62,-0.09,19.7,47.58,-6.38,286660277.0,0.5,
2025-11-10,2025-11-11,2025-11-24,9,STOP,UPTREND,22.74,22.63,22.63,26.02,22.24,22.24,-1.7,-1.9,False,False,3.11,15.78,-0.74,54.61,0.31,2.39,0.36,-0.08,22.34,40.95,-6.42,268112945.0,0.5,
2025-11-07,2025-11-10,2025-11-24,10,STOP,UPTREND,22.85,22.74,22.74,26.15,22.21,22.21,-2.31,-2.51,False,False,2.61,16.47,-0.19,56.4,0.57,2.45,0.6,-0.08,23.76,47.73,-5.97,226796842.0,0.5,
2025-11-06,2025-11-07,2025-11-24,11,STOP,UPTREND,22.63,22.52,22.5,25.87,22.22,22.22,-1.23,-1.43,False,False,3.69,15.49,-0.98,53.58,-0.53,2.44,0.56,-0.09,25.55,39.21,-6.87,12163578.0,0.58,
2025-11-04,2025-11-06,2025-11-24,12,STOP,UPTREND,23.02,22.9,22.9,26.34,22.21,22.21,-3.02,-3.22,False,False,1.86,17.62,0.82,59.95,1.68,2.42,0.98,-0.08,26.71,58.78,-5.27,116268998.0,0.5,
2025-11-03,2025-11-04,2025-11-07,2,STOP,UPTREND,22.97,22.86,22.86,26.28,22.37,22.37,-2.12,-2.32,False,False,2.69,17.51,0.84,59.38,3.24,2.39,0.76,-0.1,27.44,58.45,-5.47,150939925.0,0.5,
2025-10-23,2025-10-24,2025-11-07,9,STOP,UPTREND,22.72,22.61,22.61,26.0,22.35,22.35,-1.15,-1.35,False,False,3.82,17.09,1.84,58.47,3.09,2.47,0.93,-0.08,39.65,61.06,-6.5,551414420.0,0.5,
2025-10-16,2025-10-17,2025-10-20,1,STOP,UPTREND,23.12,23.0,23.0,26.46,22.2,22.2,-3.5,-3.7,False,False,1.02,19.52,4.94,66.52,6.25,2.25,0.61,0.11,48.82,76.96,-4.86,916002103.0,0.5,
2025-10-15,2025-10-16,2025-10-17,1,STOP,UPTREND,23.32,23.2,23.2,26.68,22.41,22.41,-3.42,-3.62,False,False,1.15,20.66,6.32,69.97,9.74,2.27,0.69,0.15,49.06,84.9,-4.03,1154000885.0,0.5,
2025-10-13,2025-10-14,2025-10-16,2,STOP,UPTREND,24.03,23.91,23.91,27.5,23.09,23.09,-3.42,-3.62,False,False,0.96,24.56,10.72,83.18,14.59,2.18,1.98,0.22,48.67,114.36,-1.11,1470317956.0,0.5,
2025-10-10,2025-10-13,2025-10-14,1,STOP,UPTREND,24.0,23.88,23.88,27.46,23.23,23.23,-2.7,-2.9,False,False,1.72,24.53,11.4,83.06,12.41,2.2,4.67,0.16,46.37,133.31,-1.23,1132858605.0,0.5,
2025-10-07,2025-10-08,2025-10-14,4,TRAIL,UPTREND,22.22,22.11,22.11,25.43,23.45,23.45,6.08,4.7,False,False,9.91,15.53,4.69,74.19,4.76,1.91,1.26,0.05,41.66,107.01,-5.0,688253869.0,0.5,
2025-08-04,2025-08-05,2025-08-26,14,TARGET,DOWNTREND,18.89,18.8,18.8,19.92,20.11,19.49,3.69,2.8,True,False,7.47,-2.07,-4.21,34.99,-6.3,2.19,1.05,-0.13,22.33,9.06,-29.88,-224070462.0,0.5,
2025-06-02,2025-06-03,2025-06-03,1,STOP,UPTREND,23.28,23.16,22.93,26.37,21.51,21.51,-6.2,-6.4,False,False,0.0,16.49,12.42,81.94,9.81,3.06,2.46,0.08,42.35,100.83,-15.16,719216921.0,1.53,
2025-04-16,2025-04-17,2025-04-22,2,TARGET,DOWNTREND,17.87,17.78,17.78,18.85,19.03,18.94,6.52,5.06,True,False,8.83,-14.02,4.35,58.14,5.86,3.07,0.96,0.1,14.19,91.05,-37.41,125534186.0,0.5,
2025-04-03,2025-04-04,2025-04-07,1,STOP,DOWNTREND,17.95,17.86,17.86,18.93,17.16,16.21,-9.24,-9.44,False,False,0.56,-14.58,6.34,59.82,5.4,2.98,1.1,0.18,17.21,103.2,-37.13,271885117.0,0.5,
2025-01-16,2025-01-17,2025-01-22,3,TRAIL,DOWNTREND,18.29,18.2,18.2,19.29,18.3,18.3,0.57,0.3,False,False,5.12,-19.21,-4.33,39.07,-6.64,3.01,1.1,-0.12,29.36,26.54,-44.32,-246697908.0,0.5,
2025-01-14,2025-01-15,2025-01-21,4,TARGET,DOWNTREND,18.02,17.93,17.93,19.01,19.18,19.08,6.41,4.97,True,False,6.69,-20.6,-7.04,35.0,-8.01,3.12,1.21,-0.21,27.98,13.97,-45.14,-253426281.0,0.5,
2024-10-29,2024-10-30,2024-11-08,7,TRAIL,DOWNTREND,20.73,20.63,20.1,21.31,20.15,20.15,0.25,0.04,False,False,5.27,-13.76,-1.41,42.07,-2.22,3.25,1.01,0.01,38.74,40.0,-36.89,-65232619.0,3.13,
2024-10-28,2024-10-29,2024-11-08,8,STOP,DOWNTREND,20.54,20.44,20.44,21.66,20.14,20.14,-1.44,-1.64,False,False,3.54,-14.6,-2.72,39.34,-2.42,3.3,2.74,-0.05,39.65,32.18,-37.47,-106673354.0,0.5,
2024-07-31,2024-08-01,2024-08-05,2,STOP,UPTREND,26.51,26.38,26.38,30.33,24.94,24.5,-7.12,-7.32,False,False,2.13,15.87,4.42,61.55,1.22,3.77,2.08,-0.0,19.87,86.2,-19.3,418816406.0,0.5,
2024-07-16,2024-07-18,2024-08-05,12,STOP,UPTREND,26.19,26.06,26.0,29.9,25.14,24.5,-5.77,-5.97,False,False,4.62,16.46,6.15,62.31,9.81,3.93,0.62,0.17,27.21,85.45,-20.27,1390132071.0,0.73,
2024-07-15,2024-07-16,2024-07-19,2,STOP,UPTREND,26.38,26.25,26.25,30.19,24.75,24.75,-5.72,-5.92,False,False,2.29,17.51,7.44,64.15,9.64,3.98,1.52,0.18,25.99,94.6,-19.7,1407288446.0,0.5,
2024-07-11,2024-07-12,2024-07-19,4,STOP,UPTREND,25.83,25.7,25.7,29.56,24.8,24.8,-3.51,-3.71,False,False,4.47,15.47,6.15,61.75,9.87,3.97,3.03,0.18,23.71,91.18,-21.37,1498125071.0,0.5,
2024-07-09,2024-07-10,2024-07-15,3,STOP,UPTREND,25.8,25.67,25.67,29.52,25.28,25.28,-1.53,-1.73,False,False,5.53,15.74,6.69,64.6,7.41,3.51,1.5,0.24,21.87,98.67,-21.46,779073234.0,0.5,
