signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-03-06,2026-03-09,2026-03-16,5,STOP,UPTREND,468.45,466.11,466.11,536.02,425.41,425.41,-8.73,-8.93,False,False,0.0,15.67,6.08,66.87,8.06,2.66,1.66,1.67,24.25,120.22,-1.06,50887919.0,0.5,
2026-01-28,2026-01-29,2026-03-13,30,TIME,UPTREND,451.08,448.82,448.82,516.15,403.94,439.4,-2.1,-2.3,False,False,0.0,16.13,9.47,72.43,9.5,2.53,4.0,2.36,17.24,137.76,-0.98,49434172.0,0.5,
2025-11-20,2025-11-21,2025-11-24,1,STOP,UPTREND,421.21,419.1,419.1,481.97,401.51,401.51,-4.2,-4.4,False,False,0.0,17.79,0.95,55.39,3.47,1.97,0.64,-0.18,18.22,66.23,-2.76,7587109.0,0.5,
2025-11-14,2025-11-17,2025-11-24,5,STOP,UPTREND,425.04,422.92,422.92,486.35,401.44,401.44,-5.08,-5.28,False,False,0.0,19.93,2.27,58.92,4.14,2.02,0.91,0.32,18.92,89.24,-1.87,33227920.0,0.5,
2025-11-12,2025-11-13,2025-11-24,7,STOP,UPTREND,422.95,420.83,420.83,483.96,400.43,400.43,-4.85,-5.05,False,False,0.0,19.86,2.21,58.61,2.71,2.04,0.95,0.21,18.48,84.5,-2.35,24273496.0,0.5,
2025-11-11,2025-11-12,2025-11-24,8,STOP,UPTREND,425.49,423.36,423.36,486.87,400.41,400.41,-5.42,-5.62,False,False,0.0,20.83,3.01,60.78,2.93,2.05,1.59,-0.07,17.95,98.67,-1.77,27247278.0,0.5,
2025-11-06,2025-11-07,2025-11-24,11,STOP,UPTREND,407.07,405.03,405.03,465.79,400.45,400.45,-1.13,-1.33,False,False,0.0,16.29,-1.07,48.63,-2.13,2.1,0.85,-0.94,18.98,32.22,-6.02,11471661.0,0.5,
2025-11-04,2025-11-06,2025-11-24,12,STOP,UPTREND,413.39,411.32,409.26,470.65,400.43,400.43,-2.16,-2.36,False,False,0.0,18.34,0.45,53.42,-0.32,2.09,0.86,-0.31,19.75,57.62,-4.56,27173026.0,1.01,
2025-11-03,2025-11-04,2025-11-24,13,STOP,UPTREND,420.51,418.41,418.22,480.95,400.41,400.41,-4.26,-4.46,False,False,0.0,20.63,2.21,59.56,2.3,2.07,1.81,0.01,19.41,87.21,-2.92,50585285.0,0.55,
2025-10-31,2025-11-03,2025-11-24,14,STOP,UPTREND,424.29,422.17,422.17,485.5,400.53,400.53,-5.13,-5.33,False,False,0.0,22.0,3.25,63.14,3.47,1.94,3.54,-0.27,18.7,108.39,-2.04,97374077.0,0.5,
2025-10-29,2025-10-30,2025-11-24,16,STOP,UPTREND,405.47,403.45,403.45,463.96,399.42,399.42,-1.0,-1.2,False,False,0.0,17.07,-1.03,49.18,1.19,1.85,1.13,-0.89,19.1,29.83,-6.39,57231264.0,0.5,
2025-10-28,2025-10-29,2025-12-08,27,STOP,UPTREND,411.8,409.74,409.74,471.2,398.04,398.04,-2.86,-3.06,False,False,0.0,19.11,0.61,55.31,1.01,1.81,0.93,-0.2,20.39,60.8,-4.93,60940349.0,0.5,
2025-10-27,2025-10-28,2025-12-08,28,STOP,UPTREND,413.39,411.32,411.32,473.02,398.01,398.01,-3.24,-3.44,False,False,0.0,19.8,1.21,56.97,0.4,1.83,0.92,0.19,21.38,68.7,-4.56,65329837.0,0.5,
2025-10-24,2025-10-27,2025-12-08,29,STOP,UPTREND,420.26,418.16,418.16,480.88,398.06,398.06,-4.81,-5.01,False,False,0.0,22.03,3.05,64.76,3.1,1.75,1.36,0.56,21.65,96.43,-2.97,91301175.0,0.5,
2025-10-16,2025-10-17,2025-12-02,30,TIME,UPTREND,410.05,408.0,408.0,469.2,397.84,411.3,0.81,0.49,False,False,0.0,20.17,1.32,57.74,1.3,2.01,0.87,-0.52,18.33,75.21,-5.33,36657268.0,0.5,
2025-10-13,2025-10-14,2025-11-27,30,TIME,UPTREND,407.66,405.63,405.63,466.47,395.29,411.3,1.4,0.96,False,False,0.0,20.08,0.83,57.12,3.41,2.02,0.54,-0.02,21.48,65.16,-5.88,76303726.0,0.5,
2025-10-10,2025-10-13,2025-11-26,30,TIME,UPTREND,411.75,409.69,409.69,471.14,390.64,413.54,0.94,0.59,False,False,0.0,21.5,1.97,61.08,2.57,2.03,0.89,0.21,21.9,84.93,-4.94,72475195.0,0.5,
2025-10-07,2025-10-08,2025-11-21,30,TIME,UPTREND,408.56,406.52,406.52,467.5,388.66,414.59,1.98,1.43,False,False,0.0,21.16,2.21,60.72,0.96,2.09,0.72,0.75,23.73,71.31,-5.68,59357786.0,0.5,
2025-10-06,2025-10-07,2025-11-20,30,TIME,UPTREND,411.5,409.44,409.44,470.86,388.61,421.21,2.87,2.14,False,False,0.0,22.22,3.44,63.83,1.06,2.11,0.9,0.92,23.4,78.41,-5.0,60406802.0,0.5,
2025-10-03,2025-10-06,2025-11-19,30,TIME,UPTREND,410.9,408.85,408.85,470.17,388.59,421.41,3.07,2.3,False,False,0.0,22.22,3.84,63.48,0.67,2.14,1.0,0.73,23.14,78.85,-5.14,29571883.0,0.5,
2025-09-30,2025-10-01,2025-11-17,30,TIME,UPTREND,402.24,400.23,400.23,460.26,388.6,422.75,5.63,4.34,False,False,0.0,19.99,2.53,58.08,0.26,2.17,0.95,0.26,23.53,67.73,-7.14,19779468.0,0.5,
