signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-06-15,2026-06-16,2026-06-18,2,TARGET,DOWNTREND,1254.26,1247.99,1247.99,1322.87,1164.89,1322.87,6.0,4.64,False,False,0.0,-9.78,3.75,58.6,4.16,2.36,2.01,4.63,14.81,110.31,-29.66,2004840.0,0.5,
2026-04-08,2026-04-09,2026-04-16,4,TARGET,DOWNTREND,1275.76,1269.38,1269.38,1345.55,1142.45,1345.55,6.0,4.64,False,False,0.0,-13.85,7.48,57.63,8.11,3.67,2.02,13.73,28.28,111.45,-29.03,5848681.0,0.5,
2026-02-04,2026-02-05,2026-03-02,17,STOP,DOWNTREND,1353.95,1347.18,1347.18,1428.01,1212.46,1194.31,-11.35,-11.55,False,False,0.0,-11.02,-0.52,47.05,1.89,3.59,1.4,1.55,35.19,46.9,-24.68,-1668469.0,0.5,
2026-02-03,2026-02-04,2026-03-04,19,STOP,DOWNTREND,1330.86,1324.21,1324.21,1403.66,1191.79,1191.79,-10.0,-10.2,False,False,0.0,-12.5,-2.53,43.86,-5.08,3.7,2.85,-3.49,36.85,35.46,-25.97,-8112295.0,0.5,
2026-01-28,2026-01-29,2026-02-02,2,STOP,DOWNTREND,1344.63,1337.91,1337.91,1418.19,1276.02,1217.89,-8.97,-9.17,False,False,0.0,-11.45,-3.63,37.66,-4.44,2.75,1.16,-4.61,36.04,24.61,-25.2,-6226505.0,0.5,
2026-01-22,2026-01-23,2026-01-27,1,STOP,DOWNTREND,1344.34,1337.62,1337.62,1417.87,1290.28,1290.28,-3.54,-3.74,False,False,0.0,-11.32,-4.92,32.71,-5.67,2.61,1.01,-6.06,35.3,8.39,-25.22,-3717471.0,0.5,
2025-07-10,2025-07-11,2025-07-11,1,STOP,UPTREND,1717.4,1708.82,1705.41,1961.22,1680.26,1680.26,-1.47,-1.67,False,False,0.0,17.57,0.6,56.79,0.02,2.95,0.51,-11.8,25.63,55.36,-12.19,5926813.0,0.7,
2025-07-09,2025-07-10,2025-07-11,1,STOP,UPTREND,1731.46,1722.8,1722.8,1981.22,1680.07,1680.07,-2.48,-2.68,False,False,0.0,18.63,1.72,59.42,0.99,2.97,0.42,-10.2,26.59,64.17,-11.47,10812904.0,0.5,
2025-07-07,2025-07-08,2025-07-11,3,STOP,UPTREND,1748.17,1739.43,1739.43,2000.34,1683.53,1683.53,-3.21,-3.41,False,False,0.0,20.0,2.67,62.88,3.2,3.01,0.59,-6.72,29.48,71.63,-10.62,15094398.0,0.5,
2025-07-04,2025-07-07,2025-07-25,14,STOP,UPTREND,1732.44,1723.78,1723.78,1982.35,1623.34,1623.34,-5.83,-6.03,False,False,0.0,19.05,1.71,61.11,4.55,3.06,1.16,-5.77,30.51,63.61,-11.42,19720943.0,0.5,
