signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-13,2026-07-14,2026-07-16,2,TRAIL,UPTREND,5509.3,5481.76,5481.76,6304.02,5400.83,5546.0,1.17,0.78,False,False,2.66,17.75,-1.51,48.1,0.24,2.61,0.68,-16.31,21.7,32.55,-8.93,426244.0,0.5,
2026-06-26,2026-06-29,2026-07-03,4,STOP,UPTREND,5595.59,5567.61,5567.61,6402.75,5454.25,5454.25,-2.04,-2.24,False,False,2.25,21.77,-1.06,50.53,0.36,2.55,0.0,-31.63,15.23,34.01,-7.51,148458.0,0.5,
2026-06-22,2026-06-23,2026-06-24,1,STOP,UPTREND,5716.58,5688.0,5688.0,6541.2,5553.64,5553.64,-2.36,-2.56,False,False,1.79,25.36,0.39,57.01,2.74,2.64,1.12,-5.62,16.94,53.74,-5.51,742222.0,0.5,
2026-06-19,2026-06-22,2026-06-24,2,STOP,UPTREND,5816.75,5787.67,5747.83,6610.0,5553.64,5553.64,-3.38,-3.58,False,False,0.73,27.82,2.49,63.13,1.4,2.49,0.63,-0.79,17.96,70.88,-3.85,849493.0,1.2,
2026-06-18,2026-06-19,2026-06-24,3,STOP,UPTREND,5809.81,5780.76,5780.76,6647.88,5547.45,5547.45,-4.04,-4.24,False,False,1.36,27.96,2.83,62.87,1.22,2.55,0.61,-4.84,17.44,71.67,-3.97,144889.0,0.5,
2026-06-15,2026-06-16,2026-06-24,6,STOP,UPTREND,5706.67,5678.13,5678.13,6529.85,5547.45,5547.45,-2.3,-2.5,False,False,3.19,26.5,2.24,59.6,1.29,2.8,0.79,-24.77,16.83,64.48,-5.67,572466.0,0.5,
2026-06-05,2026-06-08,2026-06-24,12,STOP,UPTREND,5736.42,5707.74,5603.52,6444.05,5547.45,5547.45,-1.0,-1.2,False,False,4.57,28.71,4.73,62.64,8.05,2.85,0.71,8.12,23.0,73.82,-5.18,132541.0,2.37,
2026-06-04,2026-06-05,2026-06-08,1,STOP,UPTREND,5739.89,5711.19,5711.19,6567.87,5519.95,5519.95,-3.35,-3.55,False,False,1.92,29.07,5.16,62.82,7.37,2.91,0.92,12.35,23.07,76.45,-5.12,282864.0,0.5,
2026-06-02,2026-06-03,2026-06-08,3,STOP,UPTREND,5661.05,5632.74,5632.74,6477.65,5519.95,5519.95,-2.0,-2.2,False,False,3.34,27.87,4.43,60.63,8.64,3.0,1.29,26.52,23.85,73.45,-6.43,270762.0,0.5,
2026-05-28,2026-05-29,2026-07-08,28,STOP,UPTREND,5977.92,5948.03,5948.03,6840.23,5353.23,5353.23,-10.0,-10.2,False,False,1.71,35.97,11.76,77.64,12.31,2.57,0.0,53.56,24.03,119.23,-1.17,2025693.0,0.5,
2026-05-20,2026-05-21,2026-07-02,30,TRAIL,UPTREND,5355.08,5328.31,5328.31,6127.55,5253.57,5532.61,3.83,2.91,False,False,13.54,23.51,2.15,60.56,1.41,2.6,1.1,-15.11,19.09,88.41,-1.3,285249.0,0.5,
2026-05-19,2026-05-20,2026-06-08,13,TARGET,UPTREND,5210.78,5184.73,5171.11,5946.78,5533.09,5533.09,7.0,5.44,True,False,16.99,20.45,-0.43,54.03,-0.11,2.53,0.8,-21.54,19.39,41.99,-3.96,184294.0,0.77,
2026-05-18,2026-05-19,2026-06-02,10,TARGET,UPTREND,5254.91,5228.64,5228.64,6012.94,5594.64,5594.64,7.0,5.44,True,False,15.71,21.71,0.55,56.7,0.18,2.53,0.65,-16.93,20.18,59.1,-3.14,202126.0,0.5,
2026-05-15,2026-05-18,2026-06-29,30,TRAIL,UPTREND,5347.65,5320.91,5315.91,6113.29,5253.57,5495.92,3.39,2.55,False,False,13.81,24.11,2.42,62.73,2.38,2.44,0.99,-14.36,21.04,89.63,-1.43,863860.0,0.6,
2026-05-14,2026-05-15,2026-06-26,30,TRAIL,UPTREND,5322.85,5296.24,5296.24,6090.67,5253.57,5595.59,5.65,4.36,False,False,14.23,23.79,2.18,61.72,1.91,2.49,0.72,-20.26,21.02,86.35,-1.89,427428.0,0.5,
2026-05-11,2026-05-12,2026-06-08,19,TARGET,UPTREND,5195.41,5169.43,5169.43,5944.85,5531.29,5531.29,7.0,5.44,True,False,17.03,21.53,0.41,56.72,0.1,2.52,0.96,-9.56,23.95,54.73,-4.24,138641.0,0.5,
2026-05-08,2026-05-11,2026-06-22,30,TRAIL,UPTREND,5356.57,5329.79,5305.99,6101.89,5253.57,5716.58,7.74,6.03,False,False,14.02,25.55,3.63,69.21,3.23,2.34,0.98,1.78,25.04,91.11,-1.27,1217635.0,0.95,
2026-05-05,2026-05-06,2026-05-11,3,STOP,UPTREND,5216.73,5190.65,5190.65,5969.24,5153.21,5153.21,-0.72,-0.92,False,False,4.52,23.07,2.68,63.47,2.81,2.49,0.5,-1.4,23.05,69.31,-1.66,1405025.0,0.5,
2026-05-04,2026-05-05,2026-05-11,4,STOP,UPTREND,5245.49,5219.27,5219.27,6002.15,5153.21,5153.21,-1.27,-1.47,False,False,3.95,24.01,3.82,65.77,1.71,2.57,0.62,4.25,23.14,74.53,-1.12,991966.0,0.5,
2026-05-01,2026-05-04,2026-05-11,5,STOP,UPTREND,5223.08,5196.96,5196.96,5976.51,5153.21,5153.21,-0.84,-1.04,False,False,4.4,23.74,4.03,64.84,2.44,2.62,0.0,7.89,23.12,73.58,-1.1,1222176.0,0.5,
2026-04-29,2026-04-30,2026-05-11,7,STOP,UPTREND,5244.5,5218.28,5218.28,6001.02,5153.21,5153.21,-1.25,-1.45,False,False,3.97,24.78,5.94,66.32,5.69,2.75,0.47,18.54,24.35,79.2,-0.69,2866224.0,0.5,
