signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-04-29,2026-04-30,2026-05-12,8,STOP,UPTREND,448.72,446.48,446.48,513.45,420.33,420.33,-5.86,-6.06,False,False,0.17,16.21,8.43,70.96,7.03,2.72,0.74,3.57,25.14,83.09,-2.88,67574774.0,0.5,
2026-04-28,2026-04-29,2026-05-12,9,STOP,UPTREND,458.96,456.66,456.66,525.16,420.33,420.33,-7.96,-8.16,False,False,1.07,18.94,11.79,80.37,12.76,2.61,1.59,4.15,24.12,96.79,-0.67,92597945.0,0.5,
2026-02-11,2026-02-12,2026-03-02,12,STOP,DOWNTREND,373.34,371.47,371.47,393.76,364.93,353.81,-4.75,-4.95,False,False,3.11,-3.18,3.76,57.02,5.8,2.14,0.97,2.45,17.19,89.77,-9.86,8117089.0,0.5,
2026-01-29,2026-01-30,2026-03-02,21,STOP,DOWNTREND,364.19,362.37,362.37,384.11,364.93,353.81,-2.36,-2.56,False,False,5.7,-5.72,-0.19,49.61,-0.26,2.07,1.05,-0.3,26.86,48.72,-12.07,2300765.0,0.5,
2025-03-19,2025-03-20,2025-04-02,8,TRAIL,DOWNTREND,367.0,365.17,365.17,387.08,365.37,365.37,0.06,-0.14,False,False,4.45,-10.02,5.8,63.75,7.37,2.84,1.3,2.31,14.24,120.51,-24.94,24942877.0,0.5,
2024-10-03,2024-10-04,2024-10-07,1,STOP,UPTREND,466.15,463.82,463.82,533.39,451.89,451.89,-2.57,-2.77,False,False,1.07,15.51,4.61,63.28,7.08,2.73,0.88,3.05,27.17,74.18,-4.66,56237161.0,0.5,
2024-10-01,2024-10-03,2024-10-04,1,STOP,UPTREND,475.49,473.11,463.43,532.95,455.76,455.76,-1.66,-1.86,False,False,1.9,18.04,7.32,71.71,8.12,2.61,0.89,4.23,27.39,87.39,-2.75,64194327.0,2.6,
2024-09-30,2024-10-01,2024-10-07,3,STOP,UPTREND,476.82,474.44,474.44,545.6,451.78,451.78,-4.78,-4.98,False,False,2.29,18.59,8.19,73.0,8.85,2.62,0.95,4.68,25.75,94.05,-2.48,90080550.0,0.5,
2024-09-27,2024-09-30,2024-10-07,4,STOP,UPTREND,479.69,477.29,477.29,548.88,451.78,451.78,-5.34,-5.54,False,False,1.68,19.59,9.44,75.72,9.89,2.56,1.97,4.75,24.09,105.07,-1.89,114687690.0,0.5,
2024-09-25,2024-09-26,2024-10-07,6,STOP,UPTREND,462.5,460.18,460.18,529.21,436.11,436.11,-5.23,-5.43,False,False,6.25,15.87,6.68,69.62,7.45,2.54,1.07,3.53,20.02,101.47,-1.3,84562000.0,0.5,
