signal_date,entry_date,exit_date,days_held,outcome,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,partial_at_%
2026-07-14,2026-07-15,2026-07-16,1,TRAIL,DOWNTREND,2188.6,2177.66,2174.1,2304.55,2037.61,2201.0,1.24,0.83,False,False,2.64,-17.71,4.73,56.76,8.32,2.97,1.76,19.99,20.64,90.29,-33.42,28797787.0,0.67,
2026-07-07,2026-07-08,2026-07-15,5,TARGET,DOWNTREND,2084.67,2074.25,2074.25,2198.7,2219.44,2174.1,4.81,3.69,True,False,6.83,-22.28,-0.84,45.21,1.77,2.86,1.09,4.54,23.45,42.6,-36.58,4185240.0,0.5,
2026-06-02,2026-06-03,2026-06-04,1,STOP,DOWNTREND,2433.56,2421.39,2379.95,2522.75,2207.79,2207.79,-7.23,-7.43,False,False,0.0,-12.69,6.29,62.79,6.57,2.47,2.25,17.22,21.35,111.7,-28.12,1465430.0,2.25,
2026-04-21,2026-04-22,2026-04-24,2,STOP,DOWNTREND,2561.53,2548.73,2531.6,2683.5,2387.07,2387.07,-5.71,-5.91,False,False,0.0,-11.66,5.31,58.43,5.52,2.34,0.6,26.96,23.11,86.5,-25.61,13010716.0,1.18,
2026-03-20,2026-03-23,2026-04-10,11,TARGET,DOWNTREND,2345.76,2334.03,2320.64,2459.88,2483.08,2483.08,7.0,5.44,True,False,10.15,-21.16,-5.39,28.03,-6.53,2.81,1.14,1.66,41.59,17.93,-33.34,-18185991.0,1.08,
2025-10-31,2025-11-03,2025-11-04,1,STOP,DOWNTREND,2947.06,2932.33,2932.33,3108.27,2889.61,2889.61,-1.46,-1.66,False,False,0.5,-9.18,1.57,54.58,2.94,1.52,0.56,9.33,15.19,73.41,-29.6,-3465144.0,0.5,
2025-10-09,2025-10-10,2025-11-25,30,TRAIL,DOWNTREND,2939.67,2924.97,2924.97,3100.47,2955.57,3006.04,2.77,2.06,False,False,4.74,-11.33,0.86,53.79,0.87,1.71,1.11,6.1,22.37,56.35,-29.78,-8836083.0,0.5,
2025-08-20,2025-08-21,2025-09-22,21,TRAIL,DOWNTREND,2975.1,2960.22,2960.22,3137.83,2961.59,2961.59,0.05,-0.15,False,False,3.89,-14.72,1.25,47.88,1.13,1.44,1.77,12.69,42.35,70.27,-30.27,283363.0,0.5,
2025-05-12,2025-05-13,2025-06-24,30,TIME,DOWNTREND,3433.82,3416.65,3416.65,3621.65,3203.65,3244.25,-5.05,-5.25,False,False,0.57,-9.28,6.69,67.18,5.0,2.19,0.86,25.92,22.15,107.01,-19.52,-1173467.0,0.5,
2025-04-23,2025-04-24,2025-05-13,12,TARGET,DOWNTREND,3237.11,3220.92,3220.92,3414.18,3446.39,3433.82,6.61,5.13,True,False,6.91,-15.15,-0.31,47.01,3.44,2.43,1.02,11.57,40.3,48.37,-24.13,929645.0,0.5,
2025-03-25,2025-03-26,2025-04-03,5,STOP,DOWNTREND,3469.24,3451.9,3451.9,3659.01,3269.29,3269.29,-5.29,-5.49,False,False,1.13,-9.81,2.62,49.77,1.9,2.01,1.08,27.72,39.55,88.71,-18.69,2758495.0,0.5,
2025-03-03,2025-03-04,2025-03-26,15,TARGET,DOWNTREND,3313.03,3296.47,3294.96,3492.66,3525.61,3459.76,5.0,3.84,True,False,6.79,-14.12,-9.5,17.22,-11.23,2.16,1.86,-38.83,40.78,3.52,-22.35,-21899903.0,0.55,
2024-09-03,2024-09-04,2024-09-09,3,STOP,UPTREND,4192.25,4171.29,4159.36,4783.26,4120.12,4120.12,-0.94,-1.14,False,False,0.94,15.36,2.54,63.18,-0.24,1.8,0.87,-1.4,33.13,68.73,-1.74,3856490.0,0.79,
2024-09-02,2024-09-03,2024-09-04,1,STOP,UPTREND,4200.33,4179.33,4179.33,4806.23,4122.26,4122.26,-1.37,-1.57,False,False,1.28,15.76,3.16,64.27,0.69,1.83,0.6,1.77,32.58,72.12,-1.55,7786051.0,0.5,
2024-08-30,2024-09-02,2024-09-09,5,STOP,UPTREND,4230.71,4209.56,4209.56,4840.99,4121.88,4121.88,-2.08,-2.28,False,False,1.26,16.77,4.18,68.42,3.12,1.83,1.73,4.65,31.6,79.64,-0.84,11057761.0,0.5,
2024-08-29,2024-08-30,2024-09-09,6,STOP,UPTREND,4191.74,4170.78,4170.78,4796.39,4121.76,4121.76,-1.18,-1.38,False,False,2.29,15.88,3.41,65.79,5.04,1.81,1.05,4.57,30.55,75.07,-1.17,10877597.0,0.5,
2024-08-28,2024-08-29,2024-09-09,7,STOP,UPTREND,4186.39,4165.46,4143.61,4765.15,4121.76,4121.76,-0.53,-0.73,False,False,2.97,15.92,3.43,65.42,7.36,1.79,0.9,6.85,29.73,75.87,-1.29,11970501.0,1.03,
2024-08-27,2024-08-28,2024-09-09,8,STOP,UPTREND,4178.12,4157.23,4157.23,4780.82,4121.76,4121.76,-0.85,-1.05,False,False,2.63,15.87,3.39,64.88,7.19,1.75,0.46,9.28,28.85,76.33,-1.49,11618036.0,0.5,
2024-08-22,2024-08-23,2024-09-09,11,STOP,UPTREND,4182.63,4161.72,4161.72,4785.97,4121.76,4121.76,-0.96,-1.16,False,False,2.52,16.52,3.95,67.14,7.18,1.89,0.83,18.34,27.74,83.42,-1.38,10438163.0,0.5,
2024-08-21,2024-08-22,2024-09-09,12,STOP,UPTREND,4228.62,4207.48,4207.48,4838.6,4121.76,4121.76,-2.04,-2.24,False,False,1.4,17.99,5.33,72.47,9.12,1.9,0.86,19.18,26.83,97.41,-0.3,13505701.0,0.5,
2024-08-20,2024-08-21,2024-09-09,13,STOP,UPTREND,4202.42,4181.41,4181.41,4808.62,4121.76,4121.76,-1.43,-1.63,False,False,2.03,17.45,4.98,71.27,8.86,1.95,0.99,13.3,25.85,99.35,-0.91,13811778.0,0.5,
2024-08-01,2024-08-02,2024-08-05,1,STOP,UPTREND,4085.17,4064.75,4055.35,4663.65,3948.07,3938.29,-2.89,-3.09,False,False,0.76,15.61,4.65,75.38,2.13,1.78,0.68,9.21,39.94,77.94,-0.77,5725439.0,0.74,
2024-07-29,2024-07-30,2024-08-02,3,STOP,UPTREND,4070.31,4049.96,4049.96,4657.45,4002.13,4002.13,-1.18,-1.38,False,False,1.38,15.6,5.8,76.02,4.96,1.87,0.53,20.14,37.47,84.96,-1.13,5785865.0,0.5,
2024-03-18,2024-03-19,2024-03-22,3,STOP,UPTREND,3821.21,3802.11,3728.04,4287.25,3627.79,3586.1,-3.81,-4.01,False,False,0.17,16.55,1.3,56.27,1.42,2.18,0.65,2.27,18.38,70.63,-2.4,8885435.0,2.5,
2024-03-15,2024-03-18,2024-03-19,1,STOP,UPTREND,3882.64,3863.22,3863.22,4442.71,3739.24,3728.04,-3.5,-3.7,False,False,1.35,18.57,2.95,63.3,3.03,2.06,1.45,5.37,19.72,97.65,-0.51,8369074.0,0.5,
2024-03-14,2024-03-15,2024-03-19,2,STOP,UPTREND,3871.92,3852.56,3852.56,4430.44,3740.06,3728.04,-3.23,-3.43,False,False,1.63,18.41,2.82,62.54,2.15,2.11,1.32,2.94,20.21,100.69,-0.79,1223212.0,0.5,
2024-03-13,2024-03-14,2024-03-19,3,STOP,UPTREND,3817.99,3798.9,3798.9,4368.74,3740.06,3728.04,-1.87,-2.07,False,False,3.06,16.92,1.52,58.54,1.09,2.04,1.33,-0.71,20.92,80.98,-2.17,242829.0,0.5,
2024-03-12,2024-03-13,2024-03-19,4,STOP,UPTREND,3857.79,3838.5,3838.5,4414.28,3739.24,3728.04,-2.88,-3.08,False,False,2.0,18.29,2.57,63.17,4.78,1.98,1.97,-1.62,20.88,102.54,-0.89,6040564.0,0.5,
2024-02-28,2024-02-29,2024-03-06,4,STOP,UPTREND,3790.34,3771.39,3771.39,4337.09,3646.47,3646.47,-3.31,-3.51,False,False,1.02,17.42,1.24,59.62,0.46,2.02,0.98,-10.85,28.44,66.43,-1.57,2511656.0,0.5,
2024-02-19,2024-02-20,2024-02-21,1,STOP,UPTREND,3776.4,3757.51,3756.43,4319.89,3671.89,3671.89,-2.25,-2.45,False,False,0.39,18.03,2.78,64.07,3.28,1.9,0.38,2.09,36.62,69.99,-1.93,3073969.0,0.53,
2024-02-16,2024-02-19,2024-02-20,1,STOP,UPTREND,3798.94,3779.95,3779.95,4346.94,3708.5,3708.5,-1.89,-2.09,False,False,0.5,18.89,3.69,67.26,4.08,1.9,0.62,6.39,37.22,76.5,-1.35,5537783.0,0.5,
2024-02-13,2024-02-14,2024-02-20,4,STOP,UPTREND,3818.45,3799.36,3779.34,4346.24,3708.42,3708.42,-1.88,-2.08,False,False,1.0,20.02,5.23,71.5,9.18,1.94,0.55,19.71,36.22,88.93,-0.84,12178903.0,1.03,
2024-02-12,2024-02-13,2024-02-14,1,STOP,UPTREND,3791.95,3772.99,3772.99,4338.94,3730.4,3730.4,-1.13,-1.33,False,False,1.7,19.36,4.89,69.99,8.41,1.94,0.39,21.35,35.31,88.61,-1.53,9509867.0,0.5,
